parish,office,district,party,candidate,votes
St. Helena,U.S. Senate,,D,Mary Landrieu,2714
St. Helena,U.S. Senate,,R,Suzanne Haik Terrell,1292
St. James,U.S. Senate,,D,Mary Landrieu,5353
St. James,U.S. Senate,,R,Suzanne Haik Terrell,2512
St. John The Baptist,U.S. Senate,,D,Mary Landrieu,7502
St. John The Baptist,U.S. Senate,,R,Suzanne Haik Terrell,4944
St. Landry,U.S. Senate,,D,Mary Landrieu,13165
St. Landry,U.S. Senate,,R,Suzanne Haik Terrell,9648
St. Martin,U.S. Senate,,D,Mary Landrieu,7545
St. Martin,U.S. Senate,,R,Suzanne Haik Terrell,6005
St. Mary,U.S. Senate,,D,Mary Landrieu,6745
St. Mary,U.S. Senate,,R,Suzanne Haik Terrell,6762
St. Tammany,U.S. Senate,,D,Mary Landrieu,19650
St. Tammany,U.S. Senate,,R,Suzanne Haik Terrell,41995
Tangipahoa,U.S. Senate,,D,Mary Landrieu,10868
Tangipahoa,U.S. Senate,,R,Suzanne Haik Terrell,12841
Tensas,U.S. Senate,,D,Mary Landrieu,1270
Tensas,U.S. Senate,,R,Suzanne Haik Terrell,847
Terrebonne,U.S. Senate,,D,Mary Landrieu,11655
Terrebonne,U.S. Senate,,R,Suzanne Haik Terrell,12167
Union,U.S. Senate,,D,Mary Landrieu,2714
Union,U.S. Senate,,R,Suzanne Haik Terrell,4181
Vermilion,U.S. Senate,,D,Mary Landrieu,7358
Vermilion,U.S. Senate,,R,Suzanne Haik Terrell,7042
Vernon,U.S. Senate,,D,Mary Landrieu,3901
Vernon,U.S. Senate,,R,Suzanne Haik Terrell,4591
Washington,U.S. Senate,,D,Mary Landrieu,6208
Washington,U.S. Senate,,R,Suzanne Haik Terrell,5401
Webster,U.S. Senate,,D,Mary Landrieu,6055
Webster,U.S. Senate,,R,Suzanne Haik Terrell,5746
West Baton Rouge,U.S. Senate,,D,Mary Landrieu,4187
West Baton Rouge,U.S. Senate,,R,Suzanne Haik Terrell,3025
West Carroll,U.S. Senate,,D,Mary Landrieu,1135
West Carroll,U.S. Senate,,R,Suzanne Haik Terrell,2028
West Feliciana,U.S. Senate,,D,Mary Landrieu,2186
West Feliciana,U.S. Senate,,R,Suzanne Haik Terrell,1741
