parish,office,district,party,candidate,votes
Acadia,Attorney General,,R,Royal Alexander,3124
Acadia,Attorney General,,D,"James D. ""Buddy"" Caldwell",5371
Allen,Attorney General,,R,Royal Alexander,1874
Allen,Attorney General,,D,"James D. ""Buddy"" Caldwell",5217
Ascension,Attorney General,,R,Royal Alexander,5895
Ascension,Attorney General,,D,"James D. ""Buddy"" Caldwell",12347
Assumption,Attorney General,,R,Royal Alexander,908
Assumption,Attorney General,,D,"James D. ""Buddy"" Caldwell",3492
Avoyelles,Attorney General,,R,Royal Alexander,4043
Avoyelles,Attorney General,,D,"James D. ""Buddy"" Caldwell",9090
Beauregard,Attorney General,,R,Royal Alexander,2402
Beauregard,Attorney General,,D,"James D. ""Buddy"" Caldwell",3967
Bienville,Attorney General,,R,Royal Alexander,504
Bienville,Attorney General,,D,"James D. ""Buddy"" Caldwell",1030
Bossier,Attorney General,,R,Royal Alexander,5123
Bossier,Attorney General,,D,"James D. ""Buddy"" Caldwell",4248
Caddo,Attorney General,,R,Royal Alexander,11087
Caddo,Attorney General,,D,"James D. ""Buddy"" Caldwell",9204
Calcasieu,Attorney General,,R,Royal Alexander,7705
Calcasieu,Attorney General,,D,"James D. ""Buddy"" Caldwell",15223
Caldwell,Attorney General,,R,Royal Alexander,984
Caldwell,Attorney General,,D,"James D. ""Buddy"" Caldwell",1839
Cameron,Attorney General,,R,Royal Alexander,431
Cameron,Attorney General,,D,"James D. ""Buddy"" Caldwell",1162
Catahoula,Attorney General,,R,Royal Alexander,1414
Catahoula,Attorney General,,D,"James D. ""Buddy"" Caldwell",2484
Claiborne,Attorney General,,R,Royal Alexander,1072
Claiborne,Attorney General,,D,"James D. ""Buddy"" Caldwell",1858
Concordia,Attorney General,,R,Royal Alexander,1703
Concordia,Attorney General,,D,"James D. ""Buddy"" Caldwell",2870
De Soto,Attorney General,,R,Royal Alexander,1960
De Soto,Attorney General,,D,"James D. ""Buddy"" Caldwell",3661
East Baton Rouge,Attorney General,,R,Royal Alexander,23584
East Baton Rouge,Attorney General,,D,"James D. ""Buddy"" Caldwell",54157
East Carroll,Attorney General,,R,Royal Alexander,528
East Carroll,Attorney General,,D,"James D. ""Buddy"" Caldwell",2330
East Feliciana,Attorney General,,R,Royal Alexander,1463
East Feliciana,Attorney General,,D,"James D. ""Buddy"" Caldwell",4441
Evangeline,Attorney General,,R,Royal Alexander,2652
Evangeline,Attorney General,,D,"James D. ""Buddy"" Caldwell",5987
Franklin,Attorney General,,R,Royal Alexander,1566
Franklin,Attorney General,,D,"James D. ""Buddy"" Caldwell",3249
Grant,Attorney General,,R,Royal Alexander,2667
Grant,Attorney General,,D,"James D. ""Buddy"" Caldwell",3730
Iberia,Attorney General,,R,Royal Alexander,6736
Iberia,Attorney General,,D,"James D. ""Buddy"" Caldwell",12125
Iberville,Attorney General,,R,Royal Alexander,2241
Iberville,Attorney General,,D,"James D. ""Buddy"" Caldwell",6299
Jackson,Attorney General,,R,Royal Alexander,1294
Jackson,Attorney General,,D,"James D. ""Buddy"" Caldwell",1725
Jefferson,Attorney General,,R,Royal Alexander,24213
Jefferson,Attorney General,,D,"James D. ""Buddy"" Caldwell",50327
Jefferson Davis,Attorney General,,R,Royal Alexander,2156
Jefferson Davis,Attorney General,,D,"James D. ""Buddy"" Caldwell",4418
Lafayette,Attorney General,,R,Royal Alexander,9706
Lafayette,Attorney General,,D,"James D. ""Buddy"" Caldwell",13484
Lafourche,Attorney General,,R,Royal Alexander,3993
Lafourche,Attorney General,,D,"James D. ""Buddy"" Caldwell",10773
Lasalle,Attorney General,,R,Royal Alexander,2022
Lasalle,Attorney General,,D,"James D. ""Buddy"" Caldwell",2141
Lincoln,Attorney General,,R,Royal Alexander,1330
Lincoln,Attorney General,,D,"James D. ""Buddy"" Caldwell",1808
Livingston,Attorney General,,R,Royal Alexander,3233
Livingston,Attorney General,,D,"James D. ""Buddy"" Caldwell",5350
Madison,Attorney General,,R,Royal Alexander,624
Madison,Attorney General,,D,"James D. ""Buddy"" Caldwell",2509
Morehouse,Attorney General,,R,Royal Alexander,1575
Morehouse,Attorney General,,D,"James D. ""Buddy"" Caldwell",2827
Natchitoches,Attorney General,,R,Royal Alexander,2938
Natchitoches,Attorney General,,D,"James D. ""Buddy"" Caldwell",4428
Orleans,Attorney General,,R,Royal Alexander,9705
Orleans,Attorney General,,D,"James D. ""Buddy"" Caldwell",41229
Ouachita,Attorney General,,R,Royal Alexander,6797
Ouachita,Attorney General,,D,"James D. ""Buddy"" Caldwell",8796
Plaquemines,Attorney General,,R,Royal Alexander,843
Plaquemines,Attorney General,,D,"James D. ""Buddy"" Caldwell",1308
Pointe Coupee,Attorney General,,R,Royal Alexander,522
Pointe Coupee,Attorney General,,D,"James D. ""Buddy"" Caldwell",1865
Rapides,Attorney General,,R,Royal Alexander,15311
Rapides,Attorney General,,D,"James D. ""Buddy"" Caldwell",19176
Red River,Attorney General,,R,Royal Alexander,587
Red River,Attorney General,,D,"James D. ""Buddy"" Caldwell",1379
Richland,Attorney General,,R,Royal Alexander,1273
Richland,Attorney General,,D,"James D. ""Buddy"" Caldwell",2553
Sabine,Attorney General,,R,Royal Alexander,1487
Sabine,Attorney General,,D,"James D. ""Buddy"" Caldwell",2061
