parish,office,district,party,candidate,votes
Caddo,State House,4th Representative District,D,Larry Ferdinand,1214
Caddo,State House,4th Representative District,D,Patrick C. Williams,2321
St. Landry,State House,40th Representative District,D,Elbert Lee Guillory,3677
St. Landry,State House,40th Representative District,D,Ledricka Johnson,2584
Orleans,State House,94th Representative District,R,"""Jeb"" Bruneau",1751
Orleans,State House,94th Representative District,R,"Nicholas J. ""Nick"" Lorusso",2592
