parish,office,district,party,candidate,votes
Bienville,State House,11th Representative District,O,Huey Dean,47
Bienville,State House,11th Representative District,D,"Richard ""Rick"" Gallot, Jr.",356
Bienville,State House,11th Representative District,D,Ellen D. Smiley,52
Bienville,State House,11th Representative District,D,Beverly K. Spearman,157
Claiborne,State House,11th Representative District,O,Huey Dean,707
Claiborne,State House,11th Representative District,D,"Richard ""Rick"" Gallot, Jr.",838
Claiborne,State House,11th Representative District,D,Ellen D. Smiley,768
Claiborne,State House,11th Representative District,D,Beverly K. Spearman,181
Lincoln,State House,11th Representative District,O,Huey Dean,124
Lincoln,State House,11th Representative District,D,"Richard ""Rick"" Gallot, Jr.",2348
Lincoln,State House,11th Representative District,D,Ellen D. Smiley,104
Lincoln,State House,11th Representative District,D,Beverly K. Spearman,312
Union,State House,11th Representative District,O,Huey Dean,14
Union,State House,11th Representative District,D,"Richard ""Rick"" Gallot, Jr.",75
Union,State House,11th Representative District,D,Ellen D. Smiley,72
Union,State House,11th Representative District,D,Beverly K. Spearman,97
East Baton Rouge,State House,62nd Representative District,R,Matt Blalock,792
East Baton Rouge,State House,62nd Representative District,R,Brenda Braud,330
East Baton Rouge,State House,62nd Representative District,D,Myron Hall,404
East Baton Rouge,State House,62nd Representative District,R,"Thomas H. ""Tom"" McVea",884
East Baton Rouge,State House,62nd Representative District,D,"""Chuck"" Reed",186
East Feliciana,State House,62nd Representative District,R,Matt Blalock,470
East Feliciana,State House,62nd Representative District,R,Brenda Braud,295
East Feliciana,State House,62nd Representative District,D,Myron Hall,816
East Feliciana,State House,62nd Representative District,R,"Thomas H. ""Tom"" McVea",685
East Feliciana,State House,62nd Representative District,D,"""Chuck"" Reed",166
Livingston,State House,62nd Representative District,R,Matt Blalock,23
Livingston,State House,62nd Representative District,R,Brenda Braud,136
Livingston,State House,62nd Representative District,D,Myron Hall,119
Livingston,State House,62nd Representative District,R,"Thomas H. ""Tom"" McVea",29
Livingston,State House,62nd Representative District,D,"""Chuck"" Reed",305
St. Helena,State House,62nd Representative District,R,Matt Blalock,33
St. Helena,State House,62nd Representative District,R,Brenda Braud,72
St. Helena,State House,62nd Representative District,D,Myron Hall,141
St. Helena,State House,62nd Representative District,R,"Thomas H. ""Tom"" McVea",141
St. Helena,State House,62nd Representative District,D,"""Chuck"" Reed",224
Tangipahoa,State House,62nd Representative District,R,Matt Blalock,70
Tangipahoa,State House,62nd Representative District,R,Brenda Braud,517
Tangipahoa,State House,62nd Representative District,D,Myron Hall,61
Tangipahoa,State House,62nd Representative District,R,"Thomas H. ""Tom"" McVea",72
Tangipahoa,State House,62nd Representative District,D,"""Chuck"" Reed",443
West Feliciana,State House,62nd Representative District,R,Matt Blalock,101
West Feliciana,State House,62nd Representative District,R,Brenda Braud,114
West Feliciana,State House,62nd Representative District,D,Myron Hall,68
West Feliciana,State House,62nd Representative District,R,"Thomas H. ""Tom"" McVea",875
West Feliciana,State House,62nd Representative District,D,"""Chuck"" Reed",160
