parish,office,district,party,candidate,votes
Acadia,Secretary of State,,R,Mary Chehardy,617
Acadia,Secretary of State,,L,Rayburn Clipper,142
Acadia,Secretary of State,,N,"James ""Jim"" Crowley III",529
Acadia,Secretary of State,,R,"""Jay"" Dardenne",1364
Acadia,Secretary of State,,R,"""Mike"" Francis",7824
Acadia,Secretary of State,,D,Francis C. Heitmeier,2876
Acadia,Secretary of State,,R,"Allen ""Al"" Leone",219
Allen,Secretary of State,,R,Mary Chehardy,379
Allen,Secretary of State,,L,Rayburn Clipper,74
Allen,Secretary of State,,N,"James ""Jim"" Crowley III",261
Allen,Secretary of State,,R,"""Jay"" Dardenne",535
Allen,Secretary of State,,R,"""Mike"" Francis",1530
Allen,Secretary of State,,D,Francis C. Heitmeier,1526
Allen,Secretary of State,,R,"Allen ""Al"" Leone",107
Ascension,Secretary of State,,R,Mary Chehardy,357
Ascension,Secretary of State,,L,Rayburn Clipper,131
Ascension,Secretary of State,,N,"James ""Jim"" Crowley III",169
Ascension,Secretary of State,,R,"""Jay"" Dardenne",4750
Ascension,Secretary of State,,R,"""Mike"" Francis",1290
Ascension,Secretary of State,,D,Francis C. Heitmeier,2451
Ascension,Secretary of State,,R,"Allen ""Al"" Leone",72
Assumption,Secretary of State,,R,Mary Chehardy,359
Assumption,Secretary of State,,L,Rayburn Clipper,60
Assumption,Secretary of State,,N,"James ""Jim"" Crowley III",184
Assumption,Secretary of State,,R,"""Jay"" Dardenne",1517
Assumption,Secretary of State,,R,"""Mike"" Francis",567
Assumption,Secretary of State,,D,Francis C. Heitmeier,1465
Assumption,Secretary of State,,R,"Allen ""Al"" Leone",75
Avoyelles,Secretary of State,,R,Mary Chehardy,468
Avoyelles,Secretary of State,,L,Rayburn Clipper,114
Avoyelles,Secretary of State,,N,"James ""Jim"" Crowley III",287
Avoyelles,Secretary of State,,R,"""Jay"" Dardenne",1477
Avoyelles,Secretary of State,,R,"""Mike"" Francis",1041
Avoyelles,Secretary of State,,D,Francis C. Heitmeier,1500
Avoyelles,Secretary of State,,R,"Allen ""Al"" Leone",119
Beauregard,Secretary of State,,R,Mary Chehardy,494
Beauregard,Secretary of State,,L,Rayburn Clipper,96
Beauregard,Secretary of State,,N,"James ""Jim"" Crowley III",299
Beauregard,Secretary of State,,R,"""Jay"" Dardenne",856
Beauregard,Secretary of State,,R,"""Mike"" Francis",2106
Beauregard,Secretary of State,,D,Francis C. Heitmeier,1254
Beauregard,Secretary of State,,R,"Allen ""Al"" Leone",161
Bienville,Secretary of State,,R,Mary Chehardy,389
Bienville,Secretary of State,,L,Rayburn Clipper,101
Bienville,Secretary of State,,N,"James ""Jim"" Crowley III",398
Bienville,Secretary of State,,R,"""Jay"" Dardenne",616
Bienville,Secretary of State,,R,"""Mike"" Francis",1006
Bienville,Secretary of State,,D,Francis C. Heitmeier,1279
Bienville,Secretary of State,,R,"Allen ""Al"" Leone",132
Bossier,Secretary of State,,R,Mary Chehardy,787
Bossier,Secretary of State,,L,Rayburn Clipper,208
Bossier,Secretary of State,,N,"James ""Jim"" Crowley III",576
Bossier,Secretary of State,,R,"""Jay"" Dardenne",2363
Bossier,Secretary of State,,R,"""Mike"" Francis",4778
Bossier,Secretary of State,,D,Francis C. Heitmeier,1988
Bossier,Secretary of State,,R,"Allen ""Al"" Leone",313
Caddo,Secretary of State,,R,Mary Chehardy,2877
Caddo,Secretary of State,,L,Rayburn Clipper,843
Caddo,Secretary of State,,N,"James ""Jim"" Crowley III",2952
Caddo,Secretary of State,,R,"""Jay"" Dardenne",8757
Caddo,Secretary of State,,R,"""Mike"" Francis",15520
Caddo,Secretary of State,,D,Francis C. Heitmeier,20732
Caddo,Secretary of State,,R,"Allen ""Al"" Leone",1332
Calcasieu,Secretary of State,,R,Mary Chehardy,1350
