parish,office,district,party,candidate,votes
Acadia,Governor,,N,David Blanchard,375
Acadia,Governor,,N,"Leonard ""Lenny"" Bollingham",63
Acadia,Governor,,N,"""Ron"" Ceasar",93
Acadia,Governor,,D,Cary J. Deaton,543
Acadia,Governor,,D,Tara Hollis,1719
Acadia,Governor,,R,"""Bobby"" Jindal",11727
Acadia,Governor,,N,"William Robert ""Bob"" Lang, Jr.",155
Acadia,Governor,,L,Scott Lewis,127
Acadia,Governor,,D,"""Niki Bird"" Papazoglakis",235
Acadia,Governor,,D,"Ivo ""Trey"" Roberts",523
Allen,Governor,,N,David Blanchard,250
Allen,Governor,,N,"Leonard ""Lenny"" Bollingham",41
Allen,Governor,,N,"""Ron"" Ceasar",396
Allen,Governor,,D,Cary J. Deaton,312
Allen,Governor,,D,Tara Hollis,875
Allen,Governor,,R,"""Bobby"" Jindal",4892
Allen,Governor,,N,"William Robert ""Bob"" Lang, Jr.",54
Allen,Governor,,L,Scott Lewis,54
Allen,Governor,,D,"""Niki Bird"" Papazoglakis",89
Allen,Governor,,D,"Ivo ""Trey"" Roberts",207
Ascension,Governor,,N,David Blanchard,481
Ascension,Governor,,N,"Leonard ""Lenny"" Bollingham",84
Ascension,Governor,,N,"""Ron"" Ceasar",130
Ascension,Governor,,D,Cary J. Deaton,1019
Ascension,Governor,,D,Tara Hollis,4256
Ascension,Governor,,R,"""Bobby"" Jindal",16431
Ascension,Governor,,N,"William Robert ""Bob"" Lang, Jr.",141
Ascension,Governor,,L,Scott Lewis,239
Ascension,Governor,,D,"""Niki Bird"" Papazoglakis",529
Ascension,Governor,,D,"Ivo ""Trey"" Roberts",742
Assumption,Governor,,N,David Blanchard,287
Assumption,Governor,,N,"Leonard ""Lenny"" Bollingham",85
Assumption,Governor,,N,"""Ron"" Ceasar",56
Assumption,Governor,,D,Cary J. Deaton,397
Assumption,Governor,,D,Tara Hollis,1540
Assumption,Governor,,R,"""Bobby"" Jindal",5045
Assumption,Governor,,N,"William Robert ""Bob"" Lang, Jr.",55
Assumption,Governor,,L,Scott Lewis,60
Assumption,Governor,,D,"""Niki Bird"" Papazoglakis",190
Assumption,Governor,,D,"Ivo ""Trey"" Roberts",300
Avoyelles,Governor,,N,David Blanchard,584
Avoyelles,Governor,,N,"Leonard ""Lenny"" Bollingham",102
Avoyelles,Governor,,N,"""Ron"" Ceasar",109
Avoyelles,Governor,,D,Cary J. Deaton,619
Avoyelles,Governor,,D,Tara Hollis,4744
Avoyelles,Governor,,R,"""Bobby"" Jindal",5363
Avoyelles,Governor,,N,"William Robert ""Bob"" Lang, Jr.",187
Avoyelles,Governor,,L,Scott Lewis,129
Avoyelles,Governor,,D,"""Niki Bird"" Papazoglakis",295
Avoyelles,Governor,,D,"Ivo ""Trey"" Roberts",317
Beauregard,Governor,,N,David Blanchard,233
Beauregard,Governor,,N,"Leonard ""Lenny"" Bollingham",40
Beauregard,Governor,,N,"""Ron"" Ceasar",69
Beauregard,Governor,,D,Cary J. Deaton,322
Beauregard,Governor,,D,Tara Hollis,895
Beauregard,Governor,,R,"""Bobby"" Jindal",6403
Beauregard,Governor,,N,"William Robert ""Bob"" Lang, Jr.",101
Beauregard,Governor,,L,Scott Lewis,88
Beauregard,Governor,,D,"""Niki Bird"" Papazoglakis",128
Beauregard,Governor,,D,"Ivo ""Trey"" Roberts",170
Bienville,Governor,,N,David Blanchard,132
Bienville,Governor,,N,"Leonard ""Lenny"" Bollingham",34
Bienville,Governor,,N,"""Ron"" Ceasar",23
Bienville,Governor,,D,Cary J. Deaton,337
Bienville,Governor,,D,Tara Hollis,809
Bienville,Governor,,R,"""Bobby"" Jindal",1983
