parish,office,district,party,candidate,votes
East Baton Rouge,State House,62nd Representative District,D,Myron Hall,1282
East Baton Rouge,State House,62nd Representative District,R,"Thomas H. ""Tom"" McVea",2423
East Feliciana,State House,62nd Representative District,D,Myron Hall,2699
East Feliciana,State House,62nd Representative District,R,"Thomas H. ""Tom"" McVea",1966
Livingston,State House,62nd Representative District,D,Myron Hall,1252
Livingston,State House,62nd Representative District,R,"Thomas H. ""Tom"" McVea",723
St. Helena,State House,62nd Representative District,D,Myron Hall,919
St. Helena,State House,62nd Representative District,R,"Thomas H. ""Tom"" McVea",635
Tangipahoa,State House,62nd Representative District,D,Myron Hall,1699
Tangipahoa,State House,62nd Representative District,R,"Thomas H. ""Tom"" McVea",1942
West Feliciana,State House,62nd Representative District,D,Myron Hall,534
West Feliciana,State House,62nd Representative District,R,"Thomas H. ""Tom"" McVea",1472
St. Bernard,State House,104th Representative District,D,John Finckbeiner,3968
St. Bernard,State House,104th Representative District,R,Nita Rusich Hutter,5806
St. Bernard,State House,104th Representative District,D,Lance V. Licciardi,5098
St. Bernard,State House,104th Representative District,D,"""Joe"" Thibodeaux",1639
