parish,office,district,party,candidate,votes
Lafayette,U.S. Senate,Democratic Party,D,Cary J. Deaton,501
Lafayette,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",2451
Lafourche,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",616
Lafourche,U.S. Senate,Democratic Party,D,Cary J. Deaton,261
Lafourche,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",2045
Lasalle,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",103
Lasalle,U.S. Senate,Democratic Party,D,Cary J. Deaton,121
Lasalle,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",168
Lincoln,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",159
Lincoln,U.S. Senate,Democratic Party,D,Cary J. Deaton,123
Lincoln,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",564
Livingston,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",318
Livingston,U.S. Senate,Democratic Party,D,Cary J. Deaton,213
Livingston,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",802
Madison,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",90
Madison,U.S. Senate,Democratic Party,D,Cary J. Deaton,54
Madison,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",280
Morehouse,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",175
Morehouse,U.S. Senate,Democratic Party,D,Cary J. Deaton,124
Morehouse,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",429
Natchitoches,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",232
Natchitoches,U.S. Senate,Democratic Party,D,Cary J. Deaton,197
Natchitoches,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",835
Orleans,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",1667
Orleans,U.S. Senate,Democratic Party,D,Cary J. Deaton,1377
Orleans,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",15225
Ouachita,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",582
Ouachita,U.S. Senate,Democratic Party,D,Cary J. Deaton,432
Ouachita,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",1662
Plaquemines,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",94
Plaquemines,U.S. Senate,Democratic Party,D,Cary J. Deaton,36
Plaquemines,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",323
Pointe Coupee,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",148
Pointe Coupee,U.S. Senate,Democratic Party,D,Cary J. Deaton,67
Pointe Coupee,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",661
Rapides,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",687
Rapides,U.S. Senate,Democratic Party,D,Cary J. Deaton,585
Rapides,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",1998
Red River,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",58
Red River,U.S. Senate,Democratic Party,D,Cary J. Deaton,56
Red River,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",150
Richland,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",152
Richland,U.S. Senate,Democratic Party,D,Cary J. Deaton,91
Richland,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",247
Sabine,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",192
Sabine,U.S. Senate,Democratic Party,D,Cary J. Deaton,140
Sabine,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",243
St. Bernard,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",87
St. Bernard,U.S. Senate,Democratic Party,D,Cary J. Deaton,52
St. Bernard,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",504
St. Charles,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",212
St. Charles,U.S. Senate,Democratic Party,D,Cary J. Deaton,77
St. Charles,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",870
St. Helena,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",119
St. Helena,U.S. Senate,Democratic Party,D,Cary J. Deaton,58
St. Helena,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",399
St. James,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",153
St. James,U.S. Senate,Democratic Party,D,Cary J. Deaton,58
St. James,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",865
St. John The Baptist,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",170
St. John The Baptist,U.S. Senate,Democratic Party,D,Cary J. Deaton,77
St. John The Baptist,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",1180
St. Landry,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",480
St. Landry,U.S. Senate,Democratic Party,D,Cary J. Deaton,253
St. Landry,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",1749
St. Martin,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",297
St. Martin,U.S. Senate,Democratic Party,D,Cary J. Deaton,211
St. Martin,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",1009
St. Mary,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",383
St. Mary,U.S. Senate,Democratic Party,D,Cary J. Deaton,116
St. Mary,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",1070
St. Tammany,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",427
St. Tammany,U.S. Senate,Democratic Party,D,Cary J. Deaton,256
St. Tammany,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",1965
Tangipahoa,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",450
Tangipahoa,U.S. Senate,Democratic Party,D,Cary J. Deaton,162
Tangipahoa,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",1330
Tensas,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",50
Tensas,U.S. Senate,Democratic Party,D,Cary J. Deaton,32
Tensas,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",177
Terrebonne,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",552
Terrebonne,U.S. Senate,Democratic Party,D,Cary J. Deaton,226
Terrebonne,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",2083
Union,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",132
Union,U.S. Senate,Democratic Party,D,Cary J. Deaton,149
Union,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",276
Vermilion,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",440
Vermilion,U.S. Senate,Democratic Party,D,Cary J. Deaton,188
Vermilion,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",761
Vernon,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",168
Vernon,U.S. Senate,Democratic Party,D,Cary J. Deaton,190
Vernon,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",374
Washington,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",189
Washington,U.S. Senate,Democratic Party,D,Cary J. Deaton,94
Washington,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",704
Webster,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",195
Webster,U.S. Senate,Democratic Party,D,Cary J. Deaton,159
Webster,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",510
West Baton Rouge,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",124
West Baton Rouge,U.S. Senate,Democratic Party,D,Cary J. Deaton,94
West Baton Rouge,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",486
West Carroll,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",49
West Carroll,U.S. Senate,Democratic Party,D,Cary J. Deaton,37
West Carroll,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",95
West Feliciana,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",65
West Feliciana,U.S. Senate,Democratic Party,D,Cary J. Deaton,27
West Feliciana,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",287
Winn,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",104
Winn,U.S. Senate,Democratic Party,D,Cary J. Deaton,105
Winn,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",190
Acadia,U.S. Senate,Libertarian Party,L,Anthony Gentile,16
Acadia,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,21
Allen,U.S. Senate,Libertarian Party,L,Anthony Gentile,7
Allen,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,7
Ascension,U.S. Senate,Libertarian Party,L,Anthony Gentile,15
Ascension,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,16
Assumption,U.S. Senate,Libertarian Party,L,Anthony Gentile,3
Assumption,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,8
Avoyelles,U.S. Senate,Libertarian Party,L,Anthony Gentile,15
Avoyelles,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,14
Beauregard,U.S. Senate,Libertarian Party,L,Anthony Gentile,7
Beauregard,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,15
Bienville,U.S. Senate,Libertarian Party,L,Anthony Gentile,1
Bienville,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,4
Bossier,U.S. Senate,Libertarian Party,L,Anthony Gentile,14
Bossier,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,30
Caddo,U.S. Senate,Libertarian Party,L,Anthony Gentile,30
Caddo,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,44
Calcasieu,U.S. Senate,Libertarian Party,L,Anthony Gentile,23
Calcasieu,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,57
Caldwell,U.S. Senate,Libertarian Party,L,Anthony Gentile,3
Caldwell,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,5
Cameron,U.S. Senate,Libertarian Party,L,Anthony Gentile,4
Cameron,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,6
Catahoula,U.S. Senate,Libertarian Party,L,Anthony Gentile,4
Catahoula,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,5
Claiborne,U.S. Senate,Libertarian Party,L,Anthony Gentile,1
Claiborne,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,7
Concordia,U.S. Senate,Libertarian Party,L,Anthony Gentile,5
Concordia,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,8
De Soto,U.S. Senate,Libertarian Party,L,Anthony Gentile,3
De Soto,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,8
East Baton Rouge,U.S. Senate,Libertarian Party,L,Anthony Gentile,79
East Baton Rouge,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,134
East Carroll,U.S. Senate,Libertarian Party,L,Anthony Gentile,0
East Carroll,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,2
East Feliciana,U.S. Senate,Libertarian Party,L,Anthony Gentile,5
East Feliciana,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,7
Evangeline,U.S. Senate,Libertarian Party,L,Anthony Gentile,4
Evangeline,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,11
Franklin,U.S. Senate,Libertarian Party,L,Anthony Gentile,5
Franklin,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,13
Grant,U.S. Senate,Libertarian Party,L,Anthony Gentile,12
Grant,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,17
Iberia,U.S. Senate,Libertarian Party,L,Anthony Gentile,15
Iberia,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,42
Iberville,U.S. Senate,Libertarian Party,L,Anthony Gentile,7
Iberville,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,3
Jackson,U.S. Senate,Libertarian Party,L,Anthony Gentile,1
Jackson,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,3
Jefferson,U.S. Senate,Libertarian Party,L,Anthony Gentile,74
Jefferson,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,100
Jefferson Davis,U.S. Senate,Libertarian Party,L,Anthony Gentile,1
Jefferson Davis,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,9
Lafayette,U.S. Senate,Libertarian Party,L,Anthony Gentile,58
Lafayette,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,110
Lafourche,U.S. Senate,Libertarian Party,L,Anthony Gentile,36
Lafourche,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,46
Lasalle,U.S. Senate,Libertarian Party,L,Anthony Gentile,4
Lasalle,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,11
Lincoln,U.S. Senate,Libertarian Party,L,Anthony Gentile,11
Lincoln,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,15
Livingston,U.S. Senate,Libertarian Party,L,Anthony Gentile,19
Livingston,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,36
Madison,U.S. Senate,Libertarian Party,L,Anthony Gentile,0
Madison,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,9
Morehouse,U.S. Senate,Libertarian Party,L,Anthony Gentile,5
Morehouse,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,15
Natchitoches,U.S. Senate,Libertarian Party,L,Anthony Gentile,1
Natchitoches,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,13
Orleans,U.S. Senate,Libertarian Party,L,Anthony Gentile,51
Orleans,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,46
Ouachita,U.S. Senate,Libertarian Party,L,Anthony Gentile,24
Ouachita,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,70
Plaquemines,U.S. Senate,Libertarian Party,L,Anthony Gentile,12
Plaquemines,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,5
Pointe Coupee,U.S. Senate,Libertarian Party,L,Anthony Gentile,3
Pointe Coupee,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,4
Rapides,U.S. Senate,Libertarian Party,L,Anthony Gentile,37
Rapides,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,76
Red River,U.S. Senate,Libertarian Party,L,Anthony Gentile,3
Red River,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,0
Richland,U.S. Senate,Libertarian Party,L,Anthony Gentile,6
Richland,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,12
Sabine,U.S. Senate,Libertarian Party,L,Anthony Gentile,9
Sabine,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,9
St. Bernard,U.S. Senate,Libertarian Party,L,Anthony Gentile,9
St. Bernard,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,9
St. Charles,U.S. Senate,Libertarian Party,L,Anthony Gentile,19
St. Charles,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,27
St. Helena,U.S. Senate,Libertarian Party,L,Anthony Gentile,2
St. Helena,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,7
St. James,U.S. Senate,Libertarian Party,L,Anthony Gentile,2
St. James,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,1
St. John The Baptist,U.S. Senate,Libertarian Party,L,Anthony Gentile,8
St. John The Baptist,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,15
St. Landry,U.S. Senate,Libertarian Party,L,Anthony Gentile,18
St. Landry,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,25
St. Martin,U.S. Senate,Libertarian Party,L,Anthony Gentile,23
St. Martin,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,36
St. Mary,U.S. Senate,Libertarian Party,L,Anthony Gentile,21
St. Mary,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,14
St. Tammany,U.S. Senate,Libertarian Party,L,Anthony Gentile,72
St. Tammany,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,96
Tangipahoa,U.S. Senate,Libertarian Party,L,Anthony Gentile,25
Tangipahoa,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,31
Tensas,U.S. Senate,Libertarian Party,L,Anthony Gentile,5
Tensas,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,2
Terrebonne,U.S. Senate,Libertarian Party,L,Anthony Gentile,58
Terrebonne,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,72
Union,U.S. Senate,Libertarian Party,L,Anthony Gentile,6
Union,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,9
Vermilion,U.S. Senate,Libertarian Party,L,Anthony Gentile,11
Vermilion,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,28
Vernon,U.S. Senate,Libertarian Party,L,Anthony Gentile,13
Vernon,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,25
Washington,U.S. Senate,Libertarian Party,L,Anthony Gentile,9
Washington,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,14
Webster,U.S. Senate,Libertarian Party,L,Anthony Gentile,3
Webster,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,18
West Baton Rouge,U.S. Senate,Libertarian Party,L,Anthony Gentile,8
West Baton Rouge,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,7
West Carroll,U.S. Senate,Libertarian Party,L,Anthony Gentile,3
West Carroll,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,5
West Feliciana,U.S. Senate,Libertarian Party,L,Anthony Gentile,1
West Feliciana,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,5
Winn,U.S. Senate,Libertarian Party,L,Anthony Gentile,4
Winn,U.S. Senate,Libertarian Party,L,Randall Todd Hayes,11
Acadia,U.S. Senate,Republican Party,R,Nick J. Accardo,31
Acadia,U.S. Senate,Republican Party,R,Chet D. Traylor,94
Acadia,U.S. Senate,Republican Party,R,David Vitter,943
Allen,U.S. Senate,Republican Party,R,Nick J. Accardo,8
Allen,U.S. Senate,Republican Party,R,Chet D. Traylor,57
Allen,U.S. Senate,Republican Party,R,David Vitter,220
Ascension,U.S. Senate,Republican Party,R,Nick J. Accardo,139
Ascension,U.S. Senate,Republican Party,R,Chet D. Traylor,152
Ascension,U.S. Senate,Republican Party,R,David Vitter,1740
Assumption,U.S. Senate,Republican Party,R,Nick J. Accardo,21
Assumption,U.S. Senate,Republican Party,R,Chet D. Traylor,22
Assumption,U.S. Senate,Republican Party,R,David Vitter,368
Avoyelles,U.S. Senate,Republican Party,R,Nick J. Accardo,13
Avoyelles,U.S. Senate,Republican Party,R,Chet D. Traylor,54
Avoyelles,U.S. Senate,Republican Party,R,David Vitter,371
Beauregard,U.S. Senate,Republican Party,R,Nick J. Accardo,24
Beauregard,U.S. Senate,Republican Party,R,Chet D. Traylor,46
Beauregard,U.S. Senate,Republican Party,R,David Vitter,736
Bienville,U.S. Senate,Republican Party,R,Nick J. Accardo,10
Bienville,U.S. Senate,Republican Party,R,Chet D. Traylor,16
Bienville,U.S. Senate,Republican Party,R,David Vitter,359
Bossier,U.S. Senate,Republican Party,R,Nick J. Accardo,78
Bossier,U.S. Senate,Republican Party,R,Chet D. Traylor,109
Bossier,U.S. Senate,Republican Party,R,David Vitter,2760
Caddo,U.S. Senate,Republican Party,R,Nick J. Accardo,121
Caddo,U.S. Senate,Republican Party,R,Chet D. Traylor,238
Caddo,U.S. Senate,Republican Party,R,David Vitter,4586
Calcasieu,U.S. Senate,Republican Party,R,Nick J. Accardo,114
Calcasieu,U.S. Senate,Republican Party,R,Chet D. Traylor,204
Calcasieu,U.S. Senate,Republican Party,R,David Vitter,2708
Caldwell,U.S. Senate,Republican Party,R,Nick J. Accardo,10
Caldwell,U.S. Senate,Republican Party,R,Chet D. Traylor,91
Caldwell,U.S. Senate,Republican Party,R,David Vitter,236
Cameron,U.S. Senate,Republican Party,R,Nick J. Accardo,4
Cameron,U.S. Senate,Republican Party,R,Chet D. Traylor,6
Cameron,U.S. Senate,Republican Party,R,David Vitter,92
Catahoula,U.S. Senate,Republican Party,R,Nick J. Accardo,7
Catahoula,U.S. Senate,Republican Party,R,Chet D. Traylor,20
Catahoula,U.S. Senate,Republican Party,R,David Vitter,158
Claiborne,U.S. Senate,Republican Party,R,Nick J. Accardo,7
Claiborne,U.S. Senate,Republican Party,R,Chet D. Traylor,20
Claiborne,U.S. Senate,Republican Party,R,David Vitter,336
Concordia,U.S. Senate,Republican Party,R,Nick J. Accardo,14
Concordia,U.S. Senate,Republican Party,R,Chet D. Traylor,82
Concordia,U.S. Senate,Republican Party,R,David Vitter,305
De Soto,U.S. Senate,Republican Party,R,Nick J. Accardo,11
De Soto,U.S. Senate,Republican Party,R,Chet D. Traylor,19
De Soto,U.S. Senate,Republican Party,R,David Vitter,470
East Baton Rouge,U.S. Senate,Republican Party,R,Nick J. Accardo,746
East Baton Rouge,U.S. Senate,Republican Party,R,Chet D. Traylor,817
East Baton Rouge,U.S. Senate,Republican Party,R,David Vitter,8137
East Carroll,U.S. Senate,Republican Party,R,Nick J. Accardo,5
East Carroll,U.S. Senate,Republican Party,R,Chet D. Traylor,23
East Carroll,U.S. Senate,Republican Party,R,David Vitter,114
East Feliciana,U.S. Senate,Republican Party,R,Nick J. Accardo,26
East Feliciana,U.S. Senate,Republican Party,R,Chet D. Traylor,47
East Feliciana,U.S. Senate,Republican Party,R,David Vitter,428
Evangeline,U.S. Senate,Republican Party,R,Nick J. Accardo,20
Evangeline,U.S. Senate,Republican Party,R,Chet D. Traylor,53
Evangeline,U.S. Senate,Republican Party,R,David Vitter,327
