parish,office,district,party,candidate,votes
Acadia,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",382
Acadia,U.S. Senate,Democratic Party,D,Cary J. Deaton,274
Acadia,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",927
Allen,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",140
Allen,U.S. Senate,Democratic Party,D,Cary J. Deaton,109
Allen,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",341
Ascension,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",370
Ascension,U.S. Senate,Democratic Party,D,Cary J. Deaton,164
Ascension,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",1375
Assumption,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",140
Assumption,U.S. Senate,Democratic Party,D,Cary J. Deaton,88
Assumption,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",941
Avoyelles,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",215
Avoyelles,U.S. Senate,Democratic Party,D,Cary J. Deaton,119
Avoyelles,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",765
Beauregard,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",173
Beauregard,U.S. Senate,Democratic Party,D,Cary J. Deaton,132
Beauregard,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",418
Bienville,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",121
Bienville,U.S. Senate,Democratic Party,D,Cary J. Deaton,110
Bienville,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",340
Bossier,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",370
Bossier,U.S. Senate,Democratic Party,D,Cary J. Deaton,294
Bossier,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",865
Caddo,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",834
Caddo,U.S. Senate,Democratic Party,D,Cary J. Deaton,725
Caddo,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",3206
Calcasieu,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",754
Calcasieu,U.S. Senate,Democratic Party,D,Cary J. Deaton,592
Calcasieu,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",2311
Caldwell,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",80
Caldwell,U.S. Senate,Democratic Party,D,Cary J. Deaton,70
Caldwell,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",187
Cameron,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",84
Cameron,U.S. Senate,Democratic Party,D,Cary J. Deaton,34
Cameron,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",163
Catahoula,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",109
Catahoula,U.S. Senate,Democratic Party,D,Cary J. Deaton,75
Catahoula,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",199
Claiborne,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",93
Claiborne,U.S. Senate,Democratic Party,D,Cary J. Deaton,79
Claiborne,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",184
Concordia,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",155
Concordia,U.S. Senate,Democratic Party,D,Cary J. Deaton,82
Concordia,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",368
De Soto,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",162
De Soto,U.S. Senate,Democratic Party,D,Cary J. Deaton,135
De Soto,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",445
East Baton Rouge,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",1372
East Baton Rouge,U.S. Senate,Democratic Party,D,Cary J. Deaton,933
East Baton Rouge,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",8065
East Carroll,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",62
East Carroll,U.S. Senate,Democratic Party,D,Cary J. Deaton,43
East Carroll,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",180
East Feliciana,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",157
East Feliciana,U.S. Senate,Democratic Party,D,Cary J. Deaton,108
East Feliciana,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",590
Evangeline,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",207
Evangeline,U.S. Senate,Democratic Party,D,Cary J. Deaton,122
Evangeline,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",635
Franklin,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",145
Franklin,U.S. Senate,Democratic Party,D,Cary J. Deaton,143
Franklin,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",349
Grant,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",149
Grant,U.S. Senate,Democratic Party,D,Cary J. Deaton,150
Grant,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",284
Iberia,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",524
Iberia,U.S. Senate,Democratic Party,D,Cary J. Deaton,220
Iberia,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",1319
Iberville,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",204
Iberville,U.S. Senate,Democratic Party,D,Cary J. Deaton,81
Iberville,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",1031
Jackson,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",115
Jackson,U.S. Senate,Democratic Party,D,Cary J. Deaton,108
Jackson,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",342
Jefferson,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",1294
Jefferson,U.S. Senate,Democratic Party,D,Cary J. Deaton,775
Jefferson,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",6562
Jefferson Davis,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",139
Jefferson Davis,U.S. Senate,Democratic Party,D,Cary J. Deaton,89
Jefferson Davis,U.S. Senate,Democratic Party,D,"""Charlie"" Melancon",450
Lafayette,U.S. Senate,Democratic Party,D,"Neeson J. Chauvin, Jr.",852
