parish,office,district,party,candidate,votes
Iberia,State Senate,22nd Senatorial District,R,Simone B. Champagne,3623
Iberia,State Senate,22nd Senatorial District,N,David Groner,2008
Iberia,State Senate,22nd Senatorial District,N,Ruben LeBlanc,126
Iberia,State Senate,22nd Senatorial District,R,"Fred ""T-Fred"" Mills, Jr.",3494
Iberia,State Senate,22nd Senatorial District,R,Armond Schwing,1552
Iberia,State Senate,22nd Senatorial District,R,"Kenneth ""Ken"" Squires",151
St. Martin,State Senate,22nd Senatorial District,R,Simone B. Champagne,417
St. Martin,State Senate,22nd Senatorial District,N,David Groner,526
St. Martin,State Senate,22nd Senatorial District,N,Ruben LeBlanc,82
St. Martin,State Senate,22nd Senatorial District,R,"Fred ""T-Fred"" Mills, Jr.",9318
St. Martin,State Senate,22nd Senatorial District,R,Armond Schwing,92
St. Martin,State Senate,22nd Senatorial District,R,"Kenneth ""Ken"" Squires",21
Orleans,State House,101st Representative District,D,Roland Barthe,226
Orleans,State House,101st Representative District,D,Wesley T. Bishop,1294
Orleans,State House,101st Representative District,D,Willie Jones,204
