parish,office,district,party,candidate,votes
Avoyelles,U.S. House,5th Congressional District,R,Vance M. McAllister,1657
Avoyelles,U.S. House,5th Congressional District,R,Neil Riser,1514
Caldwell,U.S. House,5th Congressional District,R,Vance M. McAllister,567
Caldwell,U.S. House,5th Congressional District,R,Neil Riser,2014
Catahoula,U.S. House,5th Congressional District,R,Vance M. McAllister,724
Catahoula,U.S. House,5th Congressional District,R,Neil Riser,913
Concordia,U.S. House,5th Congressional District,R,Vance M. McAllister,1121
Concordia,U.S. House,5th Congressional District,R,Neil Riser,1347
East Carroll,U.S. House,5th Congressional District,R,Vance M. McAllister,826
East Carroll,U.S. House,5th Congressional District,R,Neil Riser,365
East Feliciana,U.S. House,5th Congressional District,R,Vance M. McAllister,518
East Feliciana,U.S. House,5th Congressional District,R,Neil Riser,515
Franklin,U.S. House,5th Congressional District,R,Vance M. McAllister,1504
Franklin,U.S. House,5th Congressional District,R,Neil Riser,1795
Grant,U.S. House,5th Congressional District,R,Vance M. McAllister,1809
Grant,U.S. House,5th Congressional District,R,Neil Riser,1376
Jackson,U.S. House,5th Congressional District,R,Vance M. McAllister,1540
Jackson,U.S. House,5th Congressional District,R,Neil Riser,1184
Lasalle,U.S. House,5th Congressional District,R,Vance M. McAllister,1226
Lasalle,U.S. House,5th Congressional District,R,Neil Riser,1408
Lincoln,U.S. House,5th Congressional District,R,Vance M. McAllister,3465
Lincoln,U.S. House,5th Congressional District,R,Neil Riser,1727
Madison,U.S. House,5th Congressional District,R,Vance M. McAllister,974
Madison,U.S. House,5th Congressional District,R,Neil Riser,396
Morehouse,U.S. House,5th Congressional District,R,Vance M. McAllister,2770
Morehouse,U.S. House,5th Congressional District,R,Neil Riser,1185
Ouachita,U.S. House,5th Congressional District,R,Vance M. McAllister,15378
Ouachita,U.S. House,5th Congressional District,R,Neil Riser,6917
Rapides,U.S. House,5th Congressional District,R,Vance M. McAllister,9824
Rapides,U.S. House,5th Congressional District,R,Neil Riser,4904
Richland,U.S. House,5th Congressional District,R,Vance M. McAllister,2220
Richland,U.S. House,5th Congressional District,R,Neil Riser,963
St. Helena,U.S. House,5th Congressional District,R,Vance M. McAllister,180
St. Helena,U.S. House,5th Congressional District,R,Neil Riser,208
St. Landry,U.S. House,5th Congressional District,R,Vance M. McAllister,907
St. Landry,U.S. House,5th Congressional District,R,Neil Riser,1000
Tangipahoa,U.S. House,5th Congressional District,R,Vance M. McAllister,1071
Tangipahoa,U.S. House,5th Congressional District,R,Neil Riser,1520
Tensas,U.S. House,5th Congressional District,R,Vance M. McAllister,475
Tensas,U.S. House,5th Congressional District,R,Neil Riser,395
Washington,U.S. House,5th Congressional District,R,Vance M. McAllister,1309
Washington,U.S. House,5th Congressional District,R,Neil Riser,1941
West Carroll,U.S. House,5th Congressional District,R,Vance M. McAllister,1976
West Carroll,U.S. House,5th Congressional District,R,Neil Riser,419
West Feliciana,U.S. House,5th Congressional District,R,Vance M. McAllister,1085
West Feliciana,U.S. House,5th Congressional District,R,Neil Riser,1803
Winn,U.S. House,5th Congressional District,R,Vance M. McAllister,1324
Winn,U.S. House,5th Congressional District,R,Neil Riser,1031
