parish,office,district,party,candidate,votes
Jefferson,State Senate,3rd Senatorial District,O,Faris S. Altikriti,34
Jefferson,State Senate,3rd Senatorial District,D,Wayne Baquet,133
Jefferson,State Senate,3rd Senatorial District,D,Sandra Cabrina Jenkins,42
Jefferson,State Senate,3rd Senatorial District,D,Jeanne C. McGlory,23
Jefferson,State Senate,3rd Senatorial District,D,Toni Orrill,34
Jefferson,State Senate,3rd Senatorial District,D,Derrick Shepherd,2214
Orleans,State Senate,3rd Senatorial District,O,Faris S. Altikriti,148
Orleans,State Senate,3rd Senatorial District,D,Wayne Baquet,2449
Orleans,State Senate,3rd Senatorial District,D,Sandra Cabrina Jenkins,411
Orleans,State Senate,3rd Senatorial District,D,Jeanne C. McGlory,88
Orleans,State Senate,3rd Senatorial District,D,Toni Orrill,341
Orleans,State Senate,3rd Senatorial District,D,Derrick Shepherd,1682
