parish,office,district,party,candidate,votes
Acadia,Governor,,O,B. Alexandrenko,52
Acadia,Governor,,D,Walter J. Boasso,4099
Acadia,Governor,,D,Foster Campbell,1693
Acadia,Governor,,N,Sheldon Forest,39
Acadia,Governor,,O,"Anthony ""Tony G"" Gentile",56
Acadia,Governor,,N,John Georges,2796
Acadia,Governor,,L,T. Lee Horne III,42
Acadia,Governor,,R,"""Bobby"" Jindal",10443
Acadia,Governor,,D,"M. V. ""Vinny"" Mendoza",43
Acadia,Governor,,N,"Arthur D. ""Jim"" Nichols",18
Acadia,Governor,,D,Hardy Parkerson,27
Acadia,Governor,,D,Mary Volentine Smith,69
Allen,Governor,,O,B. Alexandrenko,57
Allen,Governor,,D,Walter J. Boasso,2206
Allen,Governor,,D,Foster Campbell,1299
Allen,Governor,,N,Sheldon Forest,32
Allen,Governor,,O,"Anthony ""Tony G"" Gentile",41
Allen,Governor,,N,John Georges,766
Allen,Governor,,L,T. Lee Horne III,20
Allen,Governor,,R,"""Bobby"" Jindal",3317
Allen,Governor,,D,"M. V. ""Vinny"" Mendoza",19
Allen,Governor,,N,"Arthur D. ""Jim"" Nichols",9
Allen,Governor,,D,Hardy Parkerson,30
Allen,Governor,,D,Mary Volentine Smith,74
Ascension,Governor,,O,B. Alexandrenko,66
Ascension,Governor,,D,Walter J. Boasso,4311
Ascension,Governor,,D,Foster Campbell,3817
Ascension,Governor,,N,Sheldon Forest,41
Ascension,Governor,,O,"Anthony ""Tony G"" Gentile",78
Ascension,Governor,,N,John Georges,2684
Ascension,Governor,,L,T. Lee Horne III,45
Ascension,Governor,,R,"""Bobby"" Jindal",18455
Ascension,Governor,,D,"M. V. ""Vinny"" Mendoza",44
Ascension,Governor,,N,"Arthur D. ""Jim"" Nichols",26
Ascension,Governor,,D,Hardy Parkerson,36
Ascension,Governor,,D,Mary Volentine Smith,102
Assumption,Governor,,O,B. Alexandrenko,51
Assumption,Governor,,D,Walter J. Boasso,2336
Assumption,Governor,,D,Foster Campbell,1098
Assumption,Governor,,N,Sheldon Forest,15
Assumption,Governor,,O,"Anthony ""Tony G"" Gentile",91
Assumption,Governor,,N,John Georges,1280
Assumption,Governor,,L,T. Lee Horne III,19
Assumption,Governor,,R,"""Bobby"" Jindal",4228
Assumption,Governor,,D,"M. V. ""Vinny"" Mendoza",23
Assumption,Governor,,N,"Arthur D. ""Jim"" Nichols",13
Assumption,Governor,,D,Hardy Parkerson,15
Assumption,Governor,,D,Mary Volentine Smith,51
Avoyelles,Governor,,O,B. Alexandrenko,104
Avoyelles,Governor,,D,Walter J. Boasso,4404
Avoyelles,Governor,,D,Foster Campbell,2198
Avoyelles,Governor,,N,Sheldon Forest,68
Avoyelles,Governor,,O,"Anthony ""Tony G"" Gentile",83
Avoyelles,Governor,,N,John Georges,1700
Avoyelles,Governor,,L,T. Lee Horne III,48
Avoyelles,Governor,,R,"""Bobby"" Jindal",6256
Avoyelles,Governor,,D,"M. V. ""Vinny"" Mendoza",44
Avoyelles,Governor,,N,"Arthur D. ""Jim"" Nichols",17
Avoyelles,Governor,,D,Hardy Parkerson,38
Avoyelles,Governor,,D,Mary Volentine Smith,161
Beauregard,Governor,,O,B. Alexandrenko,26
Beauregard,Governor,,D,Walter J. Boasso,1492
Beauregard,Governor,,D,Foster Campbell,1629
Beauregard,Governor,,N,Sheldon Forest,32
Beauregard,Governor,,O,"Anthony ""Tony G"" Gentile",43
Beauregard,Governor,,N,John Georges,1194
Beauregard,Governor,,L,T. Lee Horne III,21
Beauregard,Governor,,R,"""Bobby"" Jindal",5424
Beauregard,Governor,,D,"M. V. ""Vinny"" Mendoza",29
Beauregard,Governor,,N,"Arthur D. ""Jim"" Nichols",32
Beauregard,Governor,,D,Hardy Parkerson,13
Beauregard,Governor,,D,Mary Volentine Smith,81
Bienville,Governor,,O,B. Alexandrenko,50
Bienville,Governor,,D,Walter J. Boasso,967
Bienville,Governor,,D,Foster Campbell,2211
Bienville,Governor,,N,Sheldon Forest,9
Bienville,Governor,,O,"Anthony ""Tony G"" Gentile",18
Bienville,Governor,,N,John Georges,427
Bienville,Governor,,L,T. Lee Horne III,10
Bienville,Governor,,R,"""Bobby"" Jindal",1970
Bienville,Governor,,D,"M. V. ""Vinny"" Mendoza",8
Bienville,Governor,,N,"Arthur D. ""Jim"" Nichols",8
Bienville,Governor,,D,Hardy Parkerson,11
