parish,precinct,office,district,party,candidate,votes
Acadia,01 01,State Senate,26,D,Nathan Granger,94
Acadia,01 01,State Senate,26,R,Jonathan Perry,111
Acadia,01 02A,State Senate,26,D,Nathan Granger,55
Acadia,01 02A,State Senate,26,R,Jonathan Perry,52
Acadia,01 02B,State Senate,26,D,Nathan Granger,78
Acadia,01 02B,State Senate,26,R,Jonathan Perry,86
Acadia,01 03A,State Senate,26,D,Nathan Granger,92
Acadia,01 03A,State Senate,26,R,Jonathan Perry,133
Acadia,01 03B,State Senate,26,D,Nathan Granger,62
Acadia,01 03B,State Senate,26,R,Jonathan Perry,45
Acadia,01 04A,State Senate,26,D,Nathan Granger,62
Acadia,01 04A,State Senate,26,R,Jonathan Perry,62
Acadia,01 04B,State Senate,26,D,Nathan Granger,47
Acadia,01 04B,State Senate,26,R,Jonathan Perry,61
Acadia,01 05A,State Senate,26,D,Nathan Granger,49
Acadia,01 05A,State Senate,26,R,Jonathan Perry,60
Acadia,01 05B,State Senate,26,D,Nathan Granger,68
Acadia,01 05B,State Senate,26,R,Jonathan Perry,16
Acadia,01 06,State Senate,26,D,Nathan Granger,170
Acadia,01 06,State Senate,26,R,Jonathan Perry,6
Acadia,01 07,State Senate,26,D,Nathan Granger,132
Acadia,01 07,State Senate,26,R,Jonathan Perry,22
Acadia,01 08,State Senate,26,D,Nathan Granger,57
Acadia,01 08,State Senate,26,R,Jonathan Perry,81
Acadia,01 09,State Senate,26,D,Nathan Granger,57
Acadia,01 09,State Senate,26,R,Jonathan Perry,104
Acadia,02 01,State Senate,26,D,Nathan Granger,77
Acadia,02 01,State Senate,26,R,Jonathan Perry,109
Acadia,02 03,State Senate,26,D,Nathan Granger,51
Acadia,02 03,State Senate,26,R,Jonathan Perry,62
Acadia,03 01,State Senate,26,D,Nathan Granger,130
Acadia,03 01,State Senate,26,R,Jonathan Perry,104
Acadia,03 02,State Senate,26,D,Nathan Granger,64
Acadia,03 02,State Senate,26,R,Jonathan Perry,74
Acadia,03 03A,State Senate,26,D,Nathan Granger,93
Acadia,03 03A,State Senate,26,R,Jonathan Perry,151
Acadia,03 03B,State Senate,26,D,Nathan Granger,63
Acadia,03 03B,State Senate,26,R,Jonathan Perry,80
Acadia,03 04,State Senate,26,D,Nathan Granger,157
Acadia,03 04,State Senate,26,R,Jonathan Perry,14
Acadia,03 05,State Senate,26,D,Nathan Granger,11
Acadia,03 05,State Senate,26,R,Jonathan Perry,31
Acadia,03 06,State Senate,26,D,Nathan Granger,47
Acadia,03 06,State Senate,26,R,Jonathan Perry,33
Acadia,03 07,State Senate,26,D,Nathan Granger,93
Acadia,03 07,State Senate,26,R,Jonathan Perry,80
Acadia,06 10,State Senate,26,D,Nathan Granger,14
Acadia,06 10,State Senate,26,R,Jonathan Perry,28
Acadia,06 14,State Senate,26,D,Nathan Granger,44
Acadia,06 14,State Senate,26,R,Jonathan Perry,114
Acadia,06 15,State Senate,26,D,Nathan Granger,6
Acadia,06 15,State Senate,26,R,Jonathan Perry,27
Acadia,07 03,State Senate,26,D,Nathan Granger,46
Acadia,07 03,State Senate,26,R,Jonathan Perry,96
Acadia,07 04,State Senate,26,D,Nathan Granger,19
Acadia,07 04,State Senate,26,R,Jonathan Perry,88
Acadia,Early Voting,State Senate,26,D,Nathan Granger,157
Acadia,Early Voting,State Senate,26,R,Jonathan Perry,150
Lafayette,00 001,State Senate,26,D,Nathan Granger,92
Lafayette,00 001,State Senate,26,R,Jonathan Perry,106
