parish,precinct,office,district,party,candidate,votes
East Baton Rouge,2- 18A,State House,62,D,Myron Hall,258
East Baton Rouge,2- 18A,State House,62,R,"Thomas H. ""Tom"" McVea",625
East Baton Rouge,2- 18B,State House,62,D,Myron Hall,264
East Baton Rouge,2- 18B,State House,62,R,"Thomas H. ""Tom"" McVea",575
East Baton Rouge,2- 21A,State House,62,D,Myron Hall,340
East Baton Rouge,2- 21A,State House,62,R,"Thomas H. ""Tom"" McVea",533
East Baton Rouge,2- 21B,State House,62,D,Myron Hall,364
East Baton Rouge,2- 21B,State House,62,R,"Thomas H. ""Tom"" McVea",543
East Baton Rouge,Early Voting,State House,62,D,Myron Hall,56
East Baton Rouge,Early Voting,State House,62,R,"Thomas H. ""Tom"" McVea",147
East Feliciana,1- 1,State House,62,D,Myron Hall,240
East Feliciana,1- 1,State House,62,R,"Thomas H. ""Tom"" McVea",219
East Feliciana,1- 2,State House,62,D,Myron Hall,151
East Feliciana,1- 2,State House,62,R,"Thomas H. ""Tom"" McVea",99
East Feliciana,1- 3,State House,62,D,Myron Hall,104
East Feliciana,1- 3,State House,62,R,"Thomas H. ""Tom"" McVea",160
East Feliciana,2- 1C,State House,62,D,Myron Hall,234
East Feliciana,2- 1C,State House,62,R,"Thomas H. ""Tom"" McVea",133
East Feliciana,2- 1D,State House,62,D,Myron Hall,128
East Feliciana,2- 1D,State House,62,R,"Thomas H. ""Tom"" McVea",96
East Feliciana,2- 1E,State House,62,D,Myron Hall,20
East Feliciana,2- 1E,State House,62,R,"Thomas H. ""Tom"" McVea",5
East Feliciana,2- 1F,State House,62,D,Myron Hall,9
East Feliciana,2- 1F,State House,62,R,"Thomas H. ""Tom"" McVea",0
East Feliciana,3- 1A,State House,62,D,Myron Hall,141
East Feliciana,3- 1A,State House,62,R,"Thomas H. ""Tom"" McVea",107
East Feliciana,3- 1B,State House,62,D,Myron Hall,247
East Feliciana,3- 1B,State House,62,R,"Thomas H. ""Tom"" McVea",139
East Feliciana,3- 1C,State House,62,D,Myron Hall,89
East Feliciana,3- 1C,State House,62,R,"Thomas H. ""Tom"" McVea",66
East Feliciana,5- 1A,State House,62,D,Myron Hall,264
East Feliciana,5- 1A,State House,62,R,"Thomas H. ""Tom"" McVea",139
East Feliciana,5- 1B,State House,62,D,Myron Hall,224
East Feliciana,5- 1B,State House,62,R,"Thomas H. ""Tom"" McVea",111
East Feliciana,5- 2,State House,62,D,Myron Hall,373
East Feliciana,5- 2,State House,62,R,"Thomas H. ""Tom"" McVea",291
East Feliciana,5- 3,State House,62,D,Myron Hall,25
East Feliciana,5- 3,State House,62,R,"Thomas H. ""Tom"" McVea",59
East Feliciana,6- 1,State House,62,D,Myron Hall,366
East Feliciana,6- 1,State House,62,R,"Thomas H. ""Tom"" McVea",227
East Feliciana,Early Voting,State House,62,D,Myron Hall,84
East Feliciana,Early Voting,State House,62,R,"Thomas H. ""Tom"" McVea",115
Livingston,00 10,State House,62,D,Myron Hall,307
Livingston,00 10,State House,62,R,"Thomas H. ""Tom"" McVea",235
Livingston,00 11,State House,62,D,Myron Hall,582
Livingston,00 11,State House,62,R,"Thomas H. ""Tom"" McVea",302
Livingston,00 9,State House,62,D,Myron Hall,334
Livingston,00 9,State House,62,R,"Thomas H. ""Tom"" McVea",165
Livingston,Early Voting,State House,62,D,Myron Hall,29
Livingston,Early Voting,State House,62,R,"Thomas H. ""Tom"" McVea",21
St. Helena,3- 2,State House,62,D,Myron Hall,35
St. Helena,3- 2,State House,62,R,"Thomas H. ""Tom"" McVea",41
St. Helena,4- 1,State House,62,D,Myron Hall,451
St. Helena,4- 1,State House,62,R,"Thomas H. ""Tom"" McVea",230
St. Helena,5- 1,State House,62,D,Myron Hall,296
St. Helena,5- 1,State House,62,R,"Thomas H. ""Tom"" McVea",151
St. Helena,5- 2,State House,62,D,Myron Hall,66
St. Helena,5- 2,State House,62,R,"Thomas H. ""Tom"" McVea",53
St. Helena,6- 2,State House,62,D,Myron Hall,59
St. Helena,6- 2,State House,62,R,"Thomas H. ""Tom"" McVea",123
St. Helena,Early Voting,State House,62,D,Myron Hall,12
St. Helena,Early Voting,State House,62,R,"Thomas H. ""Tom"" McVea",37
Tangipahoa,00 111,State House,62,D,Myron Hall,40
Tangipahoa,00 111,State House,62,R,"Thomas H. ""Tom"" McVea",54
Tangipahoa,00 111A,State House,62,D,Myron Hall,45
Tangipahoa,00 111A,State House,62,R,"Thomas H. ""Tom"" McVea",19
Tangipahoa,00 117,State House,62,D,Myron Hall,295
Tangipahoa,00 117,State House,62,R,"Thomas H. ""Tom"" McVea",201
Tangipahoa,00 121,State House,62,D,Myron Hall,83
Tangipahoa,00 121,State House,62,R,"Thomas H. ""Tom"" McVea",80
Tangipahoa,00 121A,State House,62,D,Myron Hall,300
Tangipahoa,00 121A,State House,62,R,"Thomas H. ""Tom"" McVea",294
Tangipahoa,00 125,State House,62,D,Myron Hall,346
Tangipahoa,00 125,State House,62,R,"Thomas H. ""Tom"" McVea",321
Tangipahoa,00 127,State House,62,D,Myron Hall,150
Tangipahoa,00 127,State House,62,R,"Thomas H. ""Tom"" McVea",242
