parish,office,district,party,candidate,votes
Acadia,U.S. Senate,,R,"""Bill"" Cassidy",13290
Acadia,U.S. Senate,,D,Mary L. Landrieu,4751
Allen,U.S. Senate,,R,"""Bill"" Cassidy",3646
Allen,U.S. Senate,,D,Mary L. Landrieu,1640
Ascension,U.S. Senate,,R,"""Bill"" Cassidy",20534
Ascension,U.S. Senate,,D,Mary L. Landrieu,11575
Assumption,U.S. Senate,,R,"""Bill"" Cassidy",3292
Assumption,U.S. Senate,,D,Mary L. Landrieu,3380
Avoyelles,U.S. Senate,,R,"""Bill"" Cassidy",7406
Avoyelles,U.S. Senate,,D,Mary L. Landrieu,4411
Beauregard,U.S. Senate,,R,"""Bill"" Cassidy",6878
Beauregard,U.S. Senate,,D,Mary L. Landrieu,1817
Bienville,U.S. Senate,,R,"""Bill"" Cassidy",2357
Bienville,U.S. Senate,,D,Mary L. Landrieu,2487
Bossier,U.S. Senate,,R,"""Bill"" Cassidy",20691
Bossier,U.S. Senate,,D,Mary L. Landrieu,7637
Caddo,U.S. Senate,,R,"""Bill"" Cassidy",31952
Caddo,U.S. Senate,,D,Mary L. Landrieu,37813
Calcasieu,U.S. Senate,,R,"""Bill"" Cassidy",30511
Calcasieu,U.S. Senate,,D,Mary L. Landrieu,17870
Caldwell,U.S. Senate,,R,"""Bill"" Cassidy",2291
Caldwell,U.S. Senate,,D,Mary L. Landrieu,772
Cameron,U.S. Senate,,R,"""Bill"" Cassidy",1545
Cameron,U.S. Senate,,D,Mary L. Landrieu,402
Catahoula,U.S. Senate,,R,"""Bill"" Cassidy",2158
Catahoula,U.S. Senate,,D,Mary L. Landrieu,1119
Claiborne,U.S. Senate,,R,"""Bill"" Cassidy",2503
Claiborne,U.S. Senate,,D,Mary L. Landrieu,2157
Concordia,U.S. Senate,,R,"""Bill"" Cassidy",3083
Concordia,U.S. Senate,,D,Mary L. Landrieu,2278
De Soto,U.S. Senate,,R,"""Bill"" Cassidy",4591
De Soto,U.S. Senate,,D,Mary L. Landrieu,3917
East Baton Rouge,U.S. Senate,,R,"""Bill"" Cassidy",62118
East Baton Rouge,U.S. Senate,,D,Mary L. Landrieu,69271
East Carroll,U.S. Senate,,R,"""Bill"" Cassidy",913
East Carroll,U.S. Senate,,D,Mary L. Landrieu,1876
East Feliciana,U.S. Senate,,R,"""Bill"" Cassidy",3653
East Feliciana,U.S. Senate,,D,Mary L. Landrieu,3630
Evangeline,U.S. Senate,,R,"""Bill"" Cassidy",6336
Evangeline,U.S. Senate,,D,Mary L. Landrieu,4101
Franklin,U.S. Senate,,R,"""Bill"" Cassidy",4509
Franklin,U.S. Senate,,D,Mary L. Landrieu,2014
Grant,U.S. Senate,,R,"""Bill"" Cassidy",4398
Grant,U.S. Senate,,D,Mary L. Landrieu,927
Iberia,U.S. Senate,,R,"""Bill"" Cassidy",12738
Iberia,U.S. Senate,,D,Mary L. Landrieu,7652
Iberville,U.S. Senate,,R,"""Bill"" Cassidy",5378
Iberville,U.S. Senate,,D,Mary L. Landrieu,7537
Jackson,U.S. Senate,,R,"""Bill"" Cassidy",3264
Jackson,U.S. Senate,,D,Mary L. Landrieu,1977
Jefferson,U.S. Senate,,R,"""Bill"" Cassidy",58179
Jefferson,U.S. Senate,,D,Mary L. Landrieu,51536
Jefferson Davis,U.S. Senate,,R,"""Bill"" Cassidy",5781
Jefferson Davis,U.S. Senate,,D,Mary L. Landrieu,2359
Lafayette,U.S. Senate,,R,"""Bill"" Cassidy",42537
Lafayette,U.S. Senate,,D,Mary L. Landrieu,20297
Lafourche,U.S. Senate,,R,"""Bill"" Cassidy",14876
Lafourche,U.S. Senate,,D,Mary L. Landrieu,8360
Lasalle,U.S. Senate,,R,"""Bill"" Cassidy",3763
Lasalle,U.S. Senate,,D,Mary L. Landrieu,520
Lincoln,U.S. Senate,,R,"""Bill"" Cassidy",7187
Lincoln,U.S. Senate,,D,Mary L. Landrieu,4874
Livingston,U.S. Senate,,R,"""Bill"" Cassidy",27212
Livingston,U.S. Senate,,D,Mary L. Landrieu,5587
Madison,U.S. Senate,,R,"""Bill"" Cassidy",1244
Madison,U.S. Senate,,D,Mary L. Landrieu,1872
Morehouse,U.S. Senate,,R,"""Bill"" Cassidy",4338
Morehouse,U.S. Senate,,D,Mary L. Landrieu,3914
Natchitoches,U.S. Senate,,R,"""Bill"" Cassidy",5674
Natchitoches,U.S. Senate,,D,Mary L. Landrieu,4617
Orleans,U.S. Senate,,R,"""Bill"" Cassidy",15590
Orleans,U.S. Senate,,D,Mary L. Landrieu,87441
Ouachita,U.S. Senate,,R,"""Bill"" Cassidy",26799
Ouachita,U.S. Senate,,D,Mary L. Landrieu,16420
Plaquemines,U.S. Senate,,R,"""Bill"" Cassidy",4342
Plaquemines,U.S. Senate,,D,Mary L. Landrieu,3331
Pointe Coupee,U.S. Senate,,R,"""Bill"" Cassidy",3824
Pointe Coupee,U.S. Senate,,D,Mary L. Landrieu,4143
Rapides,U.S. Senate,,R,"""Bill"" Cassidy",25123
Rapides,U.S. Senate,,D,Mary L. Landrieu,13266
Red River,U.S. Senate,,R,"""Bill"" Cassidy",1423
Red River,U.S. Senate,,D,Mary L. Landrieu,1381
Richland,U.S. Senate,,R,"""Bill"" Cassidy",4442
Richland,U.S. Senate,,D,Mary L. Landrieu,2667
Sabine,U.S. Senate,,R,"""Bill"" Cassidy",4838
Sabine,U.S. Senate,,D,Mary L. Landrieu,1327
St. Bernard,U.S. Senate,,R,"""Bill"" Cassidy",4636
St. Bernard,U.S. Senate,,D,Mary L. Landrieu,4758
St. Charles,U.S. Senate,,R,"""Bill"" Cassidy",9059
St. Charles,U.S. Senate,,D,Mary L. Landrieu,6787
St. Helena,U.S. Senate,,R,"""Bill"" Cassidy",1610
St. Helena,U.S. Senate,,D,Mary L. Landrieu,2676
St. James,U.S. Senate,,R,"""Bill"" Cassidy",2919
St. James,U.S. Senate,,D,Mary L. Landrieu,5281
St. John The Baptist,U.S. Senate,,R,"""Bill"" Cassidy",4031
St. John The Baptist,U.S. Senate,,D,Mary L. Landrieu,8955
St. Landry,U.S. Senate,,R,"""Bill"" Cassidy",13616
St. Landry,U.S. Senate,,D,Mary L. Landrieu,13990
St. Martin,U.S. Senate,,R,"""Bill"" Cassidy",9817
St. Martin,U.S. Senate,,D,Mary L. Landrieu,6431
St. Mary,U.S. Senate,,R,"""Bill"" Cassidy",7773
St. Mary,U.S. Senate,,D,Mary L. Landrieu,5812
St. Tammany,U.S. Senate,,R,"""Bill"" Cassidy",54915
St. Tammany,U.S. Senate,,D,Mary L. Landrieu,21595
Tangipahoa,U.S. Senate,,R,"""Bill"" Cassidy",19149
