parish,precinct,office,district,party,candidate,votes
Acadia,01 01,U.S. Senate,,D,Raymond Brown,6
Acadia,01 01,U.S. Senate,,R,John Cooksey,50
Acadia,01 01,U.S. Senate,,D,Mary Landrieu,127
Acadia,01 01,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",0
Acadia,01 01,U.S. Senate,,O,James Lemann,0
Acadia,01 01,U.S. Senate,,R,"""Tony"" Perkins",60
Acadia,01 01,U.S. Senate,,O,Gary D. Robbins,0
Acadia,01 01,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",0
Acadia,01 01,U.S. Senate,,R,Suzanne Haik Terrell,136
Acadia,01 02A,U.S. Senate,,D,Raymond Brown,4
Acadia,01 02A,U.S. Senate,,R,John Cooksey,40
Acadia,01 02A,U.S. Senate,,D,Mary Landrieu,152
Acadia,01 02A,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",1
Acadia,01 02A,U.S. Senate,,O,James Lemann,0
Acadia,01 02A,U.S. Senate,,R,"""Tony"" Perkins",17
Acadia,01 02A,U.S. Senate,,O,Gary D. Robbins,0
Acadia,01 02A,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",1
Acadia,01 02A,U.S. Senate,,R,Suzanne Haik Terrell,74
Acadia,01 02B,U.S. Senate,,D,Raymond Brown,11
Acadia,01 02B,U.S. Senate,,R,John Cooksey,57
Acadia,01 02B,U.S. Senate,,D,Mary Landrieu,128
Acadia,01 02B,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",0
Acadia,01 02B,U.S. Senate,,O,James Lemann,0
Acadia,01 02B,U.S. Senate,,R,"""Tony"" Perkins",27
Acadia,01 02B,U.S. Senate,,O,Gary D. Robbins,0
Acadia,01 02B,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",0
Acadia,01 02B,U.S. Senate,,R,Suzanne Haik Terrell,125
Acadia,01 03A,U.S. Senate,,D,Raymond Brown,4
Acadia,01 03A,U.S. Senate,,R,John Cooksey,93
Acadia,01 03A,U.S. Senate,,D,Mary Landrieu,155
Acadia,01 03A,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",1
Acadia,01 03A,U.S. Senate,,O,James Lemann,1
Acadia,01 03A,U.S. Senate,,R,"""Tony"" Perkins",42
Acadia,01 03A,U.S. Senate,,O,Gary D. Robbins,0
Acadia,01 03A,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",0
Acadia,01 03A,U.S. Senate,,R,Suzanne Haik Terrell,170
Acadia,01 03B,U.S. Senate,,D,Raymond Brown,7
Acadia,01 03B,U.S. Senate,,R,John Cooksey,20
Acadia,01 03B,U.S. Senate,,D,Mary Landrieu,159
Acadia,01 03B,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",2
Acadia,01 03B,U.S. Senate,,O,James Lemann,2
Acadia,01 03B,U.S. Senate,,R,"""Tony"" Perkins",23
Acadia,01 03B,U.S. Senate,,O,Gary D. Robbins,1
Acadia,01 03B,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",0
Acadia,01 03B,U.S. Senate,,R,Suzanne Haik Terrell,61
Acadia,01 04A,U.S. Senate,,D,Raymond Brown,11
Acadia,01 04A,U.S. Senate,,R,John Cooksey,43
Acadia,01 04A,U.S. Senate,,D,Mary Landrieu,114
Acadia,01 04A,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",2
Acadia,01 04A,U.S. Senate,,O,James Lemann,1
Acadia,01 04A,U.S. Senate,,R,"""Tony"" Perkins",29
Acadia,01 04A,U.S. Senate,,O,Gary D. Robbins,0
Acadia,01 04A,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",1
Acadia,01 04A,U.S. Senate,,R,Suzanne Haik Terrell,107
Acadia,01 04B,U.S. Senate,,D,Raymond Brown,4
Acadia,01 04B,U.S. Senate,,R,John Cooksey,48
Acadia,01 04B,U.S. Senate,,D,Mary Landrieu,95
Acadia,01 04B,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",2
Acadia,01 04B,U.S. Senate,,O,James Lemann,0
Acadia,01 04B,U.S. Senate,,R,"""Tony"" Perkins",31
Acadia,01 04B,U.S. Senate,,O,Gary D. Robbins,0
Acadia,01 04B,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",1
Acadia,01 04B,U.S. Senate,,R,Suzanne Haik Terrell,99
Acadia,01 05A,U.S. Senate,,D,Raymond Brown,5
Acadia,01 05A,U.S. Senate,,R,John Cooksey,53
Acadia,01 05A,U.S. Senate,,D,Mary Landrieu,103
Acadia,01 05A,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",2
Acadia,01 05A,U.S. Senate,,O,James Lemann,0
Acadia,01 05A,U.S. Senate,,R,"""Tony"" Perkins",32
Acadia,01 05A,U.S. Senate,,O,Gary D. Robbins,1
Acadia,01 05A,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",2
Acadia,01 05A,U.S. Senate,,R,Suzanne Haik Terrell,75
Acadia,01 05B,U.S. Senate,,D,Raymond Brown,17
Acadia,01 05B,U.S. Senate,,R,John Cooksey,21
Acadia,01 05B,U.S. Senate,,D,Mary Landrieu,143
Acadia,01 05B,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",2
Acadia,01 05B,U.S. Senate,,O,James Lemann,1
Acadia,01 05B,U.S. Senate,,R,"""Tony"" Perkins",10
Acadia,01 05B,U.S. Senate,,O,Gary D. Robbins,0
Acadia,01 05B,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",1
Acadia,01 05B,U.S. Senate,,R,Suzanne Haik Terrell,43
Acadia,01 06,U.S. Senate,,D,Raymond Brown,16
Acadia,01 06,U.S. Senate,,R,John Cooksey,14
Acadia,01 06,U.S. Senate,,D,Mary Landrieu,277
Acadia,01 06,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",3
Acadia,01 06,U.S. Senate,,O,James Lemann,2
Acadia,01 06,U.S. Senate,,R,"""Tony"" Perkins",5
Acadia,01 06,U.S. Senate,,O,Gary D. Robbins,3
Acadia,01 06,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",4
Acadia,01 06,U.S. Senate,,R,Suzanne Haik Terrell,11
Acadia,01 07,U.S. Senate,,D,Raymond Brown,20
Acadia,01 07,U.S. Senate,,R,John Cooksey,26
Acadia,01 07,U.S. Senate,,D,Mary Landrieu,285
Acadia,01 07,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",6
Acadia,01 07,U.S. Senate,,O,James Lemann,0
Acadia,01 07,U.S. Senate,,R,"""Tony"" Perkins",15
Acadia,01 07,U.S. Senate,,O,Gary D. Robbins,1
Acadia,01 07,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",3
Acadia,01 07,U.S. Senate,,R,Suzanne Haik Terrell,45
Acadia,01 08,U.S. Senate,,D,Raymond Brown,3
Acadia,01 08,U.S. Senate,,R,John Cooksey,34
Acadia,01 08,U.S. Senate,,D,Mary Landrieu,98
Acadia,01 08,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",0
Acadia,01 08,U.S. Senate,,O,James Lemann,0
Acadia,01 08,U.S. Senate,,R,"""Tony"" Perkins",27
Acadia,01 08,U.S. Senate,,O,Gary D. Robbins,0
Acadia,01 08,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",1
Acadia,01 08,U.S. Senate,,R,Suzanne Haik Terrell,64
Acadia,01 09,U.S. Senate,,D,Raymond Brown,2
Acadia,01 09,U.S. Senate,,R,John Cooksey,28
Acadia,01 09,U.S. Senate,,D,Mary Landrieu,93
Acadia,01 09,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",2
Acadia,01 09,U.S. Senate,,O,James Lemann,0
Acadia,01 09,U.S. Senate,,R,"""Tony"" Perkins",25
Acadia,01 09,U.S. Senate,,O,Gary D. Robbins,0
Acadia,01 09,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",0
Acadia,01 09,U.S. Senate,,R,Suzanne Haik Terrell,80
Acadia,01 10,U.S. Senate,,D,Raymond Brown,0
Acadia,01 10,U.S. Senate,,R,John Cooksey,6
Acadia,01 10,U.S. Senate,,D,Mary Landrieu,7
Acadia,01 10,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",0
Acadia,01 10,U.S. Senate,,O,James Lemann,0
Acadia,01 10,U.S. Senate,,R,"""Tony"" Perkins",4
Acadia,01 10,U.S. Senate,,O,Gary D. Robbins,0
Acadia,01 10,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",0
Acadia,01 10,U.S. Senate,,R,Suzanne Haik Terrell,25
Acadia,01 11,U.S. Senate,,D,Raymond Brown,0
Acadia,01 11,U.S. Senate,,R,John Cooksey,2
Acadia,01 11,U.S. Senate,,D,Mary Landrieu,8
Acadia,01 11,U.S. Senate,,O,"Patrick E. ""Live Wire"" Landry",0
Acadia,01 11,U.S. Senate,,O,James Lemann,0
Acadia,01 11,U.S. Senate,,R,"""Tony"" Perkins",8
Acadia,01 11,U.S. Senate,,O,Gary D. Robbins,0
Acadia,01 11,U.S. Senate,,R,"Ernest Edward Skillman, Jr.",0
