parish,precinct,office,district,party,candidate,votes
Jefferson,00 171,State Senate,3,D,Shawn Barney,9
Jefferson,00 171,State Senate,3,D,"""J.P."" Morrell",5
Jefferson,00 172,State Senate,3,D,Shawn Barney,105
Jefferson,00 172,State Senate,3,D,"""J.P."" Morrell",99
Jefferson,00 173,State Senate,3,D,Shawn Barney,78
Jefferson,00 173,State Senate,3,D,"""J.P."" Morrell",37
Jefferson,00 174,State Senate,3,D,Shawn Barney,42
Jefferson,00 174,State Senate,3,D,"""J.P."" Morrell",32
Jefferson,00 175,State Senate,3,D,Shawn Barney,77
Jefferson,00 175,State Senate,3,D,"""J.P."" Morrell",80
Jefferson,00 179A,State Senate,3,D,Shawn Barney,171
Jefferson,00 179A,State Senate,3,D,"""J.P."" Morrell",179
Jefferson,00 179B,State Senate,3,D,Shawn Barney,71
Jefferson,00 179B,State Senate,3,D,"""J.P."" Morrell",75
Jefferson,00 180,State Senate,3,D,Shawn Barney,149
Jefferson,00 180,State Senate,3,D,"""J.P."" Morrell",109
Jefferson,00 181,State Senate,3,D,Shawn Barney,126
Jefferson,00 181,State Senate,3,D,"""J.P."" Morrell",116
Jefferson,00 182,State Senate,3,D,Shawn Barney,61
Jefferson,00 182,State Senate,3,D,"""J.P."" Morrell",83
Jefferson,00 187,State Senate,3,D,Shawn Barney,145
Jefferson,00 187,State Senate,3,D,"""J.P."" Morrell",135
Jefferson,00 188,State Senate,3,D,Shawn Barney,50
Jefferson,00 188,State Senate,3,D,"""J.P."" Morrell",58
Jefferson,00 189,State Senate,3,D,Shawn Barney,158
Jefferson,00 189,State Senate,3,D,"""J.P."" Morrell",170
Jefferson,00 200,State Senate,3,D,Shawn Barney,102
Jefferson,00 200,State Senate,3,D,"""J.P."" Morrell",85
Jefferson,00 201,State Senate,3,D,Shawn Barney,87
Jefferson,00 201,State Senate,3,D,"""J.P."" Morrell",115
Jefferson,00 210,State Senate,3,D,Shawn Barney,13
Jefferson,00 210,State Senate,3,D,"""J.P."" Morrell",15
Jefferson,00 211,State Senate,3,D,Shawn Barney,34
Jefferson,00 211,State Senate,3,D,"""J.P."" Morrell",53
Jefferson,00 G001,State Senate,3,D,Shawn Barney,21
Jefferson,00 G001,State Senate,3,D,"""J.P."" Morrell",45
Jefferson,00 G002,State Senate,3,D,Shawn Barney,39
Jefferson,00 G002,State Senate,3,D,"""J.P."" Morrell",95
Jefferson,Early Voting,State Senate,3,D,Shawn Barney,54
Jefferson,Early Voting,State Senate,3,D,"""J.P."" Morrell",61
Jefferson,Provisional Votes,State Senate,3,D,Shawn Barney,0
Jefferson,Provisional Votes,State Senate,3,D,"""J.P."" Morrell",0
Orleans,05 17,State Senate,3,D,Shawn Barney,72
Orleans,05 17,State Senate,3,D,"""J.P."" Morrell",67
Orleans,05 18,State Senate,3,D,Shawn Barney,47
Orleans,05 18,State Senate,3,D,"""J.P."" Morrell",81
Orleans,06 01,State Senate,3,D,Shawn Barney,76
Orleans,06 01,State Senate,3,D,"""J.P."" Morrell",78
Orleans,07 25A,State Senate,3,D,Shawn Barney,43
Orleans,07 25A,State Senate,3,D,"""J.P."" Morrell",84
Orleans,07 33A,State Senate,3,D,Shawn Barney,15
Orleans,07 33A,State Senate,3,D,"""J.P."" Morrell",33
Orleans,07 35,State Senate,3,D,Shawn Barney,31
Orleans,07 35,State Senate,3,D,"""J.P."" Morrell",22
Orleans,07 36,State Senate,3,D,Shawn Barney,7
Orleans,07 36,State Senate,3,D,"""J.P."" Morrell",45
Orleans,07 36A,State Senate,3,D,Shawn Barney,12
Orleans,07 36A,State Senate,3,D,"""J.P."" Morrell",24
Orleans,07 37,State Senate,3,D,Shawn Barney,11
Orleans,07 37,State Senate,3,D,"""J.P."" Morrell",31
Orleans,07 37A,State Senate,3,D,Shawn Barney,18
Orleans,07 37A,State Senate,3,D,"""J.P."" Morrell",27
Orleans,07 38A,State Senate,3,D,Shawn Barney,20
Orleans,07 38A,State Senate,3,D,"""J.P."" Morrell",28
Orleans,07 39,State Senate,3,D,Shawn Barney,18
Orleans,07 39,State Senate,3,D,"""J.P."" Morrell",32
Orleans,07 40,State Senate,3,D,Shawn Barney,19
Orleans,07 40,State Senate,3,D,"""J.P."" Morrell",52
Orleans,07 41,State Senate,3,D,Shawn Barney,38
Orleans,07 41,State Senate,3,D,"""J.P."" Morrell",58
Orleans,07 42,State Senate,3,D,Shawn Barney,51
Orleans,07 42,State Senate,3,D,"""J.P."" Morrell",62
Orleans,08 01,State Senate,3,D,Shawn Barney,53
Orleans,08 01,State Senate,3,D,"""J.P."" Morrell",72
Orleans,08 02,State Senate,3,D,Shawn Barney,51
Orleans,08 02,State Senate,3,D,"""J.P."" Morrell",64
Orleans,08 04,State Senate,3,D,Shawn Barney,15
Orleans,08 04,State Senate,3,D,"""J.P."" Morrell",22
Orleans,08 06,State Senate,3,D,Shawn Barney,19
Orleans,08 06,State Senate,3,D,"""J.P."" Morrell",34
Orleans,08 07,State Senate,3,D,Shawn Barney,20
Orleans,08 07,State Senate,3,D,"""J.P."" Morrell",20
Orleans,08 08,State Senate,3,D,Shawn Barney,25
Orleans,08 08,State Senate,3,D,"""J.P."" Morrell",33
Orleans,08 10,State Senate,3,D,Shawn Barney,9
Orleans,08 10,State Senate,3,D,"""J.P."" Morrell",25
Orleans,08 12,State Senate,3,D,Shawn Barney,31
Orleans,08 12,State Senate,3,D,"""J.P."" Morrell",35
Orleans,08 14,State Senate,3,D,Shawn Barney,13
Orleans,08 14,State Senate,3,D,"""J.P."" Morrell",26
Orleans,08 15,State Senate,3,D,Shawn Barney,76
Orleans,08 15,State Senate,3,D,"""J.P."" Morrell",73
Orleans,08 16,State Senate,3,D,Shawn Barney,13
Orleans,08 16,State Senate,3,D,"""J.P."" Morrell",30
Orleans,08 17,State Senate,3,D,Shawn Barney,30
Orleans,08 17,State Senate,3,D,"""J.P."" Morrell",33
Orleans,08 18,State Senate,3,D,Shawn Barney,22
Orleans,08 18,State Senate,3,D,"""J.P."" Morrell",39
Orleans,08 19,State Senate,3,D,Shawn Barney,40
Orleans,08 19,State Senate,3,D,"""J.P."" Morrell",45
Orleans,08 20,State Senate,3,D,Shawn Barney,60
Orleans,08 20,State Senate,3,D,"""J.P."" Morrell",57
Orleans,08 21,State Senate,3,D,Shawn Barney,91
Orleans,08 21,State Senate,3,D,"""J.P."" Morrell",86
Orleans,08 22,State Senate,3,D,Shawn Barney,69
Orleans,08 22,State Senate,3,D,"""J.P."" Morrell",77
Orleans,08 23,State Senate,3,D,Shawn Barney,64
Orleans,08 23,State Senate,3,D,"""J.P."" Morrell",91
Orleans,08 24,State Senate,3,D,Shawn Barney,42
Orleans,08 24,State Senate,3,D,"""J.P."" Morrell",52
Orleans,08 25,State Senate,3,D,Shawn Barney,24
Orleans,08 25,State Senate,3,D,"""J.P."" Morrell",35
Orleans,08 25A,State Senate,3,D,Shawn Barney,24
Orleans,08 25A,State Senate,3,D,"""J.P."" Morrell",30
Orleans,08 26,State Senate,3,D,Shawn Barney,28
Orleans,08 26,State Senate,3,D,"""J.P."" Morrell",30
Orleans,08 26A,State Senate,3,D,Shawn Barney,39
Orleans,08 26A,State Senate,3,D,"""J.P."" Morrell",49
Orleans,08 27,State Senate,3,D,Shawn Barney,19
Orleans,08 27,State Senate,3,D,"""J.P."" Morrell",27
Orleans,08 27A,State Senate,3,D,Shawn Barney,39
Orleans,08 27A,State Senate,3,D,"""J.P."" Morrell",45
Orleans,08 28,State Senate,3,D,Shawn Barney,120
Orleans,08 28,State Senate,3,D,"""J.P."" Morrell",137
Orleans,08 29,State Senate,3,D,Shawn Barney,19
Orleans,08 29,State Senate,3,D,"""J.P."" Morrell",40
Orleans,08 30,State Senate,3,D,Shawn Barney,29
Orleans,08 30,State Senate,3,D,"""J.P."" Morrell",38
Orleans,09 09,State Senate,3,D,Shawn Barney,56
Orleans,09 09,State Senate,3,D,"""J.P."" Morrell",36
Orleans,09 10,State Senate,3,D,Shawn Barney,18
Orleans,09 10,State Senate,3,D,"""J.P."" Morrell",33
Orleans,09 11,State Senate,3,D,Shawn Barney,26
Orleans,09 11,State Senate,3,D,"""J.P."" Morrell",32
Orleans,09 12,State Senate,3,D,Shawn Barney,53
Orleans,09 12,State Senate,3,D,"""J.P."" Morrell",57
Orleans,09 13,State Senate,3,D,Shawn Barney,57
Orleans,09 13,State Senate,3,D,"""J.P."" Morrell",54
Orleans,09 14,State Senate,3,D,Shawn Barney,28
Orleans,09 14,State Senate,3,D,"""J.P."" Morrell",35
Orleans,09 15,State Senate,3,D,Shawn Barney,55
Orleans,09 15,State Senate,3,D,"""J.P."" Morrell",59
Orleans,09 16,State Senate,3,D,Shawn Barney,48
Orleans,09 16,State Senate,3,D,"""J.P."" Morrell",42
Orleans,09 17,State Senate,3,D,Shawn Barney,27
Orleans,09 17,State Senate,3,D,"""J.P."" Morrell",38
Orleans,09 18,State Senate,3,D,Shawn Barney,26
Orleans,09 18,State Senate,3,D,"""J.P."" Morrell",29
Orleans,09 19,State Senate,3,D,Shawn Barney,40
Orleans,09 19,State Senate,3,D,"""J.P."" Morrell",37
Orleans,09 21,State Senate,3,D,Shawn Barney,38
Orleans,09 21,State Senate,3,D,"""J.P."" Morrell",39
Orleans,09 22,State Senate,3,D,Shawn Barney,38
Orleans,09 22,State Senate,3,D,"""J.P."" Morrell",42
Orleans,09 23,State Senate,3,D,Shawn Barney,21
Orleans,09 23,State Senate,3,D,"""J.P."" Morrell",33
Orleans,09 24,State Senate,3,D,Shawn Barney,11
Orleans,09 24,State Senate,3,D,"""J.P."" Morrell",19
Orleans,09 25,State Senate,3,D,Shawn Barney,14
Orleans,09 25,State Senate,3,D,"""J.P."" Morrell",19
Orleans,09 25A,State Senate,3,D,Shawn Barney,17
Orleans,09 25A,State Senate,3,D,"""J.P."" Morrell",39
Orleans,09 26,State Senate,3,D,Shawn Barney,17
Orleans,09 26,State Senate,3,D,"""J.P."" Morrell",19
Orleans,09 26A,State Senate,3,D,Shawn Barney,9
Orleans,09 26A,State Senate,3,D,"""J.P."" Morrell",15
Orleans,09 27,State Senate,3,D,Shawn Barney,10
Orleans,09 27,State Senate,3,D,"""J.P."" Morrell",20
Orleans,09 28,State Senate,3,D,Shawn Barney,19
Orleans,09 28,State Senate,3,D,"""J.P."" Morrell",29
Orleans,09 28A,State Senate,3,D,Shawn Barney,0
Orleans,09 28A,State Senate,3,D,"""J.P."" Morrell",1
Orleans,09 28C,State Senate,3,D,Shawn Barney,8
Orleans,09 28C,State Senate,3,D,"""J.P."" Morrell",6
Orleans,09 28D,State Senate,3,D,Shawn Barney,6
Orleans,09 28D,State Senate,3,D,"""J.P."" Morrell",13
Orleans,09 28E,State Senate,3,D,Shawn Barney,13
Orleans,09 28E,State Senate,3,D,"""J.P."" Morrell",8
Orleans,09 28F,State Senate,3,D,Shawn Barney,14
Orleans,09 28F,State Senate,3,D,"""J.P."" Morrell",20
Orleans,09 29,State Senate,3,D,Shawn Barney,23
Orleans,09 29,State Senate,3,D,"""J.P."" Morrell",21
Orleans,09 29A,State Senate,3,D,Shawn Barney,55
Orleans,09 29A,State Senate,3,D,"""J.P."" Morrell",58
Orleans,09 30,State Senate,3,D,Shawn Barney,32
Orleans,09 30,State Senate,3,D,"""J.P."" Morrell",42
Orleans,09 30A,State Senate,3,D,Shawn Barney,37
Orleans,09 30A,State Senate,3,D,"""J.P."" Morrell",53
Orleans,09 31,State Senate,3,D,Shawn Barney,30
Orleans,09 31,State Senate,3,D,"""J.P."" Morrell",58
Orleans,09 31A,State Senate,3,D,Shawn Barney,35
Orleans,09 31A,State Senate,3,D,"""J.P."" Morrell",36
Orleans,09 31B,State Senate,3,D,Shawn Barney,40
Orleans,09 31B,State Senate,3,D,"""J.P."" Morrell",43
Orleans,09 31C,State Senate,3,D,Shawn Barney,51
Orleans,09 31C,State Senate,3,D,"""J.P."" Morrell",44
Orleans,09 31D,State Senate,3,D,Shawn Barney,35
Orleans,09 31D,State Senate,3,D,"""J.P."" Morrell",54
Orleans,09 31E,State Senate,3,D,Shawn Barney,35
Orleans,09 31E,State Senate,3,D,"""J.P."" Morrell",47
Orleans,09 33,State Senate,3,D,Shawn Barney,23
Orleans,09 33,State Senate,3,D,"""J.P."" Morrell",29
Orleans,09 33A,State Senate,3,D,Shawn Barney,25
Orleans,09 33A,State Senate,3,D,"""J.P."" Morrell",39
