parish,office,district,party,candidate,votes
Concordia,State House,21st Representative District,D,"""Andy"" Anders",3339
Concordia,State House,21st Representative District,D,James E. Lee,1320
Concordia,State House,21st Representative District,D,Samuel Thomas,430
East Carroll,State House,21st Representative District,D,"""Andy"" Anders",232
East Carroll,State House,21st Representative District,D,James E. Lee,321
East Carroll,State House,21st Representative District,D,Samuel Thomas,755
Madison,State House,21st Representative District,D,"""Andy"" Anders",232
Madison,State House,21st Representative District,D,James E. Lee,258
Madison,State House,21st Representative District,D,Samuel Thomas,1030
Tensas,State House,21st Representative District,D,"""Andy"" Anders",813
Tensas,State House,21st Representative District,D,James E. Lee,321
Tensas,State House,21st Representative District,D,Samuel Thomas,340
Orleans,State House,97th Representative District,R,Gary Clark,324
Orleans,State House,97th Representative District,D,Brian Egana,1026
Orleans,State House,97th Representative District,D,"""J. P."" Morrell",978
