parish,office,district,party,candidate,votes
East Baton Rouge,State Senate,16th Senatorial District,R,"""Bill"" Cassidy",8394
East Baton Rouge,State Senate,16th Senatorial District,R,William Daniel,5472
East Baton Rouge,State Senate,16th Senatorial District,L,S. B. A. Zaitoon,592
