parish,office,district,party,candidate,votes
Bienville,State House,13th Representative District,D,Todd Culpepper,492
Bienville,State House,13th Representative District,D,"James R. ""Jim"" Fannin",523
Jackson,State House,13th Representative District,D,Todd Culpepper,1783
Jackson,State House,13th Representative District,D,"James R. ""Jim"" Fannin",1892
Lincoln,State House,13th Representative District,D,Todd Culpepper,17
Lincoln,State House,13th Representative District,D,"James R. ""Jim"" Fannin",61
Ouachita,State House,13th Representative District,D,Todd Culpepper,115
Ouachita,State House,13th Representative District,D,"James R. ""Jim"" Fannin",139
Winn,State House,13th Representative District,D,Todd Culpepper,408
Winn,State House,13th Representative District,D,"James R. ""Jim"" Fannin",981
