parish,precinct,office,district,party,candidate,votes
East Baton Rouge,01 089,State House,65,R,Barry Ivey,62
East Baton Rouge,01 089,State House,65,R,Scott Wilson,41
East Baton Rouge,01 097,State House,65,R,Barry Ivey,19
East Baton Rouge,01 097,State House,65,R,Scott Wilson,14
East Baton Rouge,01 098 A,State House,65,R,Barry Ivey,65
East Baton Rouge,01 098 A,State House,65,R,Scott Wilson,32
East Baton Rouge,01 098 B,State House,65,R,Barry Ivey,72
East Baton Rouge,01 098 B,State House,65,R,Scott Wilson,22
East Baton Rouge,03 001 A,State House,65,R,Barry Ivey,124
East Baton Rouge,03 001 A,State House,65,R,Scott Wilson,122
East Baton Rouge,03 001 B,State House,65,R,Barry Ivey,141
East Baton Rouge,03 001 B,State House,65,R,Scott Wilson,123
East Baton Rouge,03 006 A,State House,65,R,Barry Ivey,84
East Baton Rouge,03 006 A,State House,65,R,Scott Wilson,67
East Baton Rouge,03 006 B,State House,65,R,Barry Ivey,67
East Baton Rouge,03 006 B,State House,65,R,Scott Wilson,75
East Baton Rouge,03 009 A,State House,65,R,Barry Ivey,108
East Baton Rouge,03 009 A,State House,65,R,Scott Wilson,95
East Baton Rouge,03 009 B,State House,65,R,Barry Ivey,147
East Baton Rouge,03 009 B,State House,65,R,Scott Wilson,135
East Baton Rouge,03 012 A,State House,65,R,Barry Ivey,45
East Baton Rouge,03 012 A,State House,65,R,Scott Wilson,30
East Baton Rouge,03 012 B,State House,65,R,Barry Ivey,36
East Baton Rouge,03 012 B,State House,65,R,Scott Wilson,30
East Baton Rouge,03 014 A,State House,65,R,Barry Ivey,96
East Baton Rouge,03 014 A,State House,65,R,Scott Wilson,109
East Baton Rouge,03 014 B,State House,65,R,Barry Ivey,65
East Baton Rouge,03 014 B,State House,65,R,Scott Wilson,98
East Baton Rouge,03 021 A,State House,65,R,Barry Ivey,37
East Baton Rouge,03 021 A,State House,65,R,Scott Wilson,14
East Baton Rouge,03 021 B,State House,65,R,Barry Ivey,44
East Baton Rouge,03 021 B,State House,65,R,Scott Wilson,20
East Baton Rouge,03 025 A,State House,65,R,Barry Ivey,67
East Baton Rouge,03 025 A,State House,65,R,Scott Wilson,71
East Baton Rouge,03 025 B,State House,65,R,Barry Ivey,74
East Baton Rouge,03 025 B,State House,65,R,Scott Wilson,53
East Baton Rouge,03 026 A,State House,65,R,Barry Ivey,122
East Baton Rouge,03 026 A,State House,65,R,Scott Wilson,117
East Baton Rouge,03 026 B,State House,65,R,Barry Ivey,101
East Baton Rouge,03 026 B,State House,65,R,Scott Wilson,108
East Baton Rouge,03 028 A,State House,65,R,Barry Ivey,37
East Baton Rouge,03 028 A,State House,65,R,Scott Wilson,32
East Baton Rouge,03 028 B,State House,65,R,Barry Ivey,33
East Baton Rouge,03 028 B,State House,65,R,Scott Wilson,28
East Baton Rouge,03 030 A,State House,65,R,Barry Ivey,111
East Baton Rouge,03 030 A,State House,65,R,Scott Wilson,102
