parish,office,district,party,candidate,votes
Jefferson,U.S. House,1st Congressional District - Republican Party,R,"""Tim"" Burns",2242
Jefferson,U.S. House,1st Congressional District - Republican Party,R,"""Steve"" Scalise",11270
Orleans,U.S. House,1st Congressional District - Republican Party,R,"""Tim"" Burns",356
Orleans,U.S. House,1st Congressional District - Republican Party,R,"""Steve"" Scalise",1199
St. Charles,U.S. House,1st Congressional District - Republican Party,R,"""Tim"" Burns",86
St. Charles,U.S. House,1st Congressional District - Republican Party,R,"""Steve"" Scalise",334
St. Tammany,U.S. House,1st Congressional District - Republican Party,R,"""Tim"" Burns",9404
St. Tammany,U.S. House,1st Congressional District - Republican Party,R,"""Steve"" Scalise",4682
Tangipahoa,U.S. House,1st Congressional District - Republican Party,R,"""Tim"" Burns",1178
Tangipahoa,U.S. House,1st Congressional District - Republican Party,R,"""Steve"" Scalise",1529
Washington,U.S. House,1st Congressional District - Republican Party,R,"""Tim"" Burns",692
Washington,U.S. House,1st Congressional District - Republican Party,R,"""Steve"" Scalise",324
Ascension,U.S. House,6th Congressional District - Democratic Party,D,"""Don"" Cazayoux",936
Ascension,U.S. House,6th Congressional District - Democratic Party,D,Michael Jackson,180
East Baton Rouge,U.S. House,6th Congressional District - Democratic Party,D,"""Don"" Cazayoux",10712
East Baton Rouge,U.S. House,6th Congressional District - Democratic Party,D,Michael Jackson,11713
East Feliciana,U.S. House,6th Congressional District - Democratic Party,D,"""Don"" Cazayoux",720
East Feliciana,U.S. House,6th Congressional District - Democratic Party,D,Michael Jackson,781
Iberville,U.S. House,6th Congressional District - Democratic Party,D,"""Don"" Cazayoux",709
Iberville,U.S. House,6th Congressional District - Democratic Party,D,Michael Jackson,432
Livingston,U.S. House,6th Congressional District - Democratic Party,D,"""Don"" Cazayoux",2950
Livingston,U.S. House,6th Congressional District - Democratic Party,D,Michael Jackson,342
Pointe Coupee,U.S. House,6th Congressional District - Democratic Party,D,"""Don"" Cazayoux",1821
Pointe Coupee,U.S. House,6th Congressional District - Democratic Party,D,Michael Jackson,64
St. Helena,U.S. House,6th Congressional District - Democratic Party,D,"""Don"" Cazayoux",300
St. Helena,U.S. House,6th Congressional District - Democratic Party,D,Michael Jackson,505
West Baton Rouge,U.S. House,6th Congressional District - Democratic Party,D,"""Don"" Cazayoux",1255
West Baton Rouge,U.S. House,6th Congressional District - Democratic Party,D,Michael Jackson,591
West Feliciana,U.S. House,6th Congressional District - Democratic Party,D,"""Don"" Cazayoux",403
West Feliciana,U.S. House,6th Congressional District - Democratic Party,D,Michael Jackson,460
Ascension,U.S. House,6th Congressional District - Republican Party,R,Laurinda L. Calongne,637
Ascension,U.S. House,6th Congressional District - Republican Party,R,"Louis ""Woody"" Jenkins",893
East Baton Rouge,U.S. House,6th Congressional District - Republican Party,R,Laurinda L. Calongne,6493
East Baton Rouge,U.S. House,6th Congressional District - Republican Party,R,"Louis ""Woody"" Jenkins",9981
East Feliciana,U.S. House,6th Congressional District - Republican Party,R,Laurinda L. Calongne,211
East Feliciana,U.S. House,6th Congressional District - Republican Party,R,"Louis ""Woody"" Jenkins",575
Iberville,U.S. House,6th Congressional District - Republican Party,R,Laurinda L. Calongne,111
Iberville,U.S. House,6th Congressional District - Republican Party,R,"Louis ""Woody"" Jenkins",151
Livingston,U.S. House,6th Congressional District - Republican Party,R,Laurinda L. Calongne,1252
Livingston,U.S. House,6th Congressional District - Republican Party,R,"Louis ""Woody"" Jenkins",2706
Pointe Coupee,U.S. House,6th Congressional District - Republican Party,R,Laurinda L. Calongne,215
Pointe Coupee,U.S. House,6th Congressional District - Republican Party,R,"Louis ""Woody"" Jenkins",245
St. Helena,U.S. House,6th Congressional District - Republican Party,R,Laurinda L. Calongne,61
St. Helena,U.S. House,6th Congressional District - Republican Party,R,"Louis ""Woody"" Jenkins",162
West Baton Rouge,U.S. House,6th Congressional District - Republican Party,R,Laurinda L. Calongne,205
West Baton Rouge,U.S. House,6th Congressional District - Republican Party,R,"Louis ""Woody"" Jenkins",258
West Feliciana,U.S. House,6th Congressional District - Republican Party,R,Laurinda L. Calongne,142
West Feliciana,U.S. House,6th Congressional District - Republican Party,R,"Louis ""Woody"" Jenkins",208
