parish,precinct,office,district,party,candidate,votes
Ascension,00 01,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",30
Ascension,00 01,U.S. House,6 - Democratic Party,D,Michael Jackson,23
Ascension,00 02,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",51
Ascension,00 02,U.S. House,6 - Democratic Party,D,Michael Jackson,11
Ascension,00 03,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",51
Ascension,00 03,U.S. House,6 - Democratic Party,D,Michael Jackson,3
Ascension,00 04,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",37
Ascension,00 04,U.S. House,6 - Democratic Party,D,Michael Jackson,3
Ascension,00 05A,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",41
Ascension,00 05A,U.S. House,6 - Democratic Party,D,Michael Jackson,3
Ascension,00 05B,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",23
Ascension,00 05B,U.S. House,6 - Democratic Party,D,Michael Jackson,2
Ascension,00 06,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",63
Ascension,00 06,U.S. House,6 - Democratic Party,D,Michael Jackson,18
Ascension,00 07,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",45
Ascension,00 07,U.S. House,6 - Democratic Party,D,Michael Jackson,9
Ascension,00 08,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",41
Ascension,00 08,U.S. House,6 - Democratic Party,D,Michael Jackson,6
Ascension,00 09,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",28
Ascension,00 09,U.S. House,6 - Democratic Party,D,Michael Jackson,10
Ascension,00 10,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",25
Ascension,00 10,U.S. House,6 - Democratic Party,D,Michael Jackson,5
Ascension,00 11,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",23
Ascension,00 11,U.S. House,6 - Democratic Party,D,Michael Jackson,18
Ascension,00 12,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",51
Ascension,00 12,U.S. House,6 - Democratic Party,D,Michael Jackson,0
Ascension,00 13,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",41
Ascension,00 13,U.S. House,6 - Democratic Party,D,Michael Jackson,5
Ascension,00 14,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",41
Ascension,00 14,U.S. House,6 - Democratic Party,D,Michael Jackson,2
Ascension,00 15,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",61
Ascension,00 15,U.S. House,6 - Democratic Party,D,Michael Jackson,2
Ascension,00 16A,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",26
Ascension,00 16A,U.S. House,6 - Democratic Party,D,Michael Jackson,6
Ascension,00 16B,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",19
Ascension,00 16B,U.S. House,6 - Democratic Party,D,Michael Jackson,10
Ascension,00 17,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",28
Ascension,00 17,U.S. House,6 - Democratic Party,D,Michael Jackson,9
Ascension,00 18,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",27
Ascension,00 18,U.S. House,6 - Democratic Party,D,Michael Jackson,2
Ascension,00 19A,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",32
Ascension,00 19A,U.S. House,6 - Democratic Party,D,Michael Jackson,9
Ascension,00 19B,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",19
Ascension,00 19B,U.S. House,6 - Democratic Party,D,Michael Jackson,11
Ascension,00 19C,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",17
Ascension,00 19C,U.S. House,6 - Democratic Party,D,Michael Jackson,9
Ascension,00 20,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",38
Ascension,00 20,U.S. House,6 - Democratic Party,D,Michael Jackson,2
Ascension,00 21,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",38
Ascension,00 21,U.S. House,6 - Democratic Party,D,Michael Jackson,0
Ascension,00 61,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",2
Ascension,00 61,U.S. House,6 - Democratic Party,D,Michael Jackson,1
Ascension,Early Voting,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",38
Ascension,Early Voting,U.S. House,6 - Democratic Party,D,Michael Jackson,1
Ascension,Provisional Votes,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",0
Ascension,Provisional Votes,U.S. House,6 - Democratic Party,D,Michael Jackson,0
East Baton Rouge,01 001,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",47
East Baton Rouge,01 001,U.S. House,6 - Democratic Party,D,Michael Jackson,29
East Baton Rouge,01 002A,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",1
East Baton Rouge,01 002A,U.S. House,6 - Democratic Party,D,Michael Jackson,18
East Baton Rouge,01 002B,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",1
East Baton Rouge,01 002B,U.S. House,6 - Democratic Party,D,Michael Jackson,19
East Baton Rouge,01 003,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",11
East Baton Rouge,01 003,U.S. House,6 - Democratic Party,D,Michael Jackson,53
East Baton Rouge,01 004,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",2
East Baton Rouge,01 004,U.S. House,6 - Democratic Party,D,Michael Jackson,46
East Baton Rouge,01 005A,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",3
East Baton Rouge,01 005A,U.S. House,6 - Democratic Party,D,Michael Jackson,57
East Baton Rouge,01 005B,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",3
East Baton Rouge,01 005B,U.S. House,6 - Democratic Party,D,Michael Jackson,57
East Baton Rouge,01 006,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",5
East Baton Rouge,01 006,U.S. House,6 - Democratic Party,D,Michael Jackson,50
East Baton Rouge,01 007,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",53
East Baton Rouge,01 007,U.S. House,6 - Democratic Party,D,Michael Jackson,31
East Baton Rouge,01 008,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",76
East Baton Rouge,01 008,U.S. House,6 - Democratic Party,D,Michael Jackson,22
East Baton Rouge,01 009,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",68
East Baton Rouge,01 009,U.S. House,6 - Democratic Party,D,Michael Jackson,27
East Baton Rouge,01 010A,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",4
East Baton Rouge,01 010A,U.S. House,6 - Democratic Party,D,Michael Jackson,47
East Baton Rouge,01 010B,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",5
East Baton Rouge,01 010B,U.S. House,6 - Democratic Party,D,Michael Jackson,40
East Baton Rouge,01 012A,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",70
East Baton Rouge,01 012A,U.S. House,6 - Democratic Party,D,Michael Jackson,18
East Baton Rouge,01 012B,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",58
East Baton Rouge,01 012B,U.S. House,6 - Democratic Party,D,Michael Jackson,10
East Baton Rouge,01 013,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",6
East Baton Rouge,01 013,U.S. House,6 - Democratic Party,D,Michael Jackson,35
East Baton Rouge,01 014A,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",2
East Baton Rouge,01 014A,U.S. House,6 - Democratic Party,D,Michael Jackson,101
East Baton Rouge,01 014B,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",1
East Baton Rouge,01 014B,U.S. House,6 - Democratic Party,D,Michael Jackson,91
East Baton Rouge,01 015A,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",8
East Baton Rouge,01 015A,U.S. House,6 - Democratic Party,D,Michael Jackson,79
East Baton Rouge,01 015B,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",6
East Baton Rouge,01 015B,U.S. House,6 - Democratic Party,D,Michael Jackson,106
East Baton Rouge,01 016,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",8
East Baton Rouge,01 016,U.S. House,6 - Democratic Party,D,Michael Jackson,68
East Baton Rouge,01 017,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",7
East Baton Rouge,01 017,U.S. House,6 - Democratic Party,D,Michael Jackson,25
East Baton Rouge,01 018,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",5
East Baton Rouge,01 018,U.S. House,6 - Democratic Party,D,Michael Jackson,21
East Baton Rouge,01 019,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",1
East Baton Rouge,01 019,U.S. House,6 - Democratic Party,D,Michael Jackson,63
East Baton Rouge,01 021,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",15
East Baton Rouge,01 021,U.S. House,6 - Democratic Party,D,Michael Jackson,35
East Baton Rouge,01 022,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",6
East Baton Rouge,01 022,U.S. House,6 - Democratic Party,D,Michael Jackson,19
East Baton Rouge,01 023,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",6
East Baton Rouge,01 023,U.S. House,6 - Democratic Party,D,Michael Jackson,55
East Baton Rouge,01 024,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",16
East Baton Rouge,01 024,U.S. House,6 - Democratic Party,D,Michael Jackson,80
East Baton Rouge,01 025,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",17
East Baton Rouge,01 025,U.S. House,6 - Democratic Party,D,Michael Jackson,83
East Baton Rouge,01 026,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",9
East Baton Rouge,01 026,U.S. House,6 - Democratic Party,D,Michael Jackson,51
East Baton Rouge,01 027,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",15
East Baton Rouge,01 027,U.S. House,6 - Democratic Party,D,Michael Jackson,95
East Baton Rouge,01 028,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",15
East Baton Rouge,01 028,U.S. House,6 - Democratic Party,D,Michael Jackson,81
East Baton Rouge,01 029,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",16
East Baton Rouge,01 029,U.S. House,6 - Democratic Party,D,Michael Jackson,91
East Baton Rouge,01 030,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",6
East Baton Rouge,01 030,U.S. House,6 - Democratic Party,D,Michael Jackson,95
East Baton Rouge,01 031A,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",10
East Baton Rouge,01 031A,U.S. House,6 - Democratic Party,D,Michael Jackson,53
East Baton Rouge,01 031B,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",12
East Baton Rouge,01 031B,U.S. House,6 - Democratic Party,D,Michael Jackson,46
East Baton Rouge,01 032A,U.S. House,6 - Democratic Party,D,"""Don"" Cazayoux",9
