parish,precinct,office,district,party,candidate,votes
Acadia,01 01,U.S. Senate,,D,Mary Landrieu,128
Acadia,01 01,U.S. Senate,,R,Suzanne Haik Terrell,216
Acadia,01 02A,U.S. Senate,,D,Mary Landrieu,107
Acadia,01 02A,U.S. Senate,,R,Suzanne Haik Terrell,98
Acadia,01 02B,U.S. Senate,,D,Mary Landrieu,90
Acadia,01 02B,U.S. Senate,,R,Suzanne Haik Terrell,164
Acadia,01 03A,U.S. Senate,,D,Mary Landrieu,123
Acadia,01 03A,U.S. Senate,,R,Suzanne Haik Terrell,242
Acadia,01 03B,U.S. Senate,,D,Mary Landrieu,102
Acadia,01 03B,U.S. Senate,,R,Suzanne Haik Terrell,52
Acadia,01 04A,U.S. Senate,,D,Mary Landrieu,91
Acadia,01 04A,U.S. Senate,,R,Suzanne Haik Terrell,135
Acadia,01 04B,U.S. Senate,,D,Mary Landrieu,75
Acadia,01 04B,U.S. Senate,,R,Suzanne Haik Terrell,127
Acadia,01 05A,U.S. Senate,,D,Mary Landrieu,90
Acadia,01 05A,U.S. Senate,,R,Suzanne Haik Terrell,91
Acadia,01 05B,U.S. Senate,,D,Mary Landrieu,136
Acadia,01 05B,U.S. Senate,,R,Suzanne Haik Terrell,40
Acadia,01 06,U.S. Senate,,D,Mary Landrieu,269
Acadia,01 06,U.S. Senate,,R,Suzanne Haik Terrell,10
Acadia,01 07,U.S. Senate,,D,Mary Landrieu,256
Acadia,01 07,U.S. Senate,,R,Suzanne Haik Terrell,60
Acadia,01 08,U.S. Senate,,D,Mary Landrieu,88
Acadia,01 08,U.S. Senate,,R,Suzanne Haik Terrell,107
Acadia,01 09,U.S. Senate,,D,Mary Landrieu,91
Acadia,01 09,U.S. Senate,,R,Suzanne Haik Terrell,121
Acadia,01 10,U.S. Senate,,D,Mary Landrieu,9
Acadia,01 10,U.S. Senate,,R,Suzanne Haik Terrell,33
Acadia,01 11,U.S. Senate,,D,Mary Landrieu,10
Acadia,01 11,U.S. Senate,,R,Suzanne Haik Terrell,21
Acadia,02 01,U.S. Senate,,D,Mary Landrieu,143
Acadia,02 01,U.S. Senate,,R,Suzanne Haik Terrell,166
Acadia,02 02,U.S. Senate,,D,Mary Landrieu,77
Acadia,02 02,U.S. Senate,,R,Suzanne Haik Terrell,227
Acadia,02 03,U.S. Senate,,D,Mary Landrieu,85
Acadia,02 03,U.S. Senate,,R,Suzanne Haik Terrell,134
Acadia,02 04,U.S. Senate,,D,Mary Landrieu,57
Acadia,02 04,U.S. Senate,,R,Suzanne Haik Terrell,205
Acadia,02 05,U.S. Senate,,D,Mary Landrieu,56
Acadia,02 05,U.S. Senate,,R,Suzanne Haik Terrell,134
Acadia,03 01,U.S. Senate,,D,Mary Landrieu,175
Acadia,03 01,U.S. Senate,,R,Suzanne Haik Terrell,192
Acadia,03 02,U.S. Senate,,D,Mary Landrieu,82
Acadia,03 02,U.S. Senate,,R,Suzanne Haik Terrell,190
Acadia,03 03A,U.S. Senate,,D,Mary Landrieu,180
Acadia,03 03A,U.S. Senate,,R,Suzanne Haik Terrell,157
Acadia,03 03B,U.S. Senate,,D,Mary Landrieu,70
Acadia,03 03B,U.S. Senate,,R,Suzanne Haik Terrell,95
Acadia,03 03C,U.S. Senate,,D,Mary Landrieu,19
Acadia,03 03C,U.S. Senate,,R,Suzanne Haik Terrell,18
Acadia,03 04,U.S. Senate,,D,Mary Landrieu,246
Acadia,03 04,U.S. Senate,,R,Suzanne Haik Terrell,41
Acadia,03 05,U.S. Senate,,D,Mary Landrieu,52
Acadia,03 05,U.S. Senate,,R,Suzanne Haik Terrell,47
Acadia,03 06,U.S. Senate,,D,Mary Landrieu,83
Acadia,03 06,U.S. Senate,,R,Suzanne Haik Terrell,49
Acadia,03 07,U.S. Senate,,D,Mary Landrieu,117
Acadia,03 07,U.S. Senate,,R,Suzanne Haik Terrell,153
Acadia,04 01,U.S. Senate,,D,Mary Landrieu,119
