parish,office,district,party,candidate,votes
Jefferson,State Senate,6,D,Una Anderson,691
Jefferson,State Senate,6,R,Jack M. Capella,897
Jefferson,State Senate,6,R,John LaBruzzo,1084
Jefferson,State Senate,6,R,Julie Quinn,2415
Jefferson,State Senate,6,N,John F. Schwegmann,111
Jefferson,State Senate,6,N,Arden Wells,11
Jefferson,State Senate,6,R,Diane Winston,685
Orleans,State Senate,6,D,Una Anderson,1629
Orleans,State Senate,6,R,Jack M. Capella,270
Orleans,State Senate,6,R,John LaBruzzo,103
Orleans,State Senate,6,R,Julie Quinn,497
Orleans,State Senate,6,N,John F. Schwegmann,43
Orleans,State Senate,6,N,Arden Wells,18
Orleans,State Senate,6,R,Diane Winston,694
St. Tammany,State Senate,6,D,Una Anderson,465
St. Tammany,State Senate,6,R,Jack M. Capella,329
St. Tammany,State Senate,6,R,John LaBruzzo,311
St. Tammany,State Senate,6,R,Julie Quinn,479
St. Tammany,State Senate,6,N,John F. Schwegmann,47
St. Tammany,State Senate,6,N,Arden Wells,40
St. Tammany,State Senate,6,R,Diane Winston,2769
Tangipahoa,State Senate,6,D,Una Anderson,637
Tangipahoa,State Senate,6,R,Jack M. Capella,709
Tangipahoa,State Senate,6,R,John LaBruzzo,274
Tangipahoa,State Senate,6,R,Julie Quinn,852
Tangipahoa,State Senate,6,N,John F. Schwegmann,51
Tangipahoa,State Senate,6,N,Arden Wells,189
Tangipahoa,State Senate,6,R,Diane Winston,1463
