parish,precinct,office,district,party,candidate,votes
Orleans,06 01,State House,96,D,Juan LaFonta,54
Orleans,06 01,State House,96,D,Michael McKenna,29
Orleans,06 02,State House,96,D,Juan LaFonta,71
Orleans,06 02,State House,96,D,Michael McKenna,54
Orleans,06 04,State House,96,D,Juan LaFonta,17
Orleans,06 04,State House,96,D,Michael McKenna,38
Orleans,07 01,State House,96,D,Juan LaFonta,70
Orleans,07 01,State House,96,D,Michael McKenna,41
Orleans,07 02,State House,96,D,Juan LaFonta,42
Orleans,07 02,State House,96,D,Michael McKenna,9
Orleans,07 04,State House,96,D,Juan LaFonta,17
Orleans,07 04,State House,96,D,Michael McKenna,24
Orleans,07 04A,State House,96,D,Juan LaFonta,16
Orleans,07 04A,State House,96,D,Michael McKenna,24
Orleans,07 05,State House,96,D,Juan LaFonta,15
Orleans,07 05,State House,96,D,Michael McKenna,17
Orleans,07 07,State House,96,D,Juan LaFonta,27
Orleans,07 07,State House,96,D,Michael McKenna,17
Orleans,07 08,State House,96,D,Juan LaFonta,44
Orleans,07 08,State House,96,D,Michael McKenna,24
Orleans,07 09,State House,96,D,Juan LaFonta,20
Orleans,07 09,State House,96,D,Michael McKenna,16
Orleans,07 09A,State House,96,D,Juan LaFonta,47
Orleans,07 09A,State House,96,D,Michael McKenna,22
Orleans,07 10,State House,96,D,Juan LaFonta,30
Orleans,07 10,State House,96,D,Michael McKenna,24
Orleans,07 17,State House,96,D,Juan LaFonta,32
Orleans,07 17,State House,96,D,Michael McKenna,32
Orleans,07 18,State House,96,D,Juan LaFonta,105
Orleans,07 18,State House,96,D,Michael McKenna,67
Orleans,07 19,State House,96,D,Juan LaFonta,84
Orleans,07 19,State House,96,D,Michael McKenna,34
Orleans,07 20,State House,96,D,Juan LaFonta,32
Orleans,07 20,State House,96,D,Michael McKenna,50
Orleans,07 20A,State House,96,D,Juan LaFonta,28
Orleans,07 20A,State House,96,D,Michael McKenna,31
Orleans,07 21,State House,96,D,Juan LaFonta,46
Orleans,07 21,State House,96,D,Michael McKenna,45
Orleans,07 22,State House,96,D,Juan LaFonta,61
Orleans,07 22,State House,96,D,Michael McKenna,33
Orleans,07 23,State House,96,D,Juan LaFonta,98
Orleans,07 23,State House,96,D,Michael McKenna,73
Orleans,07 24,State House,96,D,Juan LaFonta,116
Orleans,07 24,State House,96,D,Michael McKenna,12
Orleans,07 26,State House,96,D,Juan LaFonta,37
Orleans,07 26,State House,96,D,Michael McKenna,20
Orleans,07 26A,State House,96,D,Juan LaFonta,62
Orleans,07 26A,State House,96,D,Michael McKenna,84
Orleans,07 27,State House,96,D,Juan LaFonta,52
Orleans,07 27,State House,96,D,Michael McKenna,28
Orleans,07 27A,State House,96,D,Juan LaFonta,37
Orleans,07 27A,State House,96,D,Michael McKenna,19
Orleans,07 27B,State House,96,D,Juan LaFonta,28
Orleans,07 27B,State House,96,D,Michael McKenna,37
Orleans,07 28,State House,96,D,Juan LaFonta,57
Orleans,07 28,State House,96,D,Michael McKenna,46
Orleans,07 28A,State House,96,D,Juan LaFonta,46
Orleans,07 28A,State House,96,D,Michael McKenna,50
Orleans,07 30,State House,96,D,Juan LaFonta,70
Orleans,07 30,State House,96,D,Michael McKenna,139
Orleans,07 31,State House,96,D,Juan LaFonta,64
Orleans,07 31,State House,96,D,Michael McKenna,74
Orleans,08 01,State House,96,D,Juan LaFonta,52
Orleans,08 01,State House,96,D,Michael McKenna,26
Orleans,08 02,State House,96,D,Juan LaFonta,55
Orleans,08 02,State House,96,D,Michael McKenna,29
Orleans,08 04,State House,96,D,Juan LaFonta,40
Orleans,08 04,State House,96,D,Michael McKenna,6
Orleans,08 06,State House,96,D,Juan LaFonta,15
Orleans,08 06,State House,96,D,Michael McKenna,12
Orleans,08 07,State House,96,D,Juan LaFonta,18
Orleans,08 07,State House,96,D,Michael McKenna,20
Orleans,08 08,State House,96,D,Juan LaFonta,23
Orleans,08 08,State House,96,D,Michael McKenna,10
Orleans,Early Voting,State House,96,D,Juan LaFonta,41
Orleans,Early Voting,State House,96,D,Michael McKenna,6
