parish,office,district,party,candidate,votes
East Baton Rouge,State House,29th Representative District,D,Regina Ashford Barrow,1316
East Baton Rouge,State House,29th Representative District,D,Charles R. Kelly,983
West Baton Rouge,State House,29th Representative District,D,Regina Ashford Barrow,169
West Baton Rouge,State House,29th Representative District,D,Charles R. Kelly,50
East Baton Rouge,State House,66th Representative District,R,Hunter Greene,2951
East Baton Rouge,State House,66th Representative District,R,Sean Riecke,2565
