parish,office,district,party,candidate,votes
Jefferson,State Senate,3,O,Faris S. Altikriti,34
Jefferson,State Senate,3,D,Wayne Baquet,133
Jefferson,State Senate,3,D,Sandra Cabrina Jenkins,42
Jefferson,State Senate,3,D,Jeanne C. McGlory,23
Jefferson,State Senate,3,D,Toni Orrill,34
Jefferson,State Senate,3,D,Derrick Shepherd,2214
Orleans,State Senate,3,O,Faris S. Altikriti,148
Orleans,State Senate,3,D,Wayne Baquet,2449
Orleans,State Senate,3,D,Sandra Cabrina Jenkins,411
Orleans,State Senate,3,D,Jeanne C. McGlory,88
Orleans,State Senate,3,D,Toni Orrill,341
Orleans,State Senate,3,D,Derrick Shepherd,1682
