parish,precinct,office,district,party,candidate,votes
East Baton Rouge,01 017,State House,29,D,Raymond Allmon,7
East Baton Rouge,01 017,State House,29,D,Regina Ashford Barrow,7
East Baton Rouge,01 017,State House,29,D,Donald R. Dobbins,1
East Baton Rouge,01 017,State House,29,D,Sarah Holliday,4
East Baton Rouge,01 017,State House,29,D,Charles R. Kelly,2
East Baton Rouge,01 017,State House,29,D,Herbert A. Pate,2
East Baton Rouge,01 017,State House,29,R,Harold Williams,6
East Baton Rouge,01 023,State House,29,D,Raymond Allmon,1
East Baton Rouge,01 023,State House,29,D,Regina Ashford Barrow,11
East Baton Rouge,01 023,State House,29,D,Donald R. Dobbins,3
East Baton Rouge,01 023,State House,29,D,Sarah Holliday,11
East Baton Rouge,01 023,State House,29,D,Charles R. Kelly,25
East Baton Rouge,01 023,State House,29,D,Herbert A. Pate,2
East Baton Rouge,01 023,State House,29,R,Harold Williams,2
East Baton Rouge,01 058A,State House,29,D,Raymond Allmon,3
East Baton Rouge,01 058A,State House,29,D,Regina Ashford Barrow,16
East Baton Rouge,01 058A,State House,29,D,Donald R. Dobbins,2
East Baton Rouge,01 058A,State House,29,D,Sarah Holliday,2
East Baton Rouge,01 058A,State House,29,D,Charles R. Kelly,15
East Baton Rouge,01 058A,State House,29,D,Herbert A. Pate,2
East Baton Rouge,01 058A,State House,29,R,Harold Williams,5
East Baton Rouge,01 058B,State House,29,D,Raymond Allmon,1
East Baton Rouge,01 058B,State House,29,D,Regina Ashford Barrow,9
East Baton Rouge,01 058B,State House,29,D,Donald R. Dobbins,0
East Baton Rouge,01 058B,State House,29,D,Sarah Holliday,5
East Baton Rouge,01 058B,State House,29,D,Charles R. Kelly,9
East Baton Rouge,01 058B,State House,29,D,Herbert A. Pate,3
East Baton Rouge,01 058B,State House,29,R,Harold Williams,3
East Baton Rouge,01 070A,State House,29,D,Raymond Allmon,7
East Baton Rouge,01 070A,State House,29,D,Regina Ashford Barrow,40
East Baton Rouge,01 070A,State House,29,D,Donald R. Dobbins,9
East Baton Rouge,01 070A,State House,29,D,Sarah Holliday,14
East Baton Rouge,01 070A,State House,29,D,Charles R. Kelly,19
East Baton Rouge,01 070A,State House,29,D,Herbert A. Pate,6
East Baton Rouge,01 070A,State House,29,R,Harold Williams,6
East Baton Rouge,01 070B,State House,29,D,Raymond Allmon,7
East Baton Rouge,01 070B,State House,29,D,Regina Ashford Barrow,26
East Baton Rouge,01 070B,State House,29,D,Donald R. Dobbins,3
East Baton Rouge,01 070B,State House,29,D,Sarah Holliday,17
East Baton Rouge,01 070B,State House,29,D,Charles R. Kelly,23
East Baton Rouge,01 070B,State House,29,D,Herbert A. Pate,8
East Baton Rouge,01 070B,State House,29,R,Harold Williams,8
East Baton Rouge,01 077A,State House,29,D,Raymond Allmon,8
East Baton Rouge,01 077A,State House,29,D,Regina Ashford Barrow,47
East Baton Rouge,01 077A,State House,29,D,Donald R. Dobbins,1
East Baton Rouge,01 077A,State House,29,D,Sarah Holliday,13
East Baton Rouge,01 077A,State House,29,D,Charles R. Kelly,51
East Baton Rouge,01 077A,State House,29,D,Herbert A. Pate,17
East Baton Rouge,01 077A,State House,29,R,Harold Williams,4
East Baton Rouge,01 077B,State House,29,D,Raymond Allmon,6
East Baton Rouge,01 077B,State House,29,D,Regina Ashford Barrow,23
East Baton Rouge,01 077B,State House,29,D,Donald R. Dobbins,2
East Baton Rouge,01 077B,State House,29,D,Sarah Holliday,12
East Baton Rouge,01 077B,State House,29,D,Charles R. Kelly,41
East Baton Rouge,01 077B,State House,29,D,Herbert A. Pate,14
East Baton Rouge,01 077B,State House,29,R,Harold Williams,4
East Baton Rouge,01 078A,State House,29,D,Raymond Allmon,6
East Baton Rouge,01 078A,State House,29,D,Regina Ashford Barrow,10
East Baton Rouge,01 078A,State House,29,D,Donald R. Dobbins,0
East Baton Rouge,01 078A,State House,29,D,Sarah Holliday,7
East Baton Rouge,01 078A,State House,29,D,Charles R. Kelly,11
East Baton Rouge,01 078A,State House,29,D,Herbert A. Pate,3
East Baton Rouge,01 078A,State House,29,R,Harold Williams,10
East Baton Rouge,01 078B,State House,29,D,Raymond Allmon,5
East Baton Rouge,01 078B,State House,29,D,Regina Ashford Barrow,7
East Baton Rouge,01 078B,State House,29,D,Donald R. Dobbins,0
East Baton Rouge,01 078B,State House,29,D,Sarah Holliday,3
East Baton Rouge,01 078B,State House,29,D,Charles R. Kelly,4
East Baton Rouge,01 078B,State House,29,D,Herbert A. Pate,1
East Baton Rouge,01 078B,State House,29,R,Harold Williams,3
East Baton Rouge,01 082A,State House,29,D,Raymond Allmon,3
East Baton Rouge,01 082A,State House,29,D,Regina Ashford Barrow,34
East Baton Rouge,01 082A,State House,29,D,Donald R. Dobbins,6
East Baton Rouge,01 082A,State House,29,D,Sarah Holliday,15
East Baton Rouge,01 082A,State House,29,D,Charles R. Kelly,13
East Baton Rouge,01 082A,State House,29,D,Herbert A. Pate,7
East Baton Rouge,01 082A,State House,29,R,Harold Williams,14
East Baton Rouge,01 082B,State House,29,D,Raymond Allmon,5
East Baton Rouge,01 082B,State House,29,D,Regina Ashford Barrow,23
East Baton Rouge,01 082B,State House,29,D,Donald R. Dobbins,11
East Baton Rouge,01 082B,State House,29,D,Sarah Holliday,10
East Baton Rouge,01 082B,State House,29,D,Charles R. Kelly,12
East Baton Rouge,01 082B,State House,29,D,Herbert A. Pate,3
East Baton Rouge,01 082B,State House,29,R,Harold Williams,15
East Baton Rouge,01 084A,State House,29,D,Raymond Allmon,13
East Baton Rouge,01 084A,State House,29,D,Regina Ashford Barrow,26
East Baton Rouge,01 084A,State House,29,D,Donald R. Dobbins,8
East Baton Rouge,01 084A,State House,29,D,Sarah Holliday,23
East Baton Rouge,01 084A,State House,29,D,Charles R. Kelly,42
East Baton Rouge,01 084A,State House,29,D,Herbert A. Pate,8
East Baton Rouge,01 084A,State House,29,R,Harold Williams,5
East Baton Rouge,01 084B,State House,29,D,Raymond Allmon,7
East Baton Rouge,01 084B,State House,29,D,Regina Ashford Barrow,38
East Baton Rouge,01 084B,State House,29,D,Donald R. Dobbins,8
East Baton Rouge,01 084B,State House,29,D,Sarah Holliday,15
East Baton Rouge,01 084B,State House,29,D,Charles R. Kelly,46
East Baton Rouge,01 084B,State House,29,D,Herbert A. Pate,16
East Baton Rouge,01 084B,State House,29,R,Harold Williams,13
East Baton Rouge,01 085A,State House,29,D,Raymond Allmon,3
East Baton Rouge,01 085A,State House,29,D,Regina Ashford Barrow,24
East Baton Rouge,01 085A,State House,29,D,Donald R. Dobbins,4
East Baton Rouge,01 085A,State House,29,D,Sarah Holliday,12
East Baton Rouge,01 085A,State House,29,D,Charles R. Kelly,23
East Baton Rouge,01 085A,State House,29,D,Herbert A. Pate,5
East Baton Rouge,01 085A,State House,29,R,Harold Williams,1
East Baton Rouge,01 085B,State House,29,D,Raymond Allmon,7
East Baton Rouge,01 085B,State House,29,D,Regina Ashford Barrow,29
East Baton Rouge,01 085B,State House,29,D,Donald R. Dobbins,7
East Baton Rouge,01 085B,State House,29,D,Sarah Holliday,8
East Baton Rouge,01 085B,State House,29,D,Charles R. Kelly,10
East Baton Rouge,01 085B,State House,29,D,Herbert A. Pate,5
East Baton Rouge,01 085B,State House,29,R,Harold Williams,4
East Baton Rouge,01 088A,State House,29,D,Raymond Allmon,7
East Baton Rouge,01 088A,State House,29,D,Regina Ashford Barrow,6
East Baton Rouge,01 088A,State House,29,D,Donald R. Dobbins,11
East Baton Rouge,01 088A,State House,29,D,Sarah Holliday,4
East Baton Rouge,01 088A,State House,29,D,Charles R. Kelly,10
East Baton Rouge,01 088A,State House,29,D,Herbert A. Pate,1
East Baton Rouge,01 088A,State House,29,R,Harold Williams,8
East Baton Rouge,01 088B,State House,29,D,Raymond Allmon,4
East Baton Rouge,01 088B,State House,29,D,Regina Ashford Barrow,14
East Baton Rouge,01 088B,State House,29,D,Donald R. Dobbins,8
East Baton Rouge,01 088B,State House,29,D,Sarah Holliday,6
East Baton Rouge,01 088B,State House,29,D,Charles R. Kelly,8
East Baton Rouge,01 088B,State House,29,D,Herbert A. Pate,1
East Baton Rouge,01 088B,State House,29,R,Harold Williams,6
East Baton Rouge,01 088C,State House,29,D,Raymond Allmon,6
East Baton Rouge,01 088C,State House,29,D,Regina Ashford Barrow,10
East Baton Rouge,01 088C,State House,29,D,Donald R. Dobbins,6
East Baton Rouge,01 088C,State House,29,D,Sarah Holliday,10
East Baton Rouge,01 088C,State House,29,D,Charles R. Kelly,16
East Baton Rouge,01 088C,State House,29,D,Herbert A. Pate,0
East Baton Rouge,01 088C,State House,29,R,Harold Williams,7
East Baton Rouge,01 093,State House,29,D,Raymond Allmon,5
East Baton Rouge,01 093,State House,29,D,Regina Ashford Barrow,3
East Baton Rouge,01 093,State House,29,D,Donald R. Dobbins,2
East Baton Rouge,01 093,State House,29,D,Sarah Holliday,3
East Baton Rouge,01 093,State House,29,D,Charles R. Kelly,4
East Baton Rouge,01 093,State House,29,D,Herbert A. Pate,0
East Baton Rouge,01 093,State House,29,R,Harold Williams,9
East Baton Rouge,02 001A,State House,29,D,Raymond Allmon,5
East Baton Rouge,02 001A,State House,29,D,Regina Ashford Barrow,20
East Baton Rouge,02 001A,State House,29,D,Donald R. Dobbins,7
East Baton Rouge,02 001A,State House,29,D,Sarah Holliday,17
East Baton Rouge,02 001A,State House,29,D,Charles R. Kelly,16
East Baton Rouge,02 001A,State House,29,D,Herbert A. Pate,10
East Baton Rouge,02 001A,State House,29,R,Harold Williams,11
East Baton Rouge,02 001B,State House,29,D,Raymond Allmon,5
East Baton Rouge,02 001B,State House,29,D,Regina Ashford Barrow,16
East Baton Rouge,02 001B,State House,29,D,Donald R. Dobbins,6
East Baton Rouge,02 001B,State House,29,D,Sarah Holliday,13
East Baton Rouge,02 001B,State House,29,D,Charles R. Kelly,23
East Baton Rouge,02 001B,State House,29,D,Herbert A. Pate,8
East Baton Rouge,02 001B,State House,29,R,Harold Williams,5
East Baton Rouge,02 023A,State House,29,D,Raymond Allmon,7
East Baton Rouge,02 023A,State House,29,D,Regina Ashford Barrow,15
East Baton Rouge,02 023A,State House,29,D,Donald R. Dobbins,11
East Baton Rouge,02 023A,State House,29,D,Sarah Holliday,10
East Baton Rouge,02 023A,State House,29,D,Charles R. Kelly,3
East Baton Rouge,02 023A,State House,29,D,Herbert A. Pate,10
East Baton Rouge,02 023A,State House,29,R,Harold Williams,0
East Baton Rouge,02 023B,State House,29,D,Raymond Allmon,3
East Baton Rouge,02 023B,State House,29,D,Regina Ashford Barrow,27
East Baton Rouge,02 023B,State House,29,D,Donald R. Dobbins,1
East Baton Rouge,02 023B,State House,29,D,Sarah Holliday,7
East Baton Rouge,02 023B,State House,29,D,Charles R. Kelly,16
East Baton Rouge,02 023B,State House,29,D,Herbert A. Pate,9
East Baton Rouge,02 023B,State House,29,R,Harold Williams,1
East Baton Rouge,02 030A,State House,29,D,Raymond Allmon,10
East Baton Rouge,02 030A,State House,29,D,Regina Ashford Barrow,28
East Baton Rouge,02 030A,State House,29,D,Donald R. Dobbins,7
East Baton Rouge,02 030A,State House,29,D,Sarah Holliday,15
East Baton Rouge,02 030A,State House,29,D,Charles R. Kelly,19
East Baton Rouge,02 030A,State House,29,D,Herbert A. Pate,18
East Baton Rouge,02 030A,State House,29,R,Harold Williams,1
East Baton Rouge,02 030B,State House,29,D,Raymond Allmon,6
East Baton Rouge,02 030B,State House,29,D,Regina Ashford Barrow,27
East Baton Rouge,02 030B,State House,29,D,Donald R. Dobbins,5
East Baton Rouge,02 030B,State House,29,D,Sarah Holliday,11
East Baton Rouge,02 030B,State House,29,D,Charles R. Kelly,29
East Baton Rouge,02 030B,State House,29,D,Herbert A. Pate,22
East Baton Rouge,02 030B,State House,29,R,Harold Williams,2
East Baton Rouge,03 024A,State House,29,D,Raymond Allmon,26
East Baton Rouge,03 024A,State House,29,D,Regina Ashford Barrow,19
East Baton Rouge,03 024A,State House,29,D,Donald R. Dobbins,14
East Baton Rouge,03 024A,State House,29,D,Sarah Holliday,9
East Baton Rouge,03 024A,State House,29,D,Charles R. Kelly,25
East Baton Rouge,03 024A,State House,29,D,Herbert A. Pate,3
East Baton Rouge,03 024A,State House,29,R,Harold Williams,7
East Baton Rouge,03 024B,State House,29,D,Raymond Allmon,13
East Baton Rouge,03 024B,State House,29,D,Regina Ashford Barrow,19
East Baton Rouge,03 024B,State House,29,D,Donald R. Dobbins,12
East Baton Rouge,03 024B,State House,29,D,Sarah Holliday,9
East Baton Rouge,03 024B,State House,29,D,Charles R. Kelly,6
East Baton Rouge,03 024B,State House,29,D,Herbert A. Pate,10
East Baton Rouge,03 024B,State House,29,R,Harold Williams,8
East Baton Rouge,Early Voting,State House,29,D,Raymond Allmon,3
East Baton Rouge,Early Voting,State House,29,D,Regina Ashford Barrow,2
East Baton Rouge,Early Voting,State House,29,D,Donald R. Dobbins,4
East Baton Rouge,Early Voting,State House,29,D,Sarah Holliday,3
East Baton Rouge,Early Voting,State House,29,D,Charles R. Kelly,4
East Baton Rouge,Early Voting,State House,29,D,Herbert A. Pate,0
East Baton Rouge,Early Voting,State House,29,R,Harold Williams,4
West Baton Rouge,04 01,State House,29,D,Raymond Allmon,11
West Baton Rouge,04 01,State House,29,D,Regina Ashford Barrow,16
West Baton Rouge,04 01,State House,29,D,Donald R. Dobbins,0
West Baton Rouge,04 01,State House,29,D,Sarah Holliday,5
West Baton Rouge,04 01,State House,29,D,Charles R. Kelly,4
West Baton Rouge,04 01,State House,29,D,Herbert A. Pate,3
West Baton Rouge,04 01,State House,29,R,Harold Williams,7
West Baton Rouge,04 04,State House,29,D,Raymond Allmon,3
West Baton Rouge,04 04,State House,29,D,Regina Ashford Barrow,34
West Baton Rouge,04 04,State House,29,D,Donald R. Dobbins,24
West Baton Rouge,04 04,State House,29,D,Sarah Holliday,8
West Baton Rouge,04 04,State House,29,D,Charles R. Kelly,5
West Baton Rouge,04 04,State House,29,D,Herbert A. Pate,2
West Baton Rouge,04 04,State House,29,R,Harold Williams,1
West Baton Rouge,05 01,State House,29,D,Raymond Allmon,1
West Baton Rouge,05 01,State House,29,D,Regina Ashford Barrow,44
West Baton Rouge,05 01,State House,29,D,Donald R. Dobbins,22
West Baton Rouge,05 01,State House,29,D,Sarah Holliday,21
West Baton Rouge,05 01,State House,29,D,Charles R. Kelly,13
West Baton Rouge,05 01,State House,29,D,Herbert A. Pate,7
West Baton Rouge,05 01,State House,29,R,Harold Williams,1
West Baton Rouge,Early Voting,State House,29,D,Raymond Allmon,3
West Baton Rouge,Early Voting,State House,29,D,Regina Ashford Barrow,4
West Baton Rouge,Early Voting,State House,29,D,Donald R. Dobbins,3
West Baton Rouge,Early Voting,State House,29,D,Sarah Holliday,4
West Baton Rouge,Early Voting,State House,29,D,Charles R. Kelly,4
West Baton Rouge,Early Voting,State House,29,D,Herbert A. Pate,4
West Baton Rouge,Early Voting,State House,29,R,Harold Williams,3
East Baton Rouge,01 009,State House,66,R,Hunter Greene,50
East Baton Rouge,01 009,State House,66,R,Gene Guffey,7
East Baton Rouge,01 009,State House,66,D,"Peter ""P'Ta Mon"" John",1
East Baton Rouge,01 009,State House,66,R,Gary Patureau,42
East Baton Rouge,01 009,State House,66,R,Sean Riecke,59
East Baton Rouge,01 009,State House,66,D,"Roland S. Stevens, Jr.",19
East Baton Rouge,01 009,State House,66,R,Martha Jane Tassin,112
East Baton Rouge,01 052A,State House,66,R,Hunter Greene,50
East Baton Rouge,01 052A,State House,66,R,Gene Guffey,3
East Baton Rouge,01 052A,State House,66,D,"Peter ""P'Ta Mon"" John",5
East Baton Rouge,01 052A,State House,66,R,Gary Patureau,19
East Baton Rouge,01 052A,State House,66,R,Sean Riecke,56
East Baton Rouge,01 052A,State House,66,D,"Roland S. Stevens, Jr.",16
East Baton Rouge,01 052A,State House,66,R,Martha Jane Tassin,84
East Baton Rouge,01 052B,State House,66,R,Hunter Greene,44
East Baton Rouge,01 052B,State House,66,R,Gene Guffey,0
East Baton Rouge,01 052B,State House,66,D,"Peter ""P'Ta Mon"" John",2
East Baton Rouge,01 052B,State House,66,R,Gary Patureau,37
East Baton Rouge,01 052B,State House,66,R,Sean Riecke,73
East Baton Rouge,01 052B,State House,66,D,"Roland S. Stevens, Jr.",11
East Baton Rouge,01 052B,State House,66,R,Martha Jane Tassin,69
East Baton Rouge,01 053A,State House,66,R,Hunter Greene,48
East Baton Rouge,01 053A,State House,66,R,Gene Guffey,4
East Baton Rouge,01 053A,State House,66,D,"Peter ""P'Ta Mon"" John",0
East Baton Rouge,01 053A,State House,66,R,Gary Patureau,19
East Baton Rouge,01 053A,State House,66,R,Sean Riecke,48
East Baton Rouge,01 053A,State House,66,D,"Roland S. Stevens, Jr.",6
East Baton Rouge,01 053A,State House,66,R,Martha Jane Tassin,63
East Baton Rouge,01 053B,State House,66,R,Hunter Greene,53
East Baton Rouge,01 053B,State House,66,R,Gene Guffey,3
East Baton Rouge,01 053B,State House,66,D,"Peter ""P'Ta Mon"" John",0
East Baton Rouge,01 053B,State House,66,R,Gary Patureau,12
East Baton Rouge,01 053B,State House,66,R,Sean Riecke,63
East Baton Rouge,01 053B,State House,66,D,"Roland S. Stevens, Jr.",3
East Baton Rouge,01 053B,State House,66,R,Martha Jane Tassin,76
East Baton Rouge,01 054A,State House,66,R,Hunter Greene,31
East Baton Rouge,01 054A,State House,66,R,Gene Guffey,2
East Baton Rouge,01 054A,State House,66,D,"Peter ""P'Ta Mon"" John",8
East Baton Rouge,01 054A,State House,66,R,Gary Patureau,14
East Baton Rouge,01 054A,State House,66,R,Sean Riecke,26
East Baton Rouge,01 054A,State House,66,D,"Roland S. Stevens, Jr.",26
East Baton Rouge,01 054A,State House,66,R,Martha Jane Tassin,81
East Baton Rouge,01 054B,State House,66,R,Hunter Greene,55
East Baton Rouge,01 054B,State House,66,R,Gene Guffey,1
East Baton Rouge,01 054B,State House,66,D,"Peter ""P'Ta Mon"" John",5
East Baton Rouge,01 054B,State House,66,R,Gary Patureau,6
East Baton Rouge,01 054B,State House,66,R,Sean Riecke,42
East Baton Rouge,01 054B,State House,66,D,"Roland S. Stevens, Jr.",34
East Baton Rouge,01 054B,State House,66,R,Martha Jane Tassin,98
East Baton Rouge,01 055A,State House,66,R,Hunter Greene,65
East Baton Rouge,01 055A,State House,66,R,Gene Guffey,0
