parish,precinct,office,district,party,candidate,votes
Ascension,00 01,U.S. House,6,R,Richard H. Baker,479
Ascension,00 01,U.S. House,6,L,Richard M. Fontanesi,61
Ascension,00 02,U.S. House,6,R,Richard H. Baker,381
Ascension,00 02,U.S. House,6,L,Richard M. Fontanesi,67
Ascension,00 03,U.S. House,6,R,Richard H. Baker,234
Ascension,00 03,U.S. House,6,L,Richard M. Fontanesi,52
Ascension,00 04,U.S. House,6,R,Richard H. Baker,185
Ascension,00 04,U.S. House,6,L,Richard M. Fontanesi,28
Ascension,00 05,U.S. House,6,R,Richard H. Baker,383
Ascension,00 05,U.S. House,6,L,Richard M. Fontanesi,66
Ascension,00 06,U.S. House,6,R,Richard H. Baker,372
Ascension,00 06,U.S. House,6,L,Richard M. Fontanesi,73
Ascension,00 07,U.S. House,6,R,Richard H. Baker,261
Ascension,00 07,U.S. House,6,L,Richard M. Fontanesi,34
Ascension,00 08,U.S. House,6,R,Richard H. Baker,369
Ascension,00 08,U.S. House,6,L,Richard M. Fontanesi,51
Ascension,00 09,U.S. House,6,R,Richard H. Baker,268
Ascension,00 09,U.S. House,6,L,Richard M. Fontanesi,63
Ascension,00 10,U.S. House,6,R,Richard H. Baker,231
Ascension,00 10,U.S. House,6,L,Richard M. Fontanesi,40
Ascension,00 11,U.S. House,6,R,Richard H. Baker,238
Ascension,00 11,U.S. House,6,L,Richard M. Fontanesi,50
Ascension,00 12,U.S. House,6,R,Richard H. Baker,255
Ascension,00 12,U.S. House,6,L,Richard M. Fontanesi,46
Ascension,00 13,U.S. House,6,R,Richard H. Baker,187
Ascension,00 13,U.S. House,6,L,Richard M. Fontanesi,46
Ascension,00 14,U.S. House,6,R,Richard H. Baker,158
Ascension,00 14,U.S. House,6,L,Richard M. Fontanesi,19
Ascension,00 15,U.S. House,6,R,Richard H. Baker,220
Ascension,00 15,U.S. House,6,L,Richard M. Fontanesi,58
Ascension,00 16A,U.S. House,6,R,Richard H. Baker,300
Ascension,00 16A,U.S. House,6,L,Richard M. Fontanesi,44
