parish,office,district,party,candidate,votes
East Baton Rouge,State Senate,15,D,Brenda Bennett Carter,201
East Baton Rouge,State Senate,15,D,"John ""Tick"" Cobb",257
East Baton Rouge,State Senate,15,D,"Melvin L. ""Kip"" Holden",6319
East Baton Rouge,State Senate,15,O,Scott Hornsby,1636
East Feliciana,State Senate,15,D,Brenda Bennett Carter,100
East Feliciana,State Senate,15,D,"John ""Tick"" Cobb",302
East Feliciana,State Senate,15,D,"Melvin L. ""Kip"" Holden",1231
East Feliciana,State Senate,15,O,Scott Hornsby,2278
St. Helena,State Senate,15,D,Brenda Bennett Carter,38
St. Helena,State Senate,15,D,"John ""Tick"" Cobb",426
St. Helena,State Senate,15,D,"Melvin L. ""Kip"" Holden",532
St. Helena,State Senate,15,O,Scott Hornsby,1186
West Feliciana,State Senate,15,D,Brenda Bennett Carter,24
West Feliciana,State Senate,15,D,"John ""Tick"" Cobb",1008
West Feliciana,State Senate,15,D,"Melvin L. ""Kip"" Holden",517
West Feliciana,State Senate,15,O,Scott Hornsby,925
