parish,office,district,party,candidate,votes
East Baton Rouge,State House,69,R,Gary Beard,1610
East Baton Rouge,State House,69,R,David Boneno,1181
East Baton Rouge,State House,69,R,Eldon Ledoux,1252
East Baton Rouge,State House,69,R,Mark LeJeune,117
East Baton Rouge,State House,69,R,"Robert E.""Bob"" Wales",571
Livingston,State House,69,R,Gary Beard,304
Livingston,State House,69,R,David Boneno,203
Livingston,State House,69,R,Eldon Ledoux,127
Livingston,State House,69,R,Mark LeJeune,45
Livingston,State House,69,R,"Robert E.""Bob"" Wales",159
