parish,office,district,party,candidate,votes
Lafourche,State Senate,20th Senatorial District,R,Brent Callais,3342
Lafourche,State Senate,20th Senatorial District,D,"""Norby"" Chabert",4085
Terrebonne,State Senate,20th Senatorial District,R,Brent Callais,4708
Terrebonne,State Senate,20th Senatorial District,D,"""Norby"" Chabert",5491
St. Landry,State House,40th Representative District,D,Anna C. Simmons,2312
St. Landry,State House,40th Representative District,D,Ledricka Johnson Thierry,3711
