parish,precinct,office,district,party,candidate,votes
East Baton Rouge,01 009,State Senate,16,R,Laurinda L. Calongne,46
East Baton Rouge,01 009,State Senate,16,R,"""Dan"" Claitor",66
East Baton Rouge,01 009,State Senate,16,R,Lee Domingue,73
East Baton Rouge,01 012A,State Senate,16,R,Laurinda L. Calongne,47
East Baton Rouge,01 012A,State Senate,16,R,"""Dan"" Claitor",95
East Baton Rouge,01 012A,State Senate,16,R,Lee Domingue,36
East Baton Rouge,01 012B,State Senate,16,R,Laurinda L. Calongne,34
East Baton Rouge,01 012B,State Senate,16,R,"""Dan"" Claitor",55
East Baton Rouge,01 012B,State Senate,16,R,Lee Domingue,42
East Baton Rouge,01 033,State Senate,16,R,Laurinda L. Calongne,35
East Baton Rouge,01 033,State Senate,16,R,"""Dan"" Claitor",41
East Baton Rouge,01 033,State Senate,16,R,Lee Domingue,28
East Baton Rouge,01 034A,State Senate,16,R,Laurinda L. Calongne,44
East Baton Rouge,01 034A,State Senate,16,R,"""Dan"" Claitor",62
East Baton Rouge,01 034A,State Senate,16,R,Lee Domingue,46
East Baton Rouge,01 034B,State Senate,16,R,Laurinda L. Calongne,47
East Baton Rouge,01 034B,State Senate,16,R,"""Dan"" Claitor",82
East Baton Rouge,01 034B,State Senate,16,R,Lee Domingue,42
East Baton Rouge,01 035,State Senate,16,R,Laurinda L. Calongne,30
East Baton Rouge,01 035,State Senate,16,R,"""Dan"" Claitor",37
East Baton Rouge,01 035,State Senate,16,R,Lee Domingue,36
East Baton Rouge,01 041A,State Senate,16,R,Laurinda L. Calongne,28
East Baton Rouge,01 041A,State Senate,16,R,"""Dan"" Claitor",71
East Baton Rouge,01 041A,State Senate,16,R,Lee Domingue,14
East Baton Rouge,01 041B,State Senate,16,R,Laurinda L. Calongne,31
East Baton Rouge,01 041B,State Senate,16,R,"""Dan"" Claitor",59
East Baton Rouge,01 041B,State Senate,16,R,Lee Domingue,33
East Baton Rouge,01 042A,State Senate,16,R,Laurinda L. Calongne,60
East Baton Rouge,01 042A,State Senate,16,R,"""Dan"" Claitor",90
East Baton Rouge,01 042A,State Senate,16,R,Lee Domingue,45
East Baton Rouge,01 042B,State Senate,16,R,Laurinda L. Calongne,59
East Baton Rouge,01 042B,State Senate,16,R,"""Dan"" Claitor",93
East Baton Rouge,01 042B,State Senate,16,R,Lee Domingue,51
East Baton Rouge,01 043,State Senate,16,R,Laurinda L. Calongne,39
East Baton Rouge,01 043,State Senate,16,R,"""Dan"" Claitor",206
East Baton Rouge,01 043,State Senate,16,R,Lee Domingue,46
East Baton Rouge,01 047A,State Senate,16,R,Laurinda L. Calongne,74
East Baton Rouge,01 047A,State Senate,16,R,"""Dan"" Claitor",124
East Baton Rouge,01 047A,State Senate,16,R,Lee Domingue,78
East Baton Rouge,01 047B,State Senate,16,R,Laurinda L. Calongne,78
East Baton Rouge,01 047B,State Senate,16,R,"""Dan"" Claitor",119
East Baton Rouge,01 047B,State Senate,16,R,Lee Domingue,55
East Baton Rouge,01 049A,State Senate,16,R,Laurinda L. Calongne,48
East Baton Rouge,01 049A,State Senate,16,R,"""Dan"" Claitor",67
East Baton Rouge,01 049A,State Senate,16,R,Lee Domingue,31
East Baton Rouge,01 049B,State Senate,16,R,Laurinda L. Calongne,34
East Baton Rouge,01 049B,State Senate,16,R,"""Dan"" Claitor",65
East Baton Rouge,01 049B,State Senate,16,R,Lee Domingue,39
East Baton Rouge,01 052A,State Senate,16,R,Laurinda L. Calongne,32
East Baton Rouge,01 052A,State Senate,16,R,"""Dan"" Claitor",69
East Baton Rouge,01 052A,State Senate,16,R,Lee Domingue,35
East Baton Rouge,01 052B,State Senate,16,R,Laurinda L. Calongne,38
East Baton Rouge,01 052B,State Senate,16,R,"""Dan"" Claitor",65
East Baton Rouge,01 052B,State Senate,16,R,Lee Domingue,58
East Baton Rouge,01 053A,State Senate,16,R,Laurinda L. Calongne,35
East Baton Rouge,01 053A,State Senate,16,R,"""Dan"" Claitor",48
East Baton Rouge,01 053A,State Senate,16,R,Lee Domingue,49
East Baton Rouge,01 053B,State Senate,16,R,Laurinda L. Calongne,25
East Baton Rouge,01 053B,State Senate,16,R,"""Dan"" Claitor",61
East Baton Rouge,01 053B,State Senate,16,R,Lee Domingue,56
East Baton Rouge,01 055A,State Senate,16,R,Laurinda L. Calongne,37
East Baton Rouge,01 055A,State Senate,16,R,"""Dan"" Claitor",65
East Baton Rouge,01 055A,State Senate,16,R,Lee Domingue,57
East Baton Rouge,01 055B,State Senate,16,R,Laurinda L. Calongne,36
East Baton Rouge,01 055B,State Senate,16,R,"""Dan"" Claitor",54
East Baton Rouge,01 055B,State Senate,16,R,Lee Domingue,60
East Baton Rouge,01 056A,State Senate,16,R,Laurinda L. Calongne,87
East Baton Rouge,01 056A,State Senate,16,R,"""Dan"" Claitor",119
East Baton Rouge,01 056A,State Senate,16,R,Lee Domingue,68
East Baton Rouge,01 056B,State Senate,16,R,Laurinda L. Calongne,93
East Baton Rouge,01 056B,State Senate,16,R,"""Dan"" Claitor",138
East Baton Rouge,01 056B,State Senate,16,R,Lee Domingue,78
East Baton Rouge,01 060A,State Senate,16,R,Laurinda L. Calongne,39
East Baton Rouge,01 060A,State Senate,16,R,"""Dan"" Claitor",70
East Baton Rouge,01 060A,State Senate,16,R,Lee Domingue,70
East Baton Rouge,01 060B,State Senate,16,R,Laurinda L. Calongne,44
East Baton Rouge,01 060B,State Senate,16,R,"""Dan"" Claitor",66
East Baton Rouge,01 060B,State Senate,16,R,Lee Domingue,64
East Baton Rouge,01 066A,State Senate,16,R,Laurinda L. Calongne,30
East Baton Rouge,01 066A,State Senate,16,R,"""Dan"" Claitor",57
East Baton Rouge,01 066A,State Senate,16,R,Lee Domingue,17
East Baton Rouge,01 066B,State Senate,16,R,Laurinda L. Calongne,26
East Baton Rouge,01 066B,State Senate,16,R,"""Dan"" Claitor",65
East Baton Rouge,01 066B,State Senate,16,R,Lee Domingue,20
East Baton Rouge,01 069A,State Senate,16,R,Laurinda L. Calongne,62
East Baton Rouge,01 069A,State Senate,16,R,"""Dan"" Claitor",140
East Baton Rouge,01 069A,State Senate,16,R,Lee Domingue,35
East Baton Rouge,01 069B,State Senate,16,R,Laurinda L. Calongne,57
East Baton Rouge,01 069B,State Senate,16,R,"""Dan"" Claitor",136
East Baton Rouge,01 069B,State Senate,16,R,Lee Domingue,51
East Baton Rouge,01 071A,State Senate,16,R,Laurinda L. Calongne,45
East Baton Rouge,01 071A,State Senate,16,R,"""Dan"" Claitor",56
East Baton Rouge,01 071A,State Senate,16,R,Lee Domingue,38
East Baton Rouge,01 071B,State Senate,16,R,Laurinda L. Calongne,22
East Baton Rouge,01 071B,State Senate,16,R,"""Dan"" Claitor",47
East Baton Rouge,01 071B,State Senate,16,R,Lee Domingue,54
East Baton Rouge,01 072A,State Senate,16,R,Laurinda L. Calongne,39
East Baton Rouge,01 072A,State Senate,16,R,"""Dan"" Claitor",44
East Baton Rouge,01 072A,State Senate,16,R,Lee Domingue,49
East Baton Rouge,01 072B,State Senate,16,R,Laurinda L. Calongne,28
East Baton Rouge,01 072B,State Senate,16,R,"""Dan"" Claitor",44
East Baton Rouge,01 072B,State Senate,16,R,Lee Domingue,55
