parish,office,district,party,candidate,votes
Lafourche,State Senate,20,D,Damon J. Baldone,1359
Lafourche,State Senate,20,R,Brent Callais,2245
Lafourche,State Senate,20,D,"""Norby"" Chabert",1954
Terrebonne,State Senate,20,D,Damon J. Baldone,2598
Terrebonne,State Senate,20,R,Brent Callais,2810
Terrebonne,State Senate,20,D,"""Norby"" Chabert",2405
St. Landry,State House,40,D,"George S. Bourgeois, Jr.",1121
St. Landry,State House,40,D,Allen Guillory,550
St. Landry,State House,40,N,Bradford Jackson,831
St. Landry,State House,40,D,Ronald Lavergne,71
St. Landry,State House,40,D,Quincy Richard,344
St. Landry,State House,40,D,Kelly J. Scott,293
St. Landry,State House,40,D,Anna C. Simmons,1207
St. Landry,State House,40,O,Anthony James Soileau,141
St. Landry,State House,40,D,"""Reggie"" Tatum",244
St. Landry,State House,40,D,Ledricka Johnson Thierry,1161
