parish,office,district,party,candidate,votes
Acadia,State Senate,26th Senatorial District,D,Nathan Granger,2095
Acadia,State Senate,26th Senatorial District,R,Jonathan Perry,2080
Lafayette,State Senate,26th Senatorial District,D,Nathan Granger,1000
Lafayette,State Senate,26th Senatorial District,R,Jonathan Perry,932
St. Landry,State Senate,26th Senatorial District,D,Nathan Granger,300
St. Landry,State Senate,26th Senatorial District,R,Jonathan Perry,265
Vermilion,State Senate,26th Senatorial District,D,Nathan Granger,6096
Vermilion,State Senate,26th Senatorial District,R,Jonathan Perry,6902
