parish,office,district,party,candidate,votes
Orleans,State House,94th Representative District,R,Philip C. Brickman,186
Orleans,State House,94th Representative District,R,"""Jeb"" Bruneau",1331
Orleans,State House,94th Representative District,D,"John M. Holahan, Jr.",667
Orleans,State House,94th Representative District,D,Deborah J. Langhoff,944
Orleans,State House,94th Representative District,R,"Nicholas J. ""Nick"" Lorusso",1033
Orleans,State House,94th Representative District,D,"William ""Bill"" Vanderwall, Sr.",27
