parish,office,district,party,candidate,votes
Acadia,Governor,,D,Kathleen Babineaux Blanco,10938
Acadia,Governor,,R,"""Bobby"" Jindal",8226
Allen,Governor,,D,Kathleen Babineaux Blanco,4502
Allen,Governor,,R,"""Bobby"" Jindal",2109
Ascension,Governor,,D,Kathleen Babineaux Blanco,13733
Ascension,Governor,,R,"""Bobby"" Jindal",16272
Assumption,Governor,,D,Kathleen Babineaux Blanco,5966
Assumption,Governor,,R,"""Bobby"" Jindal",3470
Avoyelles,Governor,,D,Kathleen Babineaux Blanco,8331
Avoyelles,Governor,,R,"""Bobby"" Jindal",3395
Beauregard,Governor,,D,Kathleen Babineaux Blanco,4256
Beauregard,Governor,,R,"""Bobby"" Jindal",4165
Bienville,Governor,,D,Kathleen Babineaux Blanco,3260
Bienville,Governor,,R,"""Bobby"" Jindal",1953
Bossier,Governor,,D,Kathleen Babineaux Blanco,9051
Bossier,Governor,,R,"""Bobby"" Jindal",15331
Caddo,Governor,,D,Kathleen Babineaux Blanco,34292
Caddo,Governor,,R,"""Bobby"" Jindal",33004
Calcasieu,Governor,,D,Kathleen Babineaux Blanco,27683
Calcasieu,Governor,,R,"""Bobby"" Jindal",24835
Caldwell,Governor,,D,Kathleen Babineaux Blanco,2485
Caldwell,Governor,,R,"""Bobby"" Jindal",1346
Cameron,Governor,,D,Kathleen Babineaux Blanco,2854
Cameron,Governor,,R,"""Bobby"" Jindal",1783
Catahoula,Governor,,D,Kathleen Babineaux Blanco,2429
Catahoula,Governor,,R,"""Bobby"" Jindal",1010
Claiborne,Governor,,D,Kathleen Babineaux Blanco,2350
Claiborne,Governor,,R,"""Bobby"" Jindal",2074
Concordia,Governor,,D,Kathleen Babineaux Blanco,5554
Concordia,Governor,,R,"""Bobby"" Jindal",3119
De Soto,Governor,,D,Kathleen Babineaux Blanco,4180
De Soto,Governor,,R,"""Bobby"" Jindal",3425
East Baton Rouge,Governor,,D,Kathleen Babineaux Blanco,62638
East Baton Rouge,Governor,,R,"""Bobby"" Jindal",70547
East Carroll,Governor,,D,Kathleen Babineaux Blanco,1573
East Carroll,Governor,,R,"""Bobby"" Jindal",696
East Feliciana,Governor,,D,Kathleen Babineaux Blanco,4432
East Feliciana,Governor,,R,"""Bobby"" Jindal",2735
Evangeline,Governor,,D,Kathleen Babineaux Blanco,7949
Evangeline,Governor,,R,"""Bobby"" Jindal",3442
Franklin,Governor,,D,Kathleen Babineaux Blanco,4038
Franklin,Governor,,R,"""Bobby"" Jindal",2541
Grant,Governor,,D,Kathleen Babineaux Blanco,3505
Grant,Governor,,R,"""Bobby"" Jindal",2344
Iberia,Governor,,D,Kathleen Babineaux Blanco,14383
Iberia,Governor,,R,"""Bobby"" Jindal",9446
Iberville,Governor,,D,Kathleen Babineaux Blanco,8499
Iberville,Governor,,R,"""Bobby"" Jindal",4240
Jackson,Governor,,D,Kathleen Babineaux Blanco,3592
Jackson,Governor,,R,"""Bobby"" Jindal",2717
Jefferson,Governor,,D,Kathleen Babineaux Blanco,52319
Jefferson,Governor,,R,"""Bobby"" Jindal",87712
Jefferson Davis,Governor,,D,Kathleen Babineaux Blanco,5202
Jefferson Davis,Governor,,R,"""Bobby"" Jindal",3886
Lafayette,Governor,,D,Kathleen Babineaux Blanco,32734
Lafayette,Governor,,R,"""Bobby"" Jindal",34951
Lafourche,Governor,,D,Kathleen Babineaux Blanco,15695
Lafourche,Governor,,R,"""Bobby"" Jindal",13429
Lasalle,Governor,,D,Kathleen Babineaux Blanco,2974
Lasalle,Governor,,R,"""Bobby"" Jindal",1917
Lincoln,Governor,,D,Kathleen Babineaux Blanco,5680
Lincoln,Governor,,R,"""Bobby"" Jindal",5194
Livingston,Governor,,D,Kathleen Babineaux Blanco,13451
Livingston,Governor,,R,"""Bobby"" Jindal",17812
Madison,Governor,,D,Kathleen Babineaux Blanco,2747
Madison,Governor,,R,"""Bobby"" Jindal",948
Morehouse,Governor,,D,Kathleen Babineaux Blanco,4917
Morehouse,Governor,,R,"""Bobby"" Jindal",3594
Natchitoches,Governor,,D,Kathleen Babineaux Blanco,6130
Natchitoches,Governor,,R,"""Bobby"" Jindal",4681
Orleans,Governor,,D,Kathleen Babineaux Blanco,92746
Orleans,Governor,,R,"""Bobby"" Jindal",43005
Ouachita,Governor,,D,Kathleen Babineaux Blanco,20194
Ouachita,Governor,,R,"""Bobby"" Jindal",22491
Plaquemines,Governor,,D,Kathleen Babineaux Blanco,4956
Plaquemines,Governor,,R,"""Bobby"" Jindal",5645
Pointe Coupee,Governor,,D,Kathleen Babineaux Blanco,6098
Pointe Coupee,Governor,,R,"""Bobby"" Jindal",3351
Rapides,Governor,,D,Kathleen Babineaux Blanco,20875
Rapides,Governor,,R,"""Bobby"" Jindal",16192
Red River,Governor,,D,Kathleen Babineaux Blanco,2129
Red River,Governor,,R,"""Bobby"" Jindal",1318
Richland,Governor,,D,Kathleen Babineaux Blanco,3731
Richland,Governor,,R,"""Bobby"" Jindal",2773
Sabine,Governor,,D,Kathleen Babineaux Blanco,3058
Sabine,Governor,,R,"""Bobby"" Jindal",3140
St. Bernard,Governor,,D,Kathleen Babineaux Blanco,10574
St. Bernard,Governor,,R,"""Bobby"" Jindal",14428
St. Charles,Governor,,D,Kathleen Babineaux Blanco,7900
St. Charles,Governor,,R,"""Bobby"" Jindal",10727
St. Helena,Governor,,D,Kathleen Babineaux Blanco,3918
St. Helena,Governor,,R,"""Bobby"" Jindal",1322
St. James,Governor,,D,Kathleen Babineaux Blanco,5727
St. James,Governor,,R,"""Bobby"" Jindal",3442
St. John The Baptist,Governor,,D,Kathleen Babineaux Blanco,9482
St. John The Baptist,Governor,,R,"""Bobby"" Jindal",8135
St. Landry,Governor,,D,Kathleen Babineaux Blanco,19500
St. Landry,Governor,,R,"""Bobby"" Jindal",9049
St. Martin,Governor,,D,Kathleen Babineaux Blanco,11407
St. Martin,Governor,,R,"""Bobby"" Jindal",6259
St. Mary,Governor,,D,Kathleen Babineaux Blanco,9767
St. Mary,Governor,,R,"""Bobby"" Jindal",7088
St. Tammany,Governor,,D,Kathleen Babineaux Blanco,17067
St. Tammany,Governor,,R,"""Bobby"" Jindal",49675
Tangipahoa,Governor,,D,Kathleen Babineaux Blanco,17914
Tangipahoa,Governor,,R,"""Bobby"" Jindal",16711
Tensas,Governor,,D,Kathleen Babineaux Blanco,2038
Tensas,Governor,,R,"""Bobby"" Jindal",919
Terrebonne,Governor,,D,Kathleen Babineaux Blanco,16097
Terrebonne,Governor,,R,"""Bobby"" Jindal",14626
Union,Governor,,D,Kathleen Babineaux Blanco,3612
Union,Governor,,R,"""Bobby"" Jindal",3501
Vermilion,Governor,,D,Kathleen Babineaux Blanco,14305
Vermilion,Governor,,R,"""Bobby"" Jindal",7863
Vernon,Governor,,D,Kathleen Babineaux Blanco,5441
Vernon,Governor,,R,"""Bobby"" Jindal",4133
Washington,Governor,,D,Kathleen Babineaux Blanco,8605
Washington,Governor,,R,"""Bobby"" Jindal",6501
Webster,Governor,,D,Kathleen Babineaux Blanco,6927
Webster,Governor,,R,"""Bobby"" Jindal",6251
West Baton Rouge,Governor,,D,Kathleen Babineaux Blanco,4923
West Baton Rouge,Governor,,R,"""Bobby"" Jindal",4120
West Carroll,Governor,,D,Kathleen Babineaux Blanco,2429
West Carroll,Governor,,R,"""Bobby"" Jindal",1950
West Feliciana,Governor,,D,Kathleen Babineaux Blanco,2571
West Feliciana,Governor,,R,"""Bobby"" Jindal",1612
Winn,Governor,,D,Kathleen Babineaux Blanco,3045
Winn,Governor,,R,"""Bobby"" Jindal",1908
Orleans,State Senate,1,R,Walter J. Boasso,132
Orleans,State Senate,1,D,Wayne J. Landry,53
Plaquemines,State Senate,1,R,Walter J. Boasso,2732
Plaquemines,State Senate,1,D,Wayne J. Landry,3474
St. Bernard,State Senate,1,R,Walter J. Boasso,15830
St. Bernard,State Senate,1,D,Wayne J. Landry,8957
St. Tammany,State Senate,1,R,Walter J. Boasso,6539
St. Tammany,State Senate,1,D,Wayne J. Landry,3527
Orleans,State Senate,2,D,Ann Duplessis,15963
Orleans,State Senate,2,D,Jon D. Johnson,14120
Ascension,State Senate,18,D,"""Jody"" Amedee",14648
Ascension,State Senate,18,D,"""Jeff"" Diez",14819
Livingston,State Senate,18,D,"""Jody"" Amedee",2641
Livingston,State Senate,18,D,"""Jeff"" Diez",2623
St. James,State Senate,18,D,"""Jody"" Amedee",5291
St. James,State Senate,18,D,"""Jeff"" Diez",3717
St. John The Baptist,State Senate,18,D,"""Jody"" Amedee",1610
St. John The Baptist,State Senate,18,D,"""Jeff"" Diez",1509
Caddo,State Senate,39,D,Lydia Patrice Jackson,18131
Caddo,State Senate,39,D,"Theron ""T. J."" Jackson",7309
Bossier,State House,6,R,Raymond S. Alley,339
Bossier,State House,6,R,"""Mike"" Powell",1228
Caddo,State House,6,R,Raymond S. Alley,3899
Caddo,State House,6,R,"""Mike"" Powell",8111
Bienville,State House,13,D,Todd Culpepper,1823
Bienville,State House,13,D,"James R. ""Jim"" Fannin",2146
Jackson,State House,13,D,Todd Culpepper,3016
Jackson,State House,13,D,"James R. ""Jim"" Fannin",3332
Ouachita,State House,13,D,Todd Culpepper,1163
Ouachita,State House,13,D,"James R. ""Jim"" Fannin",1215
Winn,State House,13,D,Todd Culpepper,445
Winn,State House,13,D,"James R. ""Jim"" Fannin",1368
Caldwell,State House,20,D,Roger Beall,1137
Caldwell,State House,20,D,Lelon Kenney,2667
Catahoula,State House,20,D,Roger Beall,1051
Catahoula,State House,20,D,Lelon Kenney,2281
Franklin,State House,20,D,Roger Beall,2817
Franklin,State House,20,D,Lelon Kenney,3620
Tensas,State House,20,D,Roger Beall,59
Tensas,State House,20,D,Lelon Kenney,118
Grant,State House,22nd Representative District,R,Tony K. Owens,2508
Grant,State House,22nd Representative District,D,"""Tommy"" Wright",3226
Lasalle,State House,22nd Representative District,R,Tony K. Owens,2579
Lasalle,State House,22nd Representative District,D,"""Tommy"" Wright",2272
Rapides,State House,22nd Representative District,R,Tony K. Owens,209
Rapides,State House,22nd Representative District,D,"""Tommy"" Wright",188
Winn,State House,22nd Representative District,R,Tony K. Owens,1169
Winn,State House,22nd Representative District,D,"""Tommy"" Wright",1278
Rapides,State House,26,D,"Israel ""Bo"" Curtis",5512
Rapides,State House,26,D,Herbert B. Dixon,4892
Lafayette,State House,31,R,"""Charlie"" Buckels",7218
Lafayette,State House,31,R,"""Don"" Trahan",6009
Vermilion,State House,31,R,"""Charlie"" Buckels",950
Vermilion,State House,31,R,"""Don"" Trahan",2172
Lafourche,State House,52nd Representative District,R,Gordon Dove,414
Lafourche,State House,52nd Representative District,R,"""Tom"" Watkins",427
Terrebonne,State House,52nd Representative District,R,Gordon Dove,6351
Terrebonne,State House,52nd Representative District,R,"""Tom"" Watkins",6333
Ascension,State House,59,R,"John C. ""Juba"" Diez",7026
Ascension,State House,59,R,Eddie J. Lambert,9601
