parish,office,district,party,candidate,votes
Ascension,State House,60,D,Emma Devillier,117
Ascension,State House,60,D,Karen Gaudet St. Germain,262
Assumption,State House,60,D,Emma Devillier,1362
Assumption,State House,60,D,Karen Gaudet St. Germain,3528
Iberville,State House,60,D,Emma Devillier,5542
Iberville,State House,60,D,Karen Gaudet St. Germain,4238
West Baton Rouge,State House,60,D,Emma Devillier,1584
West Baton Rouge,State House,60,D,Karen Gaudet St. Germain,1297
St. Tammany,State House,75,D,Harold L. Ritchie,354
St. Tammany,State House,75,D,Richard Ned Thomas,399
Washington,State House,75,D,Harold L. Ritchie,6931
Washington,State House,75,D,Richard Ned Thomas,6602
Jefferson,State House,81,R,John La Bruzzo,10142
Jefferson,State House,81,R,Mickey Landry,7504
Ascension,State House,88,R,"M. J. ""Mert"" Smiley, Jr.",4584
Ascension,State House,88,D,Ralph Willie,1749
Livingston,State House,88,R,"M. J. ""Mert"" Smiley, Jr.",3675
Livingston,State House,88,D,Ralph Willie,5265
Orleans,State House,91,D,Jalila Jefferson,5910
Orleans,State House,91,D,Rosalind Magee Peychaud,4254
Orleans,State House,98,R,"""Randy"" Evans",3797
Orleans,State House,98,D,Cheryl Gray,5702
Orleans,State House,99,D,"Leonard ""Jr."" Lucas",3236
Orleans,State House,99,D,Charmaine Marchand,7269
Orleans,State House,100,D,"Austin J. Badon, Jr.",6688
Orleans,State House,100,D,"Patrick ""Pat"" Swilling",5851
