parish,precinct,office,district,party,candidate,votes
Bienville,01 01,State Senate,36,D,Robert Adley,40
Bienville,01 01,State Senate,36,R,"T. E. ""Gene"" Coleman",20
Bienville,01 01,State Senate,36,D,Jack Cook,1
Bienville,01 01,State Senate,36,R,John Cucci,3
Bienville,01 01,State Senate,36,D,"John ""Doug"" Frye",13
Bienville,01 01,State Senate,36,D,Jerry Lott,26
Bienville,01 01,State Senate,36,D,"Henry D. ""Hank"" Meachum",8
Bienville,01 02,State Senate,36,D,Robert Adley,53
Bienville,01 02,State Senate,36,R,"T. E. ""Gene"" Coleman",23
Bienville,01 02,State Senate,36,D,Jack Cook,5
Bienville,01 02,State Senate,36,R,John Cucci,9
Bienville,01 02,State Senate,36,D,"John ""Doug"" Frye",5
Bienville,01 02,State Senate,36,D,Jerry Lott,43
Bienville,01 02,State Senate,36,D,"Henry D. ""Hank"" Meachum",6
Bienville,01 03,State Senate,36,D,Robert Adley,25
Bienville,01 03,State Senate,36,R,"T. E. ""Gene"" Coleman",8
Bienville,01 03,State Senate,36,D,Jack Cook,0
Bienville,01 03,State Senate,36,R,John Cucci,2
Bienville,01 03,State Senate,36,D,"John ""Doug"" Frye",5
Bienville,01 03,State Senate,36,D,Jerry Lott,8
Bienville,01 03,State Senate,36,D,"Henry D. ""Hank"" Meachum",0
Bienville,02 01,State Senate,36,D,Robert Adley,35
Bienville,02 01,State Senate,36,R,"T. E. ""Gene"" Coleman",4
Bienville,02 01,State Senate,36,D,Jack Cook,0
Bienville,02 01,State Senate,36,R,John Cucci,0
Bienville,02 01,State Senate,36,D,"John ""Doug"" Frye",6
Bienville,02 01,State Senate,36,D,Jerry Lott,5
Bienville,02 01,State Senate,36,D,"Henry D. ""Hank"" Meachum",10
Bienville,02 02,State Senate,36,D,Robert Adley,44
Bienville,02 02,State Senate,36,R,"T. E. ""Gene"" Coleman",8
Bienville,02 02,State Senate,36,D,Jack Cook,1
Bienville,02 02,State Senate,36,R,John Cucci,7
Bienville,02 02,State Senate,36,D,"John ""Doug"" Frye",2
Bienville,02 02,State Senate,36,D,Jerry Lott,20
Bienville,02 02,State Senate,36,D,"Henry D. ""Hank"" Meachum",1
Bienville,02 03,State Senate,36,D,Robert Adley,17
Bienville,02 03,State Senate,36,R,"T. E. ""Gene"" Coleman",7
Bienville,02 03,State Senate,36,D,Jack Cook,1
Bienville,02 03,State Senate,36,R,John Cucci,0
Bienville,02 03,State Senate,36,D,"John ""Doug"" Frye",2
Bienville,02 03,State Senate,36,D,Jerry Lott,2
Bienville,02 03,State Senate,36,D,"Henry D. ""Hank"" Meachum",5
Bienville,03 01,State Senate,36,D,Robert Adley,41
Bienville,03 01,State Senate,36,R,"T. E. ""Gene"" Coleman",8
Bienville,03 01,State Senate,36,D,Jack Cook,1
Bienville,03 01,State Senate,36,R,John Cucci,0
Bienville,03 01,State Senate,36,D,"John ""Doug"" Frye",18
Bienville,03 01,State Senate,36,D,Jerry Lott,11
Bienville,03 01,State Senate,36,D,"Henry D. ""Hank"" Meachum",33
Bienville,03 02,State Senate,36,D,Robert Adley,50
Bienville,03 02,State Senate,36,R,"T. E. ""Gene"" Coleman",6
Bienville,03 02,State Senate,36,D,Jack Cook,1
Bienville,03 02,State Senate,36,R,John Cucci,2
Bienville,03 02,State Senate,36,D,"John ""Doug"" Frye",9
Bienville,03 02,State Senate,36,D,Jerry Lott,24
Bienville,03 02,State Senate,36,D,"Henry D. ""Hank"" Meachum",11
Bienville,03 03,State Senate,36,D,Robert Adley,18
Bienville,03 03,State Senate,36,R,"T. E. ""Gene"" Coleman",2
Bienville,03 03,State Senate,36,D,Jack Cook,0
Bienville,03 03,State Senate,36,R,John Cucci,1
Bienville,03 03,State Senate,36,D,"John ""Doug"" Frye",7
Bienville,03 03,State Senate,36,D,Jerry Lott,21
Bienville,03 03,State Senate,36,D,"Henry D. ""Hank"" Meachum",0
Bienville,03 04,State Senate,36,D,Robert Adley,12
Bienville,03 04,State Senate,36,R,"T. E. ""Gene"" Coleman",0
Bienville,03 04,State Senate,36,D,Jack Cook,0
Bienville,03 04,State Senate,36,R,John Cucci,2
Bienville,03 04,State Senate,36,D,"John ""Doug"" Frye",11
Bienville,03 04,State Senate,36,D,Jerry Lott,17
Bienville,03 04,State Senate,36,D,"Henry D. ""Hank"" Meachum",2
Bienville,03 05,State Senate,36,D,Robert Adley,10
Bienville,03 05,State Senate,36,R,"T. E. ""Gene"" Coleman",3
Bienville,03 05,State Senate,36,D,Jack Cook,0
Bienville,03 05,State Senate,36,R,John Cucci,2
Bienville,03 05,State Senate,36,D,"John ""Doug"" Frye",0
Bienville,03 05,State Senate,36,D,Jerry Lott,2
Bienville,03 05,State Senate,36,D,"Henry D. ""Hank"" Meachum",4
Bienville,03 07,State Senate,36,D,Robert Adley,2
Bienville,03 07,State Senate,36,R,"T. E. ""Gene"" Coleman",0
Bienville,03 07,State Senate,36,D,Jack Cook,0
Bienville,03 07,State Senate,36,R,John Cucci,0
Bienville,03 07,State Senate,36,D,"John ""Doug"" Frye",0
Bienville,03 07,State Senate,36,D,Jerry Lott,0
Bienville,03 07,State Senate,36,D,"Henry D. ""Hank"" Meachum",2
Bienville,04 01,State Senate,36,D,Robert Adley,58
Bienville,04 01,State Senate,36,R,"T. E. ""Gene"" Coleman",3
Bienville,04 01,State Senate,36,D,Jack Cook,1
Bienville,04 01,State Senate,36,R,John Cucci,2
Bienville,04 01,State Senate,36,D,"John ""Doug"" Frye",14
Bienville,04 01,State Senate,36,D,Jerry Lott,40
Bienville,04 01,State Senate,36,D,"Henry D. ""Hank"" Meachum",21
Bienville,04 02,State Senate,36,D,Robert Adley,18
Bienville,04 02,State Senate,36,R,"T. E. ""Gene"" Coleman",0
Bienville,04 02,State Senate,36,D,Jack Cook,0
Bienville,04 02,State Senate,36,R,John Cucci,1
Bienville,04 02,State Senate,36,D,"John ""Doug"" Frye",2
Bienville,04 02,State Senate,36,D,Jerry Lott,9
Bienville,04 02,State Senate,36,D,"Henry D. ""Hank"" Meachum",1
Bienville,04 03,State Senate,36,D,Robert Adley,17
Bienville,04 03,State Senate,36,R,"T. E. ""Gene"" Coleman",1
Bienville,04 03,State Senate,36,D,Jack Cook,0
Bienville,04 03,State Senate,36,R,John Cucci,3
Bienville,04 03,State Senate,36,D,"John ""Doug"" Frye",8
Bienville,04 03,State Senate,36,D,Jerry Lott,0
Bienville,04 03,State Senate,36,D,"Henry D. ""Hank"" Meachum",5
Bienville,04 04,State Senate,36,D,Robert Adley,104
Bienville,04 04,State Senate,36,R,"T. E. ""Gene"" Coleman",5
Bienville,04 04,State Senate,36,D,Jack Cook,0
