parish,precinct,office,district,party,candidate,votes
East Baton Rouge,01 090 A,State House,66,R,"""Buddy"" Amoroso",37
East Baton Rouge,01 090 A,State House,66,R,Darrell Ourso,63
East Baton Rouge,01 090 B,State House,66,R,"""Buddy"" Amoroso",40
East Baton Rouge,01 090 B,State House,66,R,Darrell Ourso,42
East Baton Rouge,01 103 A,State House,66,R,"""Buddy"" Amoroso",84
East Baton Rouge,01 103 A,State House,66,R,Darrell Ourso,48
East Baton Rouge,01 103 B,State House,66,R,"""Buddy"" Amoroso",52
East Baton Rouge,01 103 B,State House,66,R,Darrell Ourso,19
East Baton Rouge,03 010 A,State House,66,R,"""Buddy"" Amoroso",40
East Baton Rouge,03 010 A,State House,66,R,Darrell Ourso,39
East Baton Rouge,03 010 B,State House,66,R,"""Buddy"" Amoroso",41
East Baton Rouge,03 010 B,State House,66,R,Darrell Ourso,34
East Baton Rouge,03 016 A,State House,66,R,"""Buddy"" Amoroso",111
East Baton Rouge,03 016 A,State House,66,R,Darrell Ourso,90
East Baton Rouge,03 016 B,State House,66,R,"""Buddy"" Amoroso",125
East Baton Rouge,03 016 B,State House,66,R,Darrell Ourso,108
East Baton Rouge,03 019 A,State House,66,R,"""Buddy"" Amoroso",34
East Baton Rouge,03 019 A,State House,66,R,Darrell Ourso,51
East Baton Rouge,03 019 B,State House,66,R,"""Buddy"" Amoroso",37
East Baton Rouge,03 019 B,State House,66,R,Darrell Ourso,38
East Baton Rouge,03 020 A,State House,66,R,"""Buddy"" Amoroso",49
East Baton Rouge,03 020 A,State House,66,R,Darrell Ourso,61
East Baton Rouge,03 020 B,State House,66,R,"""Buddy"" Amoroso",35
East Baton Rouge,03 020 B,State House,66,R,Darrell Ourso,54
East Baton Rouge,03 022,State House,66,R,"""Buddy"" Amoroso",52
East Baton Rouge,03 022,State House,66,R,Darrell Ourso,113
East Baton Rouge,03 033 A,State House,66,R,"""Buddy"" Amoroso",71
East Baton Rouge,03 033 A,State House,66,R,Darrell Ourso,50
East Baton Rouge,03 033 B,State House,66,R,"""Buddy"" Amoroso",57
East Baton Rouge,03 033 B,State House,66,R,Darrell Ourso,65
East Baton Rouge,03 034 A,State House,66,R,"""Buddy"" Amoroso",22
East Baton Rouge,03 034 A,State House,66,R,Darrell Ourso,23
East Baton Rouge,03 034 B,State House,66,R,"""Buddy"" Amoroso",19
East Baton Rouge,03 034 B,State House,66,R,Darrell Ourso,37
East Baton Rouge,03 038 A,State House,66,R,"""Buddy"" Amoroso",48
East Baton Rouge,03 038 A,State House,66,R,Darrell Ourso,60
East Baton Rouge,03 038 B,State House,66,R,"""Buddy"" Amoroso",51
East Baton Rouge,03 038 B,State House,66,R,Darrell Ourso,57
East Baton Rouge,03 043 A,State House,66,R,"""Buddy"" Amoroso",56
East Baton Rouge,03 043 A,State House,66,R,Darrell Ourso,40
East Baton Rouge,03 043 B,State House,66,R,"""Buddy"" Amoroso",51
East Baton Rouge,03 043 B,State House,66,R,Darrell Ourso,65
East Baton Rouge,03 045 A,State House,66,R,"""Buddy"" Amoroso",61
East Baton Rouge,03 045 A,State House,66,R,Darrell Ourso,78
East Baton Rouge,03 045 B,State House,66,R,"""Buddy"" Amoroso",74
East Baton Rouge,03 045 B,State House,66,R,Darrell Ourso,84
East Baton Rouge,03 047 A,State House,66,R,"""Buddy"" Amoroso",54
East Baton Rouge,03 047 A,State House,66,R,Darrell Ourso,55
East Baton Rouge,03 047 B,State House,66,R,"""Buddy"" Amoroso",51
East Baton Rouge,03 047 B,State House,66,R,Darrell Ourso,41
East Baton Rouge,03 048 A,State House,66,R,"""Buddy"" Amoroso",58
East Baton Rouge,03 048 A,State House,66,R,Darrell Ourso,82
East Baton Rouge,03 048 B,State House,66,R,"""Buddy"" Amoroso",68
East Baton Rouge,03 048 B,State House,66,R,Darrell Ourso,66
East Baton Rouge,03 053 A,State House,66,R,"""Buddy"" Amoroso",38
East Baton Rouge,03 053 A,State House,66,R,Darrell Ourso,40
East Baton Rouge,03 053 B,State House,66,R,"""Buddy"" Amoroso",36
East Baton Rouge,03 053 B,State House,66,R,Darrell Ourso,14
East Baton Rouge,Early Voting,State House,66,R,"""Buddy"" Amoroso",334
East Baton Rouge,Early Voting,State House,66,R,Darrell Ourso,341
