parish,office,district,party,candidate,votes
Acadia,Governor,,R,Scott A. Angelle,5884
Acadia,Governor,,N,Beryl Billiot,67
Acadia,Governor,,R,"""Jay"" Dardenne",2176
Acadia,Governor,,D,Cary Deaton,115
Acadia,Governor,,D,John Bel Edwards,5220
Acadia,Governor,,N,"Jeremy ""JW"" Odom",78
Acadia,Governor,,O,Eric Paul Orgeron,35
Acadia,Governor,,D,S L Simpson,78
Acadia,Governor,,R,David Vitter,3729
Allen,Governor,,R,Scott A. Angelle,1463
Allen,Governor,,N,Beryl Billiot,35
Allen,Governor,,R,"""Jay"" Dardenne",958
Allen,Governor,,D,Cary Deaton,63
Allen,Governor,,D,John Bel Edwards,1977
Allen,Governor,,N,"Jeremy ""JW"" Odom",29
Allen,Governor,,O,Eric Paul Orgeron,12
Allen,Governor,,D,S L Simpson,41
Allen,Governor,,R,David Vitter,1212
Ascension,Governor,,R,Scott A. Angelle,5928
Ascension,Governor,,N,Beryl Billiot,108
Ascension,Governor,,R,"""Jay"" Dardenne",5964
Ascension,Governor,,D,Cary Deaton,250
Ascension,Governor,,D,John Bel Edwards,9767
Ascension,Governor,,N,"Jeremy ""JW"" Odom",100
Ascension,Governor,,O,Eric Paul Orgeron,62
Ascension,Governor,,D,S L Simpson,140
Ascension,Governor,,R,David Vitter,5832
Assumption,Governor,,R,Scott A. Angelle,2016
Assumption,Governor,,N,Beryl Billiot,63
Assumption,Governor,,R,"""Jay"" Dardenne",923
Assumption,Governor,,D,Cary Deaton,139
Assumption,Governor,,D,John Bel Edwards,3854
Assumption,Governor,,N,"Jeremy ""JW"" Odom",66
Assumption,Governor,,O,Eric Paul Orgeron,25
Assumption,Governor,,D,S L Simpson,58
Assumption,Governor,,R,David Vitter,1579
Avoyelles,Governor,,R,Scott A. Angelle,2321
Avoyelles,Governor,,N,Beryl Billiot,77
Avoyelles,Governor,,R,"""Jay"" Dardenne",2609
Avoyelles,Governor,,D,Cary Deaton,142
Avoyelles,Governor,,D,John Bel Edwards,5016
Avoyelles,Governor,,N,"Jeremy ""JW"" Odom",74
Avoyelles,Governor,,O,Eric Paul Orgeron,33
Avoyelles,Governor,,D,S L Simpson,125
Avoyelles,Governor,,R,David Vitter,1715
Beauregard,Governor,,R,Scott A. Angelle,1924
Beauregard,Governor,,N,Beryl Billiot,40
Beauregard,Governor,,R,"""Jay"" Dardenne",2014
Beauregard,Governor,,D,Cary Deaton,49
Beauregard,Governor,,D,John Bel Edwards,2326
Beauregard,Governor,,N,"Jeremy ""JW"" Odom",54
Beauregard,Governor,,O,Eric Paul Orgeron,14
Beauregard,Governor,,D,S L Simpson,32
Beauregard,Governor,,R,David Vitter,2117
Bienville,Governor,,R,Scott A. Angelle,801
Bienville,Governor,,N,Beryl Billiot,28
Bienville,Governor,,R,"""Jay"" Dardenne",395
Bienville,Governor,,D,Cary Deaton,116
Bienville,Governor,,D,John Bel Edwards,2277
Bienville,Governor,,N,"Jeremy ""JW"" Odom",50
Bienville,Governor,,O,Eric Paul Orgeron,9
Bienville,Governor,,D,S L Simpson,71
Bienville,Governor,,R,David Vitter,1276
Bossier,Governor,,R,Scott A. Angelle,4428
Bossier,Governor,,N,Beryl Billiot,76
Bossier,Governor,,R,"""Jay"" Dardenne",2264
Bossier,Governor,,D,Cary Deaton,164
Bossier,Governor,,D,John Bel Edwards,5819
Bossier,Governor,,N,"Jeremy ""JW"" Odom",77
Bossier,Governor,,O,Eric Paul Orgeron,36
Bossier,Governor,,D,S L Simpson,163
Bossier,Governor,,R,David Vitter,7932
Caddo,Governor,,R,Scott A. Angelle,7364
Caddo,Governor,,N,Beryl Billiot,164
Caddo,Governor,,R,"""Jay"" Dardenne",5153
Caddo,Governor,,D,Cary Deaton,672
Caddo,Governor,,D,John Bel Edwards,24931
Caddo,Governor,,N,"Jeremy ""JW"" Odom",174
Caddo,Governor,,O,Eric Paul Orgeron,76
Caddo,Governor,,D,S L Simpson,1140
Caddo,Governor,,R,David Vitter,12740
Calcasieu,Governor,,R,Scott A. Angelle,6995
Calcasieu,Governor,,N,Beryl Billiot,159
Calcasieu,Governor,,R,"""Jay"" Dardenne",9174
Calcasieu,Governor,,D,Cary Deaton,387
Calcasieu,Governor,,D,John Bel Edwards,15481
Calcasieu,Governor,,N,"Jeremy ""JW"" Odom",127
Calcasieu,Governor,,O,Eric Paul Orgeron,53
Calcasieu,Governor,,D,S L Simpson,167
Calcasieu,Governor,,R,David Vitter,6460
Caldwell,Governor,,R,Scott A. Angelle,1233
Caldwell,Governor,,N,Beryl Billiot,20
Caldwell,Governor,,R,"""Jay"" Dardenne",602
Caldwell,Governor,,D,Cary Deaton,40
Caldwell,Governor,,D,John Bel Edwards,1008
Caldwell,Governor,,N,"Jeremy ""JW"" Odom",42
Caldwell,Governor,,O,Eric Paul Orgeron,21
Caldwell,Governor,,D,S L Simpson,22
Caldwell,Governor,,R,David Vitter,1103
Cameron,Governor,,R,Scott A. Angelle,968
Cameron,Governor,,N,Beryl Billiot,21
Cameron,Governor,,R,"""Jay"" Dardenne",408
Cameron,Governor,,D,Cary Deaton,17
Cameron,Governor,,D,John Bel Edwards,720
