parish,precinct,office,district,party,candidate,votes
Acadia,01 01,President,,D,"Barack Obama, Joe Biden Democratic",82
Acadia,01 01,President,,G,"Jill Stein, Cheri Honkala Green",1
Acadia,01 01,President,,L,"Gary Johnson, James P. Gray Libertarian",12
Acadia,01 01,President,,R,"Mitt Romney, Paul Ryan Republican",693
Acadia,01 01,President,,O,"Virgil Goode, James Clymer Constitution",2
Acadia,01 01,President,,O,"Ross Anderson, Luis Rodriguez Justice",0
Acadia,01 01,President,,O,"Jack Fellure, Toby Davis",0
Acadia,01 01,President,,O,"Peta Lindsay, Yari Osorio Socialism and Liberation",0
Acadia,01 01,President,,O,"Jerry White, Phyllis Scherrer Socialist Equality",0
Acadia,01 01,President,,O,"James Harris, Alyson Kennedy Socialist Workers",0
Acadia,01 01,President,,O,"Sheila Tittle, Matthew Turner We The People",0
Acadia,01 02A,President,,D,"Barack Obama, Joe Biden Democratic",109
Acadia,01 02A,President,,G,"Jill Stein, Cheri Honkala Green",0
Acadia,01 02A,President,,L,"Gary Johnson, James P. Gray Libertarian",0
Acadia,01 02A,President,,R,"Mitt Romney, Paul Ryan Republican",175
Acadia,01 02A,President,,O,"Virgil Goode, James Clymer Constitution",0
Acadia,01 02A,President,,O,"Ross Anderson, Luis Rodriguez Justice",0
Acadia,01 02A,President,,O,"Jack Fellure, Toby Davis",1
Acadia,01 02A,President,,O,"Peta Lindsay, Yari Osorio Socialism and Liberation",0
Acadia,01 02A,President,,O,"Jerry White, Phyllis Scherrer Socialist Equality",0
Acadia,01 02A,President,,O,"James Harris, Alyson Kennedy Socialist Workers",0
Acadia,01 02A,President,,O,"Sheila Tittle, Matthew Turner We The People",1
Acadia,01 02B,President,,D,"Barack Obama, Joe Biden Democratic",47
Acadia,01 02B,President,,G,"Jill Stein, Cheri Honkala Green",0
Acadia,01 02B,President,,L,"Gary Johnson, James P. Gray Libertarian",0
Acadia,01 02B,President,,R,"Mitt Romney, Paul Ryan Republican",279
Acadia,01 02B,President,,O,"Virgil Goode, James Clymer Constitution",0
Acadia,01 02B,President,,O,"Ross Anderson, Luis Rodriguez Justice",0
Acadia,01 02B,President,,O,"Jack Fellure, Toby Davis",0
Acadia,01 02B,President,,O,"Peta Lindsay, Yari Osorio Socialism and Liberation",0
Acadia,01 02B,President,,O,"Jerry White, Phyllis Scherrer Socialist Equality",1
Acadia,01 02B,President,,O,"James Harris, Alyson Kennedy Socialist Workers",0
Acadia,01 02B,President,,O,"Sheila Tittle, Matthew Turner We The People",0
Acadia,01 03A,President,,D,"Barack Obama, Joe Biden Democratic",31
