parish,precinct,office,district,party,candidate,votes
Acadia,01 01,U.S. Senate,,D,Wayne Ables,5
Acadia,01 01,U.S. Senate,,R,"""Bill"" Cassidy",299
Acadia,01 01,U.S. Senate,,R,Thomas Clements,5
Acadia,01 01,U.S. Senate,,D,Mary L. Landrieu,116
Acadia,01 01,U.S. Senate,,R,"""Rob"" Maness",150
Acadia,01 01,U.S. Senate,,L,Brannon Lee McMorris,9
Acadia,01 01,U.S. Senate,,D,Vallian Senegal,1
Acadia,01 01,U.S. Senate,,D,"William P. Waymire, Jr.",3
Acadia,01 02A,U.S. Senate,,D,Wayne Ables,1
Acadia,01 02A,U.S. Senate,,R,"""Bill"" Cassidy",105
Acadia,01 02A,U.S. Senate,,R,Thomas Clements,4
Acadia,01 02A,U.S. Senate,,D,Mary L. Landrieu,95
Acadia,01 02A,U.S. Senate,,R,"""Rob"" Maness",40
Acadia,01 02A,U.S. Senate,,L,Brannon Lee McMorris,1
Acadia,01 02A,U.S. Senate,,D,Vallian Senegal,14
Acadia,01 02A,U.S. Senate,,D,"William P. Waymire, Jr.",1
Acadia,01 02B,U.S. Senate,,D,Wayne Ables,2
Acadia,01 02B,U.S. Senate,,R,"""Bill"" Cassidy",155
Acadia,01 02B,U.S. Senate,,R,Thomas Clements,3
Acadia,01 02B,U.S. Senate,,D,Mary L. Landrieu,49
Acadia,01 02B,U.S. Senate,,R,"""Rob"" Maness",66
Acadia,01 02B,U.S. Senate,,L,Brannon Lee McMorris,3
Acadia,01 02B,U.S. Senate,,D,Vallian Senegal,2
Acadia,01 02B,U.S. Senate,,D,"William P. Waymire, Jr.",1
Acadia,01 03A,U.S. Senate,,D,Wayne Ables,2
Acadia,01 03A,U.S. Senate,,R,"""Bill"" Cassidy",259
Acadia,01 03A,U.S. Senate,,R,Thomas Clements,7
Acadia,01 03A,U.S. Senate,,D,Mary L. Landrieu,46
Acadia,01 03A,U.S. Senate,,R,"""Rob"" Maness",95
Acadia,01 03A,U.S. Senate,,L,Brannon Lee McMorris,3
Acadia,01 03A,U.S. Senate,,D,Vallian Senegal,3
Acadia,01 03A,U.S. Senate,,D,"William P. Waymire, Jr.",0
Acadia,01 03B,U.S. Senate,,D,Wayne Ables,2
Acadia,01 03B,U.S. Senate,,R,"""Bill"" Cassidy",93
Acadia,01 03B,U.S. Senate,,R,Thomas Clements,3
Acadia,01 03B,U.S. Senate,,D,Mary L. Landrieu,122
Acadia,01 03B,U.S. Senate,,R,"""Rob"" Maness",36
Acadia,01 03B,U.S. Senate,,L,Brannon Lee McMorris,2
Acadia,01 03B,U.S. Senate,,D,Vallian Senegal,6
Acadia,01 03B,U.S. Senate,,D,"William P. Waymire, Jr.",5
Acadia,01 04A,U.S. Senate,,D,Wayne Ables,9
Acadia,01 04A,U.S. Senate,,R,"""Bill"" Cassidy",145
Acadia,01 04A,U.S. Senate,,R,Thomas Clements,3
Acadia,01 04A,U.S. Senate,,D,Mary L. Landrieu,44
Acadia,01 04A,U.S. Senate,,R,"""Rob"" Maness",74
Acadia,01 04A,U.S. Senate,,L,Brannon Lee McMorris,7
Acadia,01 04A,U.S. Senate,,D,Vallian Senegal,3
Acadia,01 04A,U.S. Senate,,D,"William P. Waymire, Jr.",2
Acadia,01 04B,U.S. Senate,,D,Wayne Ables,5
Acadia,01 04B,U.S. Senate,,R,"""Bill"" Cassidy",149
Acadia,01 04B,U.S. Senate,,R,Thomas Clements,3
Acadia,01 04B,U.S. Senate,,D,Mary L. Landrieu,88
Acadia,01 04B,U.S. Senate,,R,"""Rob"" Maness",55
Acadia,01 04B,U.S. Senate,,L,Brannon Lee McMorris,4
Acadia,01 04B,U.S. Senate,,D,Vallian Senegal,6
Acadia,01 04B,U.S. Senate,,D,"William P. Waymire, Jr.",1
Acadia,01 05A,U.S. Senate,,D,Wayne Ables,2
Acadia,01 05A,U.S. Senate,,R,"""Bill"" Cassidy",129
Acadia,01 05A,U.S. Senate,,R,Thomas Clements,1
Acadia,01 05A,U.S. Senate,,D,Mary L. Landrieu,50
Acadia,01 05A,U.S. Senate,,R,"""Rob"" Maness",40
Acadia,01 05A,U.S. Senate,,L,Brannon Lee McMorris,1
Acadia,01 05A,U.S. Senate,,D,Vallian Senegal,4
Acadia,01 05A,U.S. Senate,,D,"William P. Waymire, Jr.",0
