parish,office,district,party,candidate,votes
Acadia,President,,D,Gore & Lieberman,8892
Acadia,President,,R,Buchanan & Foster,255
Acadia,President,,R,Bush & Cheney,13814
Acadia,President,,O,Phillips & Frazier,15
Acadia,President,,G,Nader & LaDuke,227
Acadia,President,,L,Browne & Olivier,15
Acadia,President,,O,Hagelin & Ticciati,9
Acadia,President,,O,Harris & Trowe,11
Allen,President,,D,Gore & Lieberman,3914
Allen,President,,R,Buchanan & Foster,135
Allen,President,,R,Bush & Cheney,4035
Allen,President,,O,Phillips & Frazier,44
Allen,President,,G,Nader & LaDuke,115
Allen,President,,L,Browne & Olivier,30
Allen,President,,O,Hagelin & Ticciati,10
Allen,President,,O,Harris & Trowe,9
Ascension,President,,D,Gore & Lieberman,13385
Ascension,President,,R,Buchanan & Foster,201
Ascension,President,,R,Bush & Cheney,16818
Ascension,President,,O,Phillips & Frazier,31
Ascension,President,,G,Nader & LaDuke,340
Ascension,President,,L,Browne & Olivier,47
Ascension,President,,O,Hagelin & Ticciati,11
Ascension,President,,O,Harris & Trowe,11
Assumption,President,,D,Gore & Lieberman,5222
Assumption,President,,R,Buchanan & Foster,163
Assumption,President,,R,Bush & Cheney,4388
Assumption,President,,O,Phillips & Frazier,93
Assumption,President,,G,Nader & LaDuke,119
Assumption,President,,L,Browne & Olivier,26
Assumption,President,,O,Hagelin & Ticciati,20
Assumption,President,,O,Harris & Trowe,22
Avoyelles,President,,D,Gore & Lieberman,6701
Avoyelles,President,,R,Buchanan & Foster,268
Avoyelles,President,,R,Bush & Cheney,7329
Avoyelles,President,,O,Phillips & Frazier,101
Avoyelles,President,,G,Nader & LaDuke,170
Avoyelles,President,,L,Browne & Olivier,37
Avoyelles,President,,O,Hagelin & Ticciati,28
Avoyelles,President,,O,Harris & Trowe,19
Beauregard,President,,D,Gore & Lieberman,3958
Beauregard,President,,R,Buchanan & Foster,122
Beauregard,President,,R,Bush & Cheney,7862
Beauregard,President,,O,Phillips & Frazier,69
Beauregard,President,,G,Nader & LaDuke,155
Beauregard,President,,L,Browne & Olivier,18
Beauregard,President,,O,Hagelin & Ticciati,15
Beauregard,President,,O,Harris & Trowe,6
Bienville,President,,D,Gore & Lieberman,3413
Bienville,President,,R,Buchanan & Foster,152
Bienville,President,,R,Bush & Cheney,3269
Bienville,President,,O,Phillips & Frazier,95
Bienville,President,,G,Nader & LaDuke,50
Bienville,President,,L,Browne & Olivier,11
Bienville,President,,O,Hagelin & Ticciati,3
Bienville,President,,O,Harris & Trowe,13
Bossier,President,,D,Gore & Lieberman,11933
Bossier,President,,R,Buchanan & Foster,184
Bossier,President,,R,Bush & Cheney,23224
Bossier,President,,O,Phillips & Frazier,220
Bossier,President,,G,Nader & LaDuke,295
Bossier,President,,L,Browne & Olivier,39
Bossier,President,,O,Hagelin & Ticciati,11
Bossier,President,,O,Harris & Trowe,9
Caddo,President,,D,Gore & Lieberman,47530
Caddo,President,,R,Buchanan & Foster,338
Caddo,President,,R,Bush & Cheney,46807
Caddo,President,,O,Phillips & Frazier,59
Caddo,President,,G,Nader & LaDuke,734
Caddo,President,,L,Browne & Olivier,113
Caddo,President,,O,Hagelin & Ticciati,32
Caddo,President,,O,Harris & Trowe,26
Calcasieu,President,,D,Gore & Lieberman,33919
Calcasieu,President,,R,Buchanan & Foster,529
Calcasieu,President,,R,Bush & Cheney,38086
Calcasieu,President,,O,Phillips & Frazier,49
Calcasieu,President,,G,Nader & LaDuke,895
Calcasieu,President,,L,Browne & Olivier,110
Calcasieu,President,,O,Hagelin & Ticciati,21
Calcasieu,President,,O,Harris & Trowe,27
Caldwell,President,,D,Gore & Lieberman,1359
Caldwell,President,,R,Buchanan & Foster,66
Caldwell,President,,R,Bush & Cheney,2817
Caldwell,President,,O,Phillips & Frazier,33
Caldwell,President,,G,Nader & LaDuke,37
Caldwell,President,,L,Browne & Olivier,5
Caldwell,President,,O,Hagelin & Ticciati,5
Caldwell,President,,O,Harris & Trowe,6
Cameron,President,,D,Gore & Lieberman,1435
Cameron,President,,R,Buchanan & Foster,43
Cameron,President,,R,Bush & Cheney,2593
